time,globalincome,globalypc
1950,5159.484646999531,2047.089607601782
1951,5359.052162576998,2086.5347221856073
1952,5566.657462979298,2128.372178378634
1953,5782.640646607725,2172.0712907419133
1954,6007.357035673677,2217.1996323709277
1955,6241.177899317487,2263.4211776673983
1956,6484.491213104989,2310.5000969839375
1957,6737.70245682819,2358.298737959116
1958,7001.235452642854,2406.768550467239
1959,7275.533245688332,2455.932971219864
1960,7561.059029453983,2505.8336342396133
1961,7847.412957025107,2552.930979296933
1962,8228.262570928391,2627.0754192569966
1963,8683.278575460963,2720.040029352213
1964,9126.15641223452,2803.7724167511624
1965,9711.918993836156,2925.1226156752714
1966,10229.480907331405,3019.2429133295664
1967,10832.538160769458,3132.1521649008105
1968,11352.074113071987,3215.1056597970855
1969,12069.0874231961,3348.3905328721867
1970,12809.037170502792,3481.958943386175
1971,13189.117534673615,3513.842919301688
1972,13749.276941774417,3591.0104235135377
1973,14545.571527465447,3725.478547293857
1974,15482.724214606746,3890.3726889997947
1975,15727.388388236146,3878.705408303148
1976,15869.313181052792,3843.072227900696
1977,16671.704487850948,3966.1619916253176
1978,17335.424981668824,4052.416686681363
1979,18046.46992465965,4145.7363460224915
1980,18795.93393957511,4243.141982291574
1981,19114.944083093294,4240.349956339214
1982,19532.951120620382,4257.982192466421
1983,19703.93047019483,4220.478610122402
1984,20269.994046488704,4265.39841655073
1985,21195.812335866834,4380.899142578677
1986,22018.057534070387,4468.815400744208
1987,22778.45870848191,4539.1759721510925
1988,23659.770462901473,4629.818816414523
1989,24802.677305213107,4768.357281729535
1990,25782.04769932222,4873.412292060163
1991,26591.821000340788,4946.022430179876
1992,27083.749512673974,4960.40568712733
1993,27588.193437796483,4978.421478478572
1994,27968.556037592098,4974.911187675371
1995,28806.912164249934,5052.331010962874
1996,29702.050204591687,5137.861758391437
1997,30712.595146739593,5241.319755380216
1998,31786.708589402584,5353.174107519227
1999,32465.67234071495,5396.764525780409
2000,33515.5203462294,5500.324229511454
2001,34949.29114804093,5663.641731974875
2002,35579.62605469277,5694.348014600407
2003,36333.62399618353,5743.654055636112
2004,37283.02509511326,5821.8203411918275
2005,38738.968536842316,5975.592221349817
2006,40051.712565494636,6103.101518969597
2007,41542.116097573875,6253.579300798191
2008,43013.91777649961,6397.035767311455
2009,43531.446747208094,6396.329551316507
2010,42473.75346462524,6166.558715552902
2011,44116.968437712516,6329.39752518364
2012,45167.340821835285,6404.100403290406
2013,46087.99118878222,6458.761735289461
2014,47110.54514496828,6526.312080851447
2015,48467.89768526442,6637.360507886994
2016,50016.20975602064,6778.440458628994
2017,51591.81362877946,6920.2739676889905
2018,53140.023632027296,7055.603116105189
2019,54696.803778781476,7189.350007466755
2020,56249.18689280734,7319.875615631417
2021,57802.147503628716,7453.964550907487
2022,59354.984484762426,7585.644036393123
2023,60910.83931597251,7715.376900562623
2024,62467.64812036813,7842.956030936
2025,64026.86372860155,7968.619189916167
2026,65570.90880376902,8098.125455190261
2027,67116.8834989835,8225.902592188317
2028,68664.14609885334,8351.912406166137
2029,70213.16479762988,8476.251747801765
2030,71763.66522441118,8598.925549028347
2031,73278.02302997885,8723.15446727253
2032,74793.67787357305,8845.935121713348
2033,76310.68929884442,8967.303004562047
2034,77829.0907315946,9087.289539735259
2035,79348.77962490341,9205.909599387864
2036,80894.33222423065,9333.707500202569
2037,82441.09446987318,9460.25480841609
2038,83988.98959161436,9585.563651105704
2039,85538.0249427683,9709.655426015466
2040,87088.26072922352,9832.55692240436
2041,88667.16862484236,9965.450276003741
2042,90246.9470574135,10097.246611338986
2043,91827.59279561762,10227.96082310918
2044,93409.06284606615,10357.603076808215
2045,94991.34583969593,10486.186819778284
2046,96573.64591296653,10622.796687627804
2047,98156.59570793335,10758.509493334564
2048,99740.16987862783,10893.3324474739
2049,101324.37177015837,11027.275717070583
2050,102909.15670798646,11160.34410025793
2051,104557.55290181107,11309.564302349694
2052,106206.38985969481,11458.059224169778
2053,107855.70790018915,11605.839222290699
2054,109505.43545271056,11752.9025095948
2055,111155.57675857675,11899.255395645985
2056,112924.74061179563,12068.00556627184
2057,114694.23814454202,12236.217966373435
2058,116464.05481439257,12403.89413637517
2059,118234.23073862548,12571.041368558492
2060,120004.70598769297,12737.656272069917
2061,121894.8138706864,12926.342071661302
2062,123785.08083016999,13114.697856418079
2063,125675.46455496269,13302.72033254586
2064,127565.9672086773,13490.410893779024
2065,129456.6266108351,13677.77466587718
2066,131441.14427907864,13884.04905529508
2067,133425.66324364077,14090.22256624894
2068,135410.23371080527,14296.300765284466
2069,137394.8363221086,14502.281852657532
2070,139379.46989275975,14708.165929965611
2071,141438.30492611424,14930.759840070867
2072,143496.87242803522,15153.483569646845
2073,145555.1472607395,15376.334714326533
2074,147613.13651169234,15599.31425245949
2075,149670.8305566388,15822.421382828985
2076,151838.30384890462,16066.28990104572
2077,154005.38646389716,16310.563021102322
2078,156172.09574349225,16555.243719227776
2079,158338.41924643636,16800.331812036824
2080,160504.35566111526,17045.828286053787
2081,162774.80403816042,17311.721009969056
2082,165044.62000363154,17578.306094487973
2083,167313.8159244836,17845.587782645118
2084,169582.43709690962,18113.57384609195
2085,171850.49700902007,18382.268690776506
2086,174236.6726549728,18672.70117118989
2087,176622.20092730774,18964.158563167573
2088,179007.0951259138,19256.64798259019
2089,181391.37602069962,19550.177395085168
2090,183775.060109546,19844.75435495052
2091,186287.49961344255,20162.035243015314
2092,188798.92055807795,20480.65359200454
2093,191309.34089253328,20800.620338133336
2094,193818.7878741808,21121.94752206945
