time,regions,loss,elossall,slossall
1950,USA,,0.0,0.0
1950,CAN,,0.0,0.0
1950,WEU,,0.0,0.0
1950,JPK,,0.0,0.0
1950,ANZ,,0.0,0.0
1950,EEU,,0.0,0.0
1950,FSU,,0.0,0.0
1950,MDE,,0.0,0.0
1950,CAM,,0.0,0.0
1950,LAM,,0.0,0.0
1950,SAS,,0.0,0.0
1950,SEA,,0.0,0.0
1950,CHI,,0.0,0.0
1950,MAF,,0.0,0.0
1950,SSA,,0.0,0.0
1950,SIS,,0.0,0.0
1951,USA,-6.214579503125386e8,-2.5384592060990387,1.9170012557865002
1951,CAN,-1.7121561826952618e8,-0.18431359814591933,0.013097979876393133
1951,WEU,-3.9245169446769276e9,-5.464421039608054,1.5399040949311271
1951,JPK,-1.8184879904780593e9,-2.681257345062933,0.8627693545848736
1951,ANZ,-2.5782634580207974e8,-0.28730450360418397,0.029478157802104193
1951,EEU,-3.518626592810592e8,-0.41920496892833337,0.06734230964727418
1951,FSU,1.4455662800058696e9,-0.8136341070881395,2.259200387094009
1951,MDE,-3.219424876945508e8,-0.7942731576144236,0.4723306699198728
1951,CAM,7.906427810511118e8,-0.24731026913792742,1.0379530501890393
1951,LAM,-7.56962156867969e7,-0.33486068437959154,0.25916446869279464
1951,SAS,8.075477952128562e7,-0.30211684508146847,0.3828716246027541
1951,SEA,4.808489982739283e8,-0.11488578557922587,0.5957347838531541
1951,CHI,1.275585670007754e8,-0.8897613959904686,1.017319962991244
1951,MAF,8.931576991871963e8,-0.01582333722093134,0.9089810364081276
1951,SSA,1.8759461679414387e9,-0.01206288658920719,1.8880090545306458
1951,SIS,7.028644644094501e6,-0.04406484761865341,0.05109349226274791
1952,USA,-6.762405573470185e8,-2.660034340291304,1.9837937829442855
1952,CAN,-1.8332146902215013e8,-0.19765361857165392,0.014332149549503802
1952,WEU,-4.1097087429038596e9,-5.684772915276229,1.575064172372369
1952,JPK,-1.957627063325906e9,-2.834852719131557,0.877225655805651
1952,ANZ,-2.7905219910101753e8,-0.3101701460342927,0.03111794693327521
1952,EEU,-3.724862772205058e8,-0.4416323265824053,0.06914604936189957
1952,FSU,1.4481331603717523e9,-0.8635138611500421,2.3116470215217944
1952,MDE,-3.660642547736285e8,-0.8512799158987486,0.48521566112512016
1952,CAM,7.914977626770303e8,-0.2683139824339365,1.0598117451109668
1952,LAM,-1.0270413521631038e8,-0.37016862500174447,0.2674644897854341
1952,SAS,-3.484341723660972e7,-0.4276184524588316,0.3927750352222219
1952,SEA,4.431625834632289e8,-0.14596675749350793,0.5891293409567369
1952,CHI,-2.9686844177110538e7,-1.051589279274214,1.0219024350971035
1952,MAF,8.890008875249131e8,-0.016733288541619245,0.9057341760665323
1952,SSA,1.9094064856596975e9,-0.03578364276983598,1.9451901284295334
1952,SIS,1.4186371345482965e6,-0.05023759526071373,0.05165623239526203
1953,USA,-7.424560467822183e8,-2.7993440597049597,2.0568880129227414
1953,CAN,-1.9624548929158476e8,-0.21194118918519506,0.015695699893610308
1953,WEU,-4.326737473987927e9,-5.939717521442859,1.6129800474549314
1953,JPK,-2.1107563311087296e9,-3.0028101609116016,0.892053829802872
1953,ANZ,-2.955155580103427e8,-0.32845704837088985,0.03294149036054712
1953,EEU,-3.943548481684907e8,-0.4653154285962349,0.07096058042774421
1953,FSU,1.4590900233810208e9,-0.9101742905182503,2.3692643138992713
1953,MDE,-4.09900094695215e8,-0.9082767517876705,0.49837665709245554
1953,CAM,7.908867710747453e8,-0.2900406588646748,1.08092742993942
1953,LAM,-1.2301109381053005e8,-0.3991840034195182,0.27617290960898816
1953,SAS,-5.1696279882821105e7,-0.45500079476422434,0.40330451488140323
1953,SEA,4.2753495168721604e8,-0.15645850660969723,0.5839934582969133
1953,CHI,-1.0826538973554122e8,-1.1274645851620615,1.0191991954265203
1953,MAF,8.863658837774837e8,-0.017805526737058833,0.9041714105145425
1953,SSA,1.9671019912019157e9,-0.03790092822834183,2.0050029194302574
1953,SIS,-1.3219087094336473e6,-0.05354520567623877,0.052223296966805124
1954,USA,-8.126682589500191e8,-2.945779499947474,2.133111240997455
1954,CAN,-2.1014488636295113e8,-0.22726029188186325,0.01711540551891214
1954,WEU,-4.552812820704654e9,-6.204318499309537,1.6515056786048825
1954,JPK,-2.272778550308409e9,-3.179709162075349,0.90693061176694
1954,ANZ,-3.1321563953407085e8,-0.34796366298330106,0.034748023449230246
1954,EEU,-4.172598141513549e8,-0.49001981647198284,0.07276000232062795
1954,FSU,1.4705683369541295e9,-0.9597126266648395,2.430280963618969
1954,MDE,-4.572450150077857e8,-0.9690969075721888,0.5118518925644031
1954,CAM,7.880109660785959e8,-0.3136849820320298,1.1016959481106257
1954,LAM,-1.4614359183688268e8,-0.4312824003522783,0.2851388085153956
1954,SAS,-6.175172075939911e7,-0.47620310504358737,0.41445138428418826
1954,SEA,4.0880441626431054e8,-0.17123285730388063,0.5800372735681911
1954,CHI,-1.9218470517593223e8,-1.2045356708686366,1.0123509656927043
1954,MAF,8.851259311080478e8,-0.018923722405301612,0.9040496535133494
1954,SSA,2.0272580293281837e9,-0.040176661343073794,2.0674346906712575
1954,SIS,-4.454254230292679e6,-0.05721737919694836,0.05276312496665568
1955,USA,-8.871928309903731e8,-3.0993025126345057,2.2121096816441326
1955,CAN,-2.2502759691765994e8,-0.2436423797219446,0.018614782804284663
1955,WEU,-4.788501953311938e9,-6.479308131359851,1.6908061780479122
1955,JPK,-2.444127098718527e9,-3.366239692506367,0.9221125937878399
