time,temp
1950,0.2
1951,0.2046260133720109
1952,0.20935123312214257
1953,0.21418754215073657
1954,0.21911175040108802
1955,0.22410958630915123
1956,0.22915754966805646
1957,0.23423962394739534
1958,0.23939760614979297
1959,0.24468532061030968
1960,0.25022390471313055
1961,0.25588896124925137
1962,0.26163852534827126
1963,0.26754193409810656
1964,0.2735997619830699
1965,0.27983153196996363
1966,0.28624697415267547
1967,0.2928102889713446
1968,0.29952164000479137
1969,0.30645729412370554
1970,0.3137493684578319
1971,0.32137384080266324
1972,0.3291504699540135
1973,0.33703549776145375
1974,0.34506580406630144
1975,0.35322722600510253
1976,0.36150581156750994
1977,0.36993808703195974
1978,0.37861774993862085
1979,0.3876103231657101
1980,0.3968412468767348
1981,0.4062831651690069
1982,0.41603560905439113
1983,0.4261099587036244
1984,0.4365859519137526
1985,0.4475672739520039
1986,0.4590975316781427
1987,0.4711915061504284
1988,0.48391949491393343
1989,0.497392835057577
1990,0.5116108617085291
1991,0.5265531466031218
1992,0.5421230069416089
1993,0.5583291331783118
1994,0.5751770198396602
1995,0.5926905041461081
1996,0.6108114241654052
1997,0.6292598343912705
1998,0.6478485837113799
1999,0.6666097374251474
2000,0.6854791496688655
2001,0.7045756726736887
2002,0.724045270417552
2003,0.743881174110341
2004,0.76406673158861
2005,0.7846670786205738
2006,0.8058479016924716
2007,0.8276357070713598
2008,0.8499628142285925
2009,0.8729042982302571
2010,0.8962857617383084
2011,0.9199740573009076
2012,0.9439218677659745
2013,0.9681197655954998
2014,0.9925456971231785
2015,1.0171928875788727
2016,1.0420396560642649
2017,1.0670842179876867
2018,1.0923203456705788
2019,1.1177424176009014
2020,1.1433649553271175
2021,1.1692165464932975
2022,1.195309278480807
2023,1.2216358741595406
2024,1.2481898320988256
2025,1.2749654158362334
2026,1.3019567628873325
2027,1.3291566108147383
2028,1.3565570190485676
2029,1.3841507396653183
2030,1.4119590502059998
2031,1.4400381368341892
2032,1.468410458962007
2033,1.497068438195396
2034,1.5260045536298437
2035,1.5552085330376475
2036,1.5846771257741346
2037,1.61440329480118
2038,1.644380895879142
2039,1.6746036929101724
2040,1.7050529518262005
2041,1.735707984665455
2042,1.7665552560731768
2043,1.797588828438426
2044,1.8288039432378316
2045,1.8601946749061382
2046,1.8917566974153683
2047,1.923480242121426
2048,1.9553571409680208
2049,1.9873799331974917
2050,2.0195077863925186
2051,2.051688664493967
2052,2.0838948525322776
2053,2.1161219978472485
2054,2.148365917871108
2055,2.180622152488743
2056,2.2128836098100555
2057,2.2451407539083448
2058,2.2773846906538973
2059,2.3096081602665284
2060,2.3417910448797734
2061,2.3739129348107397
2062,2.4059570483198187
2063,2.437913136995751
2064,2.4697710677234572
2065,2.5015189565050506
2066,2.5331511029053706
2067,2.5646589682917855
2068,2.596035061604852
2069,2.6272724347811622
2070,2.6583582082712875
2071,2.689276766451269
2072,2.7200142941054652
2073,2.750561413203792
2074,2.7809094369352083
2075,2.8110492720431854
2076,2.8409760634441446
2077,2.8706788654357283
2078,2.900148192473717
2079,2.92937507350122
2080,2.9583596301182156
2081,2.9871337290906297
2082,3.0157080634071813
2083,3.044077572132581
2084,3.072237290097122
2085,3.1001780496178966
2086,3.1278996640177876
2087,3.1553962477389623
2088,3.1826609200547122
2089,3.209689024124057
2090,3.236459036261149
2091,3.262945383920461
2092,3.2891341260035625
2093,3.315026706961962
2094,3.340624972345718
2095,3.365925431151778
2096,3.3909358265329326
2097,3.415655835860166
2098,3.440084910765678
2099,3.464222891363687
2100,3.488054722161134
