time,regions,income,ypc,inequality
1950,USA,1643.89944236897,10417.613703225412,0.353
1950,CAN,84.8224831391005,6191.422126941642,0.373
1950,WEU,1913.31508308279,6287.594752161649,0.3204117457058416
1950,JPK,616.021980672332,5923.2882756955,0.3421620166352739
1950,ANZ,119.057728115324,11787.893872804358,0.31577459007736175
1950,EEU,87.9192108941911,1002.4995540956796,0.2485987309491316
1950,FSU,167.308878761848,928.977672192382,0.4173025783384366
1950,MDE,76.0649829670573,1298.037251997565,0.41602979602243395
1950,CAM,40.5139010341431,1157.5400295469458,0.5470685642464601
1950,LAM,193.138523290388,1680.9270956517669,0.5322127843439464
1950,SAS,57.9713701148353,124.91137710587223,0.317940536431929
1950,SEA,25.6942546016562,140.25248145008845,0.3844563229550426
1950,CHI,18.8014266052303,33.14779020668247,0.3228529508702613
1950,MAF,13.4482462152325,304.94889376944445,0.36259807216992657
1950,SSA,94.6859977634632,538.6006698718044,0.4513733188832156
1950,SIS,6.82113737296979,344.5018875237268,0.410507486550969
1951,USA,1702.5064446350696,10650.330968652754,0.3530000000000002
1951,CAN,89.52831643076127,6374.749749801897,0.373
1951,WEU,1978.560120617773,6468.978943500904,0.3203907484388588
1951,JPK,644.6374878052532,6093.580059082015,0.34218870474679786
1951,ANZ,123.06897040811067,11877.869493577757,0.31576124780255516
1951,EEU,91.62583585448974,1028.3584397951122,0.24862364849243482
1951,FSU,174.9933213385721,958.0398355069117,0.41741352670872267
1951,MDE,79.95998559239217,1331.1223044701226,0.41593730329614703
1951,CAM,43.19305709159893,1202.8026082129438,0.54705915207524
1951,LAM,204.97501469659227,1736.792830004597,0.5324642952703835
1951,SAS,59.680189397490274,126.54074105945124,0.31791304517248425
1951,SEA,27.412654133958547,146.20136929049073,0.38472906299060866
1951,CHI,19.934909692532234,34.18980520673889,0.32286369542611365
1951,MAF,14.269081510104037,316.11172635993455,0.36257130868332693
1951,SSA,97.55237773703767,544.4830983375241,0.45142153446854844
1951,SIS,7.154395635259762,353.46115957840294,0.4103774605423209
1952,USA,1763.2028573761,10868.308875720231,0.35300000000000015
1952,CAN,94.49522280292342,6557.465931341964,0.373
1952,WEU,2046.030047801397,6652.077161257801,0.32038770243576997
1952,JPK,674.5822449879543,6273.362323487948,0.34217550715140604
1952,ANZ,127.21535776864005,11997.760810940803,0.3157603602624551
1952,EEU,95.48873005852444,1055.4496476262677,0.24865344083197072
1952,FSU,183.03070787231727,986.3958188212248,0.41750056244141703
1952,MDE,84.05443670058457,1364.6874075223618,0.41589343657993294
1952,CAM,46.0493838731021,1248.722775758318,0.5470459913929998
1952,LAM,217.53690529516018,1794.2556000659854,0.5327145015580134
1952,SAS,61.43937946377496,128.11338618292342,0.3178942156032195
1952,SEA,29.245978072451937,152.25170109402546,0.3849822592452483
1952,CHI,21.136727164036806,35.46037415382337,0.3228807410647566
1952,MAF,15.140017804802874,327.4433548913219,0.36252468324913956
1952,SSA,100.50553014103463,550.1124286816505,0.45146554731184263
1952,SIS,7.503935796492959,362.5693982437564,0.4103158197998671
1953,USA,1826.0631706011718,11076.40290705093,0.35300000000000015
1953,CAN,99.73768622667947,6739.568850453797,0.373
1953,WEU,2115.800734525622,6838.3944095422385,0.32039575021539957
1953,JPK,705.9179986604559,6461.492604879283,0.3421296135518639
1953,ANZ,131.50144344700328,12133.217810156011,0.31576481999216993
1953,EEU,99.5144817305692,1083.8614988574548,0.24868772901204603
1953,FSU,191.4372489646404,1014.5285908423205,0.417563727060044
1953,MDE,88.3585493007492,1398.9082544131547,0.4158860035203816
1953,CAM,49.094597555234486,1295.3999959119594,0.5470300627081492
1953,LAM,230.86865116435192,1853.5889345072105,0.5329617967272912
1953,SAS,63.2504250908506,129.63101249182648,0.3178779112906135
1953,SEA,31.201912417330213,158.4174270198844,0.3852104212867903
1953,CHI,22.410998700149193,36.91109654090982,0.3229024440396026
1953,MAF,16.064113094275598,338.9443321238505,0.36246257460615505
1953,SSA,103.54808179211847,555.5307066322246,0.45150485115295214
1953,SIS,7.870553336521476,371.9511911974962,0.41033582863048335
1954,USA,1891.164529978264,11279.14258495083,0.35300000000000015
1954,CAN,105.27099422367642,6921.927844348051,0.373
1954,WEU,2187.9506378851074,7029.024445170725,0.3204096404659329
1954,JPK,738.7093635138317,6657.18420212213,0.3420577044739347
1954,ANZ,135.93193409945525,12274.115628737756,0.3157697558651891
1954,EEU,103.70995685076369,1113.6834944496275,0.2487263167042317
1954,FSU,200.22989976477396,1042.8659007232438,0.41760299903213177
1954,MDE,92.88305937191095,1433.9051034291606,0.41590421964037994
1954,CAM,52.34118909717495,1342.938335911731,0.5470120444629815
1954,LAM,245.01743287249514,1915.0056554283956,0.5332057732404535
1954,SAS,65.11485482258311,131.09531401324114,0.31785978313780605
1954,SEA,33.28865719884348,164.7132984489862,0.3854109481197787
1954,CHI,23.76209234477178,38.50353753010494,0.3229273585703392
1954,MAF,17.044612023099038,350.62582075721156,0.36238910577060784
1954,SSA,106.68273902720873,560.7667282292779,0.4515390874148975
1954,SIS,8.255082599717905,381.6900613320647,0.410438639536062
1955,USA,1958.5868315116727,11480.614814247057,0.3529999999999999
1955,CAN,111.11128244598203,7106.28220594014,0.373
1955,WEU,2262.5608904021665,7224.594631128891,0.3204256605324855
1955,JPK,773.0239557264583,6860.027423882099,0.34196603083353677
1955,ANZ,140.51169495690976,12414.312116439367,0.315772252344492
1955,EEU,108.08231086514593,1145.0039993348728,0.2487690407212337
1955,FSU,209.42639416645954,1071.7673980670456,0.41761813646943335
