time,regions,loss
1950,USA,
1950,CAN,
1950,WEU,
1950,JPK,
1950,ANZ,
1950,EEU,
1950,FSU,
1950,MDE,
1950,CAM,
1950,LAM,
1950,SAS,
1950,SEA,
1950,CHI,
1950,MAF,
1950,SSA,
1950,SIS,
1951,USA,-6.208518867560564e8
1951,CAN,-1.7112492851733872e8
1951,WEU,-3.9241488234986424e9
1951,JPK,-1.8184446456184816e9
1951,ANZ,-2.5774185612929523e8
1951,EEU,-3.529103193656118e8
1951,FSU,1.4455662800058696e9
1951,MDE,-7.479588131596651e8
1951,CAM,-1.8506215513498694e8
1951,LAM,-9.721445919716547e7
1951,SAS,-1.4909762956123063e7
1951,SEA,4.8083969002005863e8
1951,CHI,1.275585670007754e8
1951,MAF,8.377702194526037e8
1951,SSA,1.023571355280988e9
1951,SIS,5.815389699610214e6
1952,USA,-6.406331159126841e8
1952,CAN,-1.7887179947537255e8
1952,WEU,-4.0278413492813387e9
1952,JPK,-1.9505976838615055e9
1952,ANZ,-2.6553599614603668e8
1952,EEU,-3.730337468147879e8
1952,FSU,1.4502281646892455e9
1952,MDE,-8.028562086479136e8
1952,CAM,-2.0393472843576565e8
1952,LAM,-1.2307921606887387e8
1952,SAS,-1.167733673800998e8
1952,SEA,4.474552191202186e8
1952,CHI,-1.880748838837909e7
1952,MAF,8.374939913780454e8
1952,SSA,1.078394314678837e9
1952,SIS,1.1734555298342635e6
1953,USA,-7.211158952432393e8
1953,CAN,-1.9391639156084847e8
1953,WEU,-4.2492873826755433e9
1953,JPK,-2.1052758926122794e9
1953,ANZ,-2.880068343123302e8
1953,EEU,-3.949050622482767e8
1953,FSU,1.4610962642481802e9
1953,MDE,-8.587382657261009e8
1953,CAM,-2.2368040287652946e8
1953,LAM,-1.4378662892050886e8
1953,SAS,-1.449049825405799e8
1953,SEA,4.310735175862094e8
1953,CHI,-1.0431621539848113e8
1953,MAF,8.32587300069232e8
1953,SSA,1.1107581006948643e9
1953,SIS,-1.5587798711490936e6
1954,USA,-7.918744664464831e8
1954,CAN,-2.078787084197758e8
1954,WEU,-4.474223988235404e9
1954,JPK,-2.2671825142041306e9
1954,ANZ,-3.058528035225114e8
1954,EEU,-4.1781232795683306e8
1954,FSU,1.4725408869020343e9
1954,MDE,-9.183873373677158e8
1954,CAM,-2.451920644576902e8
1954,LAM,-1.672351367849449e8
1954,SAS,-1.5757821834516194e8
1954,SEA,4.116946676351252e8
1954,CHI,-1.8832620237652352e8
1954,MAF,8.290717185226297e8
1954,SSA,1.1452271285447e9
1954,SIS,-4.6526183874677075e6
1955,USA,-8.665956859514492e8
1955,CAN,-2.2277744543673876e8
1955,WEU,-4.708520732047899e9
1955,JPK,-2.438410790654377e9
1955,ANZ,-3.2529766639478874e8
1955,EEU,-4.418224370513338e8
1955,FSU,1.4833062037063575e9
1955,MDE,-9.819498821784723e8
1955,CAM,-2.684885997346892e8
1955,LAM,-1.9308208243992937e8
1955,SAS,-1.705564794561417e8
1955,SEA,3.9025773839291877e8
1955,CHI,-2.78656553322278e8
1955,MAF,8.267284184254916e8
1955,SSA,1.18181943984742e9
1955,SIS,-8.082594982918238e6
1956,USA,-9.468795603563032e8
1956,CAN,-2.386549503154345e8
1956,WEU,-4.953868625713091e9
1956,JPK,-2.6197337332817903e9
1956,ANZ,-3.470625630847927e8
1956,EEU,-4.6700330232398e8
1956,FSU,1.4922165555537393e9
1956,MDE,-1.0495923408545256e9
1956,CAM,-2.935870527587287e8
1956,LAM,-2.2137276910699615e8
1956,SAS,-1.83952212653257e8
1956,SEA,3.670315934931166e8
1956,CHI,-3.7440929703329027e8
1956,MAF,8.252712709984779e8
1956,SSA,1.2205596230048919e9
1956,SIS,-1.1835106664872684e7
1957,USA,-1.0331222631946684e9
1957,CAN,-2.5549693290692797e8
1957,WEU,-5.210992663762406e9
1957,JPK,-2.8116530798936563e9
1957,ANZ,-3.728835272308769e8
1957,EEU,-4.934122775956423e8
1957,FSU,1.498434186189169e9
1957,MDE,-1.1215146097223349e9
1957,CAM,-3.206814640299238e8
1957,LAM,-2.5223669281173944e8
1957,SAS,-1.978465747591377e8
1957,SEA,3.4205749311062974e8
1957,CHI,-4.7528610708485633e8
1957,MAF,8.244176421681789e8
1957,SSA,1.261570125421177e9
1957,SIS,-1.5881610242500205e7
1958,USA,-1.1215843410831184e9
1958,CAN,-2.731539950982632e8
1958,WEU,-5.47699619086226e9
1958,JPK,-3.013582652379318e9
1958,ANZ,-4.0014513948663276e8
1958,EEU,-5.2108159910898864e8
1958,FSU,1.5021034709400685e9
1958,MDE,-1.1980784946075983e9
1958,CAM,-3.499129895896092e8
1958,LAM,-2.856557357548414e8
1958,SAS,-2.1225641692403206e8
1958,SEA,3.154182438327017e8
1958,CHI,-5.813686292447722e8
1958,MAF,8.24097340242819e8
1958,SSA,1.3054009781296098e9
1958,SIS,-2.0167062168127283e7
1959,USA,-1.2114513014545887e9
1959,CAN,-2.915990029613253e8
1959,WEU,-5.751337264089611e9
1959,JPK,-3.225757751580404e9
1959,ANZ,-4.218816721551699e8
1959,EEU,-5.500684880804843e8
1959,FSU,1.5036670287635663e9
1959,MDE,-1.2797639837834256e9
1959,CAM,-3.814492948054393e8
1959,LAM,-3.2170587084106064e8
1959,SAS,-2.2718517796730196e8
1959,SEA,2.871453041811414e8
1959,CHI,-6.930911143130927e8
1959,MAF,8.242680083958067e8
1959,SSA,1.3526806696387355e9
1959,SIS,-2.462098048417656e7
1960,USA,-1.2970289519855008e9
1960,CAN,-3.1066343591880256e8
1960,WEU,-6.028945651069714e9
1960,JPK,-3.447100969994888e9
1960,ANZ,-4.426497393589693e8
1960,EEU,-5.804030334768646e8
1960,FSU,1.5045212574102209e9
1960,MDE,-1.367293694577342e9
1960,CAM,-4.15448590011367e8
1960,LAM,-3.602051698859923e8
1960,SAS,-2.425705252794399e8
1960,SEA,2.574055046101528e8
1960,CHI,-8.108859660388865e8
1960,MAF,8.251591821926035e8
1960,SSA,1.4044766988990185e9
