time,globalincome,globalypc
1950,5159.484646999531,2047.089607601782
1951,5359.052162576997,2086.5347221856077
1952,5566.657462979298,2128.372178378634
1953,5782.640646607724,2172.071290741913
1954,6007.357035673677,2217.199632370928
1955,6241.177899317487,2263.4211776673983
1956,6484.491213104989,2310.500096983938
1957,6737.702456828189,2358.298737959116
1958,7001.2354526428535,2406.768550467239
1959,7275.533245688331,2455.9329712198637
1960,7561.059029453982,2505.8336342396133
1961,7847.412957025106,2552.930979296932
1962,8228.177858845815,2627.0483728388826
1963,8683.18680534571,2720.0112823317395
1964,9126.033746520747,2803.7347309249253
1965,9711.788056373183,2925.0831787592074
1966,10229.365596441225,3019.2088791893025
1967,10832.429801972376,3132.120833717311
1968,11351.920369101485,3215.062116819406
1969,12068.90873333628,3348.3409580026064
1970,12808.86554879802,3481.9122904081373
1971,13188.97918416804,3513.806059978605
1972,13749.21129749937,3590.9932786646173
1973,14545.55954691358,3725.4754787799206
1974,15482.723149061652,3890.372421258314
1975,15727.407572811097,3878.710139623618
1976,15869.305468233895,3843.070360087026
1977,16671.8540411,3966.1975700157886
1978,17335.390577108596,4052.4086440972255
1979,18046.242595671672,4145.684122731626
1980,18795.332176223037,4243.006135498816
1981,19113.69900055924,4240.07375434532
1982,19531.609405816034,4257.6897124561565
1983,19702.861606000355,4220.249665015398
1984,20269.018476567733,4265.193128163044
1985,21194.577702113434,4380.6439598158795
1986,22016.854537989784,4468.571238996346
1987,22777.34285526767,4538.953610569773
1988,23658.60661316742,4629.591070612565
1989,24801.47207076178,4768.125573337678
1990,25780.570090268757,4873.133060835945
1991,26590.49924380161,4945.776732921686
1992,27082.427150894255,4960.163713252703
1993,27586.97116360144,4978.201199118154
1994,27967.360394134594,4974.698859017393
1995,28805.454257533307,5052.075732862195
1996,29700.52890996617,5137.599114501909
1997,30711.09947079283,5241.06511454793
1998,31785.10248974696,5352.904329199152
1999,32464.12276948985,5396.507734089467
2000,33513.90210264123,5500.059539686797
2001,34947.472709702575,5663.348043461731
2002,35577.77300672191,5694.052537847833
2003,36331.964313530225,5743.392879470099
2004,37281.10343096405,5821.521546737367
2005,38736.91453077849,5975.27676013503
2006,40049.579360725504,6102.777921522326
2007,41539.780690928645,6253.229291997072
2008,43011.54818295022,6396.685006867908
2009,43529.077690109465,6395.983149350183
2010,42471.78341524735,6166.274371392504
2011,44115.040167023995,6329.122610525395
2012,45165.57324801741,6403.851533863304
2013,46086.38374824924,6458.538220046905
2014,47109.68154806192,6526.194197342193
2015,48467.29028561896,6637.279093918669
2016,49934.46843540112,6759.598122603871
2017,51430.76084338895,6883.022373222491
2018,52900.76089469916,7000.208522297968
2019,54380.389213445254,7116.064009038625
2020,55856.92193053055,7228.987209848492
2021,57196.75829477118,7320.246496980203
2022,58536.85711408582,7409.550294581164
2023,59880.428171704036,7497.364777673397
2024,61225.40481706645,7583.48259378756
2025,62573.40063749237,7668.156122961776
2026,63763.13296136779,7733.521960528798
2027,64955.31461801954,7797.8649109294975
2028,66149.329106707,7861.143112899937
2029,67345.64192191613,7923.443623618401
2030,68543.92436456632,7984.757577964598
2031,69541.05414531965,8025.296474101076
2032,70539.78112462697,8065.28338261964
2033,71540.14861838469,8104.738705604075
2034,72542.10653917119,8143.671568477611
2035,73545.60550779567,8182.090895668597
2036,74443.20932213867,8211.544768598833
2037,75342.13651515005,8240.66148113082
2038,76242.27008510305,8269.437068683805
2039,77143.55699896782,8297.874570214739
2040,78046.031258868,8325.986170682761
2041,78840.93987905815,8344.26099002266
2042,79636.69369404158,8362.351693709945
2043,80433.32980729104,8380.26660544876
2044,81230.7496900121,8397.999815151079
2045,82028.97372941747,8415.557752938457
2046,82691.54644361453,8420.396836857697
2047,83354.50931578908,8425.216547090433
2048,84017.83181544948,8430.014370935394
2049,84681.47281440858,8434.786828145208
2050,85345.38069961205,8439.529493260827
2051,85948.50971407244,8439.884030234405
2052,86551.64744456182,8440.245408956465
2053,87154.75055331073,8440.60943876539
2054,87757.86679795124,8440.980738618522
2055,88360.90824135592,8441.350879878142
2056,88967.7171801401,8444.500304595698
2057,89574.27401372044,8447.594457717698
2058,90180.51819088956,8450.628896600396
2059,90786.45988634363,8453.605840764752
2060,91392.11941119655,8456.528356690682
2061,92014.00229690001,8463.282730162242
2062,92635.36248458564,8469.916222729606
2063,93256.12695591981,8476.424522470359
