scen,xi,year,scc_fundnice,scc_migfundnice,scc_diff,scc_fundnice_3000,scc_fundnice_2200,scc_fundnice_3000_equiwt,scc_fundnice_equiwt,scc_migfundnice_equiwt
SSP1,1,2020,-0.41581962772695885,-0.4711352289205778,-0.055315601193618946,-0.2095803533624972,-0.29337440549300786,-3.0081278923334063,-3.365198592867952,-3.199710570794991
SSP2,1,2020,1.1831652912714727,1.0386038458509104,-0.14456144542056237,1.6123638276416148,1.4614386725283375,1.6997833147427808,1.2160793342502474,1.4410678272642667
SSP3,1,2020,2.4588116423823685,5.763985202668733,3.3051735602863648,7.2722559851446436,6.662283510804118,18.549051733914744,15.997533707101883,16.401861582495354
SSP4,1,2020,1.2818285674345282,1.2155872294573258,-0.06624133797720244,1.5850056412134372,1.4868873335703934,9.58518398392076,8.20071224941783,8.798549916724397
SSP5,1,2020,1.7542454507987089,1.4844074116084027,-0.26983803919030613,2.102853219240508,2.0292025893621504,1.5894862807077463,0.9889135570884254,1.0946388350851595
SSP1,0,2020,-0.415928197937697,-0.4714748330252453,-0.05554663508754831,-0.20948166733388635,-0.29327347163053347,-3.0086755939718834,-3.365728190186785,-3.1992807846067213
SSP2,0,2020,1.1831124953497039,1.0383240616370146,-0.14478843371268924,-43.3915802404936,1.4614945273005304,-93.02136286663104,1.2155175948474275,1.4408648420705044
SSP3,0,2020,5.218721869832504,5.766144866195483,0.5474229963629789,-65733.10666656798,6.662529730926179,2.1200206530102944e8,15.997171012564742,16.40333547189633
SSP4,0,2020,1.2817873574741112,1.215390939198155,-0.06639641827595621,-17.089432211223137,1.4869854318453763,-29.45551900318337,8.200007636617713,8.798470170774019
SSP5,0,2020,1.7543329957337437,1.4854700563394077,-0.26886293939433603,54702.28188657677,2.029201033393605,117842.54244812469,0.9884311156421859,1.0948146506700744
SSP1,-1,2020,-0.41603045047534,-0.4718260054070919,-0.05579555493175192,-0.17901879319103486,-0.2931680679667078,-2.937561399028995,-3.3662726713438826,-3.1988950755063197
SSP2,-1,2020,1.1830535659224237,1.0380292258608954,-0.1450243400615283,-15.409358821077292,1.4614964600329412,-33.643754191480255,1.2149462759001493,1.440754212733442
SSP3,-1,2020,5.218577491205059,5.765230306975795,0.5466528157707362,-139418.0170778749,-641.8743794239758,2.226280799384744e8,15.990550797538813,16.391978141868716
SSP4,-1,2020,1.2816944767467935,1.2151024414480887,-0.06659203529870483,931.4353478125294,1.4842094091488318,-3.4123114888706026e6,8.199175247763748,8.798625953475694
SSP5,-1,2020,1.754321624678265,1.4840231575706833,-0.27029846710758165,-26930.923060885172,-1.2002874938144577,43024.70831793602,0.987761865395575,1.0948681269116047
SSP1,1,2050,-0.07607525033487605,-0.13606318825403152,-0.059987937919155465,0.8673690942840315,0.458500511401321,-0.4988306417025268,-1.9575225165214303,-1.7859419760731328
SSP2,1,2050,2.6763674172898337,2.4085057373430687,-0.267861679946765,4.080798606518953,3.573808151886473,4.983016837218955,3.528211250194466,3.5138322623233824
SSP3,1,2050,2.5915604251441673,9.416921748139238,6.825361322995071,13.805041279938257,12.159983457941296,23.07366676818826,17.753697984029525,18.509062215402416
SSP4,1,2050,2.846791762637735,2.595512534729272,-0.251279227908463,3.976419027043571,3.5917036793873365,18.80986073342811,14.60341191884741,15.006768420088681
SSP5,1,2050,5.628190161362937,5.168790797116742,-0.4593993642461953,7.745596175082717,7.1856850893050215,11.601624773372295,8.168084751020082,7.614596556979141
SSP1,0,2050,-0.07631042614784422,-0.13650428592440011,-0.06019385977655589,0.8675254164977113,0.4586662047295782,-0.4992385871207965,-1.957889701474629,-1.783812126269261
SSP2,0,2050,2.6763506705037305,2.408080737350591,-0.26826993315313974,-20.246470457426256,3.573836214862192,-28.580073086451165,3.527892560310277,3.5148815386568684
SSP3,0,2050,8.721075689615105,9.421377133287937,0.7003014436728314,74989.6434201591,12.159916443356117,4.496590109103157e8,17.75323495785205,18.51115875366956
SSP4,0,2050,2.846870316297922,2.5953836296584205,-0.2514866866395016,-688.0326498309504,3.591784761469976,-830.6301078248829,14.602440198828123,15.007869354472954
SSP5,0,2050,5.628699819718371,5.173926319874409,-0.4547734998439612,11020.130716430085,7.185583703188028,17937.893658584966,8.167902953377391,7.617106947117991
SSP1,-1,2050,-0.07647923421828073,-0.13689612349375446,-0.06041688927547373,0.8434520946932786,0.45888998059608754,-0.5419128729986213,-1.9584315424530843,-1.7820472036160657
SSP2,-1,2050,2.6763070446759714,2.4075618696502685,-0.26874517502570283,-6209.440326232172,3.573669681449172,-8463.873835864862,3.527442617061025,3.5158567994887493
SSP3,-1,2050,8.721103323389418,9.420497602512713,0.699394279123295,-728298.3848161517,14174.487827811718,4.211239755343399e9,17.745566358813793,18.49937522670568
SSP4,-1,2050,2.8467814312671074,2.594916054630208,-0.25186537663689945,-315.0964126564121,3.5803753019444926,-1.0227425343945999e7,14.601170247439129,15.009638126261247
SSP5,-1,2050,5.628731931563795,5.17107193264688,-0.457659998916915,-215585.35286262512,-9.108474499107603,-266131.08705612726,8.166900536062556,7.618422082095705
SSP1,1,2100,3.2261493867955506,2.9260436885016,-0.3001056982939505,8.414128105020458,6.147458771595982,8.994760196804322,-0.6604441551187912,-0.5785319273653231
SSP2,1,2100,4.404788899559987,4.162230737663948,-0.24255816189603951,11.856975906827198,9.043427873079558,13.946830850645675,4.830637226128923,4.553815511067411
SSP3,1,2100,0.0040032407108306885,5.98194323585631,5.977939995145479,17.611465702803862,13.192296051886183,20.098031470762272,7.6858091681200955,8.119764829042843
SSP4,1,2100,3.3994248704728705,3.039306736857087,-0.36011813361578326,9.172880727514626,7.008933104881126,26.940974776743843,10.639418043824394,9.84919044264017
SSP5,1,2100,7.550981318758909,7.424353339061973,-0.12662797969693607,20.066019996795735,15.686608540773944,48.283261911939846,15.907403704139352,14.733272062678703
SSP1,0,2100,3.2260401896206394,2.9247958973715353,-0.3012442922491041,8.41418994580837,6.1475254105810775,8.994452137648004,-0.6607163145480088,-0.573429252780427
SSP2,0,2100,4.404846029617259,4.161562199403006,-0.24328383021425282,-8.288590816536285,9.043370862874173,-21.886052186257263,4.8304964634375755,4.556659758985556
SSP3,0,2100,5.68880633741035,5.986431560104922,0.29762522269457214,-349355.22842557274,13.191433087758547,1.1274823420517504e8,7.685588488798761,8.120601919025427
SSP4,0,2100,3.3995755712794105,3.0393815566389515,-0.36019401464045897,-1563.6691355073044,7.008869439398454,-1618.6462168944358,10.639146838878608,9.853773356690482
SSP5,0,2100,7.551346995662879,7.440684761521679,-0.11066223414120024,-72236.28518790902,15.68646705166238,-285015.8673446101,15.907338736051814,14.743318486886569
SSP1,-1,2100,3.2259821825783694,2.92356985826326,-0.30241232431510934,8.315895964734137,6.147623632541196,8.671373076299501,-0.6613447894395641,-0.5691893897792017
SSP2,-1,2100,4.404859747941765,4.160739565621291,-0.24412018232047394,1847.4021920983353,9.042817263597735,3249.414203366668,4.8302099181049885,4.559164940541946
SSP3,-1,2100,5.688950605776623,5.986609007265039,0.29765840148841605,341335.27473166405,68448.63356152627,7.610428670626886e9,7.6827775200717205,8.11528078700048
SSP4,-1,2100,3.3995594303814123,3.039026111134846,-0.3605333192465663,-184274.23366304906,6.977872796558409,-4.647452145548309e7,10.638773104967516,9.858294420687383
SSP5,-1,2100,7.551350594317221,7.43821567652163,-0.11313491779559115,-406186.8162064071,-12.356208493223944,-907253.8437805307,15.906255800867296,14.74875558530108
