time,temp
1950,0.2
1951,0.2046260133720109
1952,0.20935123312214257
1953,0.21418754215073657
1954,0.21911175040108802
1955,0.22410958630915123
1956,0.22915754966805646
1957,0.23423962394739534
1958,0.23939760614979297
1959,0.24468532061030968
1960,0.25022390471313055
1961,0.2558889632389504
1962,0.261638529297724
1963,0.2675419405769256
1964,0.2735997710045414
1965,0.27983154350079414
1966,0.2862469884192082
1967,0.2928103071530831
1968,0.2995216628486781
1969,0.30645732208680887
1970,0.3137494010045426
1971,0.32137387756234326
1972,0.32915051119228883
1973,0.33703554381621276
1974,0.3450658556018478
1975,0.35322728281941307
1976,0.36150587264048434
1977,0.36993815239458244
1978,0.3786178198737209
1979,0.38761039884626863
1980,0.396841332343537
1981,0.4062832600516365
1982,0.416035713025667
1983,0.4261100720121281
1984,0.4365860769840887
1985,0.4475674113211585
1986,0.4590976826088955
1987,0.47119167296465436
1988,0.4839196754306796
1989,0.49739303217832886
1990,0.5116096688289177
1991,0.5265478631276532
1992,0.5421098520881957
1993,0.5583032706427306
1994,0.5751327807225596
1995,0.5926211627383463
1996,0.6107094127534275
1997,0.6291168663982419
1998,0.6476556161411415
1999,0.6663569039911664
2000,0.6851561395218223
2001,0.7041711689563434
2002,0.7235472925829115
2003,0.7432772258356368
2004,0.7633439427979702
2005,0.7838126155113342
2006,0.8048482392989383
2007,0.82647774097983
2008,0.848634300470656
2009,0.871391229021698
2010,0.8945758893588627
2011,0.918055244016529
2012,0.9417825043834737
2013,0.9657500624969078
2014,0.98993871007164
2015,1.0143700331823557
2016,1.039063674219986
2017,1.0640368864529692
2018,1.0893045754806185
2019,1.1148802129301274
2020,1.140791010703781
2021,1.167075837138506
2022,1.1937560131626452
2023,1.2208321362761616
2024,1.2483046929648347
2025,1.276176256568183
2026,1.304445957440638
2027,1.3331107366883903
2028,1.362166256600879
2029,1.3916083210581491
2030,1.4214601826596884
2031,1.451777721088312
2032,1.4825828749714842
2033,1.5138673650694263
2034,1.5456227482765712
2035,1.5778389650275972
2036,1.6105114043734787
2037,1.6436314986049938
2038,1.6771914258547436
2039,1.7111831731698197
2040,1.7455882825684288
2041,1.7803845681491286
2042,1.8155571556071595
2043,1.8510988419697392
2044,1.887003656154776
2045,1.9232662403076954
2046,1.9598809819506688
2047,1.9968368414818207
2048,2.034124440929378
2049,2.0717350962749745
2050,2.1096339825757013
2051,2.1477731570377903
2052,2.1861286069744725
2053,2.224699311264564
2054,2.2634841430733457
2055,2.3024820496147216
2056,2.3416882940289065
2057,2.38109542284343
2058,2.4206963816743747
2059,2.460485492804772
2060,2.5004496183846596
2061,2.5405739726927936
2062,2.580846817574586
2063,2.6212624373681237
2064,2.6618147828539973
2065,2.7024968354176373
2066,2.7433060085478975
2067,2.784239752207523
2068,2.82529553553985
2069,2.8664704936488428
2070,2.9077574087920395
2071,2.949144211192013
2072,2.9906201216328694
2073,3.0321783358758685
2074,3.073812261426563
2075,3.115514977525699
2076,3.1572827847800427
2077,3.199105489183056
2078,3.2409739835031903
2079,3.2828793303299566
2080,3.3248200264812144
2081,3.366825412707416
2082,3.4089036454121024
2083,3.451047081682566
2084,3.4932481113907974
2085,3.535495057606605
2086,3.5777848959485725
2087,3.6201088238058814
2088,3.662456967651899
2089,3.704821612568441
2090,3.747172989671503
2091,3.7894777244441213
2092,3.8317145350694815
2093,3.8738778831455605
2094,3.915962932474194
2095,3.9579600579868517
2096,3.9998707845794264
2097,4.041688775239765
2098,4.083407674668844
2099,4.125021704474705
2100,4.166505131632433
