time,temp
1950,0.2
1951,0.2046260133720109
1952,0.20935123312214257
1953,0.21418754215073657
1954,0.21911175040108802
1955,0.22410958630915123
1956,0.22915754966805646
1957,0.23423962394739534
1958,0.23939760614979297
1959,0.24468532061030968
1960,0.25022390471313055
1961,0.2558889598685131
1962,0.26163852255969194
1963,0.26754192911154123
1964,0.273599754600269
1965,0.27983152224938507
1966,0.28624696209747363
1967,0.29281027391166614
1968,0.2995216212779079
1969,0.3064572708991504
1970,0.31374934096147117
1971,0.3213738091488585
1972,0.32915043388165593
1973,0.337035456869019
1974,0.34506575775217263
1975,0.35322717462343967
1976,0.3615057560466535
1977,0.369938027149968
1978,0.37861768557208897
1979,0.3876102535058495
1980,0.39684116865792946
1981,0.40628307882608294
1982,0.41603551485566037
1983,0.42610985632802567
1984,0.43658583931000033
1985,0.4475671507952245
1986,0.45909739708764025
1987,0.47119135784783456
1988,0.4839193352524284
1989,0.4973926611231498
1990,0.5116106769046318
1991,0.5265529534152733
1992,0.5421228034634521
1993,0.5583289202264847
1994,0.5751767975330098
1995,0.5926902723391309
1996,0.6108111845141111
1997,0.629259585653018
1998,0.6478483288848564
1999,0.6666094739804425
2000,0.6854788745780019
2001,0.7045753872170025
2002,0.724044976881711
2003,0.743880869993625
2004,0.7640664163087544
2005,0.7846667518417676
2006,0.8058475652866749
2007,0.8276353630358361
2008,0.8499624677755095
2009,0.8729039554314606
2010,0.8962854235901312
2011,0.9199737269839136
2012,0.9439224507668924
2013,0.9681239136605451
2014,0.9925584335430426
2015,1.0172357777907473
2016,1.042152919387508
2017,1.0673263771363175
2018,1.0927671994001271
2019,1.1184863098968725
2020,1.1445137128931775
2021,1.1708993024542305
2022,1.1976740521777394
2023,1.2248476162406703
2024,1.2524286245731404
2025,1.2804181205143488
2026,1.3088234484498855
2027,1.3376492407046028
2028,1.3668981831503735
2029,1.3965726269333503
2030,1.4266990639428645
2031,1.4573440771429877
2032,1.4885392952835532
2033,1.5202853464681727
2034,1.5525820010910814
2035,1.5854235250668078
2036,1.618812684638927
2037,1.652747713144721
2038,1.6872270207741198
2039,1.7222482321901709
2040,1.757796970188882
2041,1.7938579476602174
2042,1.830422564658019
2043,1.8674892931368297
2044,1.9050573359940728
2045,1.9431229840001807
2046,1.981685227754298
2047,2.0207371120946385
2048,2.060272902803972
2049,2.100287181363817
2050,2.1407493488303384
2051,2.1816182814100524
2052,2.2228760328845585
2053,2.264526919876608
2054,2.3065745901640273
2055,2.349019323523945
2056,2.391860580648018
2057,2.4350946395744995
2058,2.4787176857491366
2059,2.5227268831419365
2060,2.567101260420468
2061,2.6118209488016104
2062,2.656869489901672
2063,2.702236721644356
2064,2.747912340877612
2065,2.793881417835984
2066,2.84013794616944
2067,2.8866760181620936
2068,2.9334897660340995
2069,2.980573099010668
2070,3.0279094444671637
2071,3.0754812815662786
2072,3.1232726974457896
2073,3.171272040731769
2074,3.2194681271631183
2075,3.267847240272309
2076,3.3164018511775524
2077,3.3651181264432655
2078,3.413983516086775
2079,3.462985826215164
2080,3.512109553524072
2081,3.561373615117777
2082,3.610776548761182
2083,3.660301845391975
2084,3.7099336780882615
2085,3.759651226225753
2086,3.809444630280332
2087,3.859298732649847
2088,3.909197769973088
2089,3.9591285453174088
2090,4.009055333286196
2091,4.058940647551835
2092,4.108759456526032
2093,4.158502792635933
2094,4.208162732740657
2095,4.257725422767116
2096,4.307190161580146
2097,4.356548644764984
2098,4.405792870450366
2099,4.454915738048425
2100,4.503891901377123
