regtype,beta1,beta2,beta4,beta5,beta7,beta8,beta9,beta10,beta0
reg_quint_ratioavsp_tot_yfe,0.804,0.718,1.762,1.157,-1.105,-0.001,-24.521,1.402,-27.976361815536187
reg_quint_ratioavsp_q1,0.824,0.719,1.808,1.166,-1.1,-0.002,-22.604,1.433,-28.59603686514716
reg_quint_ratioavsp_q2,0.809,0.717,1.76,1.174,-1.081,-0.002,-25.734,1.49,-28.401739314293543
reg_quint_ratioavsp_q3,0.792,0.719,1.865,1.17,-1.099,-0.001,-24.555,1.422,-28.74425333030779
reg_quint_ratioavsp_q4,0.807,0.718,1.834,1.166,-1.086,-0.0,-24.231,1.436,-28.84250155898466
reg_quint_ratioavsp_q5,0.805,0.72,1.808,1.153,-1.12,0.001,-24.608,1.32,-28.473230347873038
