year,orig,dest,fe_OrigCategorical,fe_DestCategorical,fe_YearCategorical
1990,BRA,CHL,48.22458665429517,1.88465121583733,-0.6409583936646044
1990,BRA,CHN,48.22458665429517,17.417768758078168,-0.6409583936646044
1990,BRA,CRI,48.22458665429517,-4.1335990417410144,-0.6409583936646044
1990,BRA,ESP,48.22458665429517,7.730225269518151,-0.6409583936646044
1990,BRA,NLD,48.22458665429517,3.281296333767429,-0.6409583936646044
1990,BRA,PRY,48.22458665429517,-3.455898605564821,-0.6409583936646044
1990,CHL,BRA,50.46039465332437,11.7816265781874,-0.6409583936646044
1990,CHL,ESP,50.46039465332437,7.730225269518151,-0.6409583936646044
1990,CHL,NLD,50.46039465332437,3.281296333767429,-0.6409583936646044
1990,CHL,TUN,50.46039465332437,-2.4517133334136165,-0.6409583936646044
1990,CHN,BRA,48.18508029665113,11.7816265781874,-0.6409583936646044
1990,CHN,CHL,48.18508029665113,1.88465121583733,-0.6409583936646044
1990,CHN,HND,48.18508029665113,-3.11010468365369,-0.6409583936646044
1990,CHN,LKA,48.18508029665113,-0.33306484538146996,-0.6409583936646044
1990,CHN,NLD,48.18508029665113,3.281296333767429,-0.6409583936646044
1990,CHN,THA,48.18508029665113,6.027111595121102,-0.6409583936646044
1990,CRI,BRA,52.28074736070715,11.7816265781874,-0.6409583936646044
1990,CRI,CHL,52.28074736070715,1.88465121583733,-0.6409583936646044
1990,CRI,CHN,52.28074736070715,17.417768758078168,-0.6409583936646044
1990,CRI,EGY,52.28074736070715,5.067363188837028,-0.6409583936646044
1990,CRI,ESP,52.28074736070715,7.730225269518151,-0.6409583936646044
1990,CRI,HND,52.28074736070715,-3.11010468365369,-0.6409583936646044
1990,CRI,JAM,52.28074736070715,-6.399797603691594,-0.6409583936646044
1990,CRI,NLD,52.28074736070715,3.281296333767429,-0.6409583936646044
1990,EGY,BRA,49.41848576941715,11.7816265781874,-0.6409583936646044
1990,EGY,CHL,49.41848576941715,1.88465121583733,-0.6409583936646044
1990,EGY,CHN,49.41848576941715,17.417768758078168,-0.6409583936646044
1990,EGY,CRI,49.41848576941715,-4.1335990417410144,-0.6409583936646044
1990,EGY,ESP,49.41848576941715,7.730225269518151,-0.6409583936646044
1990,EGY,HND,49.41848576941715,-3.11010468365369,-0.6409583936646044
1990,EGY,JAM,49.41848576941715,-6.399797603691594,-0.6409583936646044
1990,EGY,LKA,49.41848576941715,-0.33306484538146996,-0.6409583936646044
1990,EGY,MAR,49.41848576941715,1.1812833050760858,-0.6409583936646044
1990,EGY,NLD,49.41848576941715,3.281296333767429,-0.6409583936646044
1990,EGY,PRY,49.41848576941715,-3.455898605564821,-0.6409583936646044
1990,EGY,THA,49.41848576941715,6.027111595121102,-0.6409583936646044
1990,EGY,TUN,49.41848576941715,-2.4517133334136165,-0.6409583936646044
1990,ESP,BRA,50.51460331978273,11.7816265781874,-0.6409583936646044
1990,ESP,CHL,50.51460331978273,1.88465121583733,-0.6409583936646044
1990,ESP,NLD,50.51460331978273,3.281296333767429,-0.6409583936646044
1990,HND,BRA,49.99582147149866,11.7816265781874,-0.6409583936646044
1990,HND,CHL,49.99582147149866,1.88465121583733,-0.6409583936646044
1990,HND,CHN,49.99582147149866,17.417768758078168,-0.6409583936646044
1990,HND,CRI,49.99582147149866,-4.1335990417410144,-0.6409583936646044
1990,HND,EGY,49.99582147149866,5.067363188837028,-0.6409583936646044
1990,HND,ESP,49.99582147149866,7.730225269518151,-0.6409583936646044
1990,HND,JAM,49.99582147149866,-6.399797603691594,-0.6409583936646044
1990,HND,NLD,49.99582147149866,3.281296333767429,-0.6409583936646044
1990,IDN,BRA,48.36223051011957,11.7816265781874,-0.6409583936646044
1990,IDN,CHL,48.36223051011957,1.88465121583733,-0.6409583936646044
1990,IDN,CHN,48.36223051011957,17.417768758078168,-0.6409583936646044
1990,IDN,CRI,48.36223051011957,-4.1335990417410144,-0.6409583936646044
1990,IDN,EGY,48.36223051011957,5.067363188837028,-0.6409583936646044
1990,IDN,ESP,48.36223051011957,7.730225269518151,-0.6409583936646044
1990,IDN,HND,48.36223051011957,-3.11010468365369,-0.6409583936646044
1990,IDN,JAM,48.36223051011957,-6.399797603691594,-0.6409583936646044
1990,IDN,LKA,48.36223051011957,-0.33306484538146996,-0.6409583936646044
1990,IDN,NLD,48.36223051011957,3.281296333767429,-0.6409583936646044
1990,IDN,PRY,48.36223051011957,-3.455898605564821,-0.6409583936646044
1990,IDN,THA,48.36223051011957,6.027111595121102,-0.6409583936646044
1990,IDN,TUN,48.36223051011957,-2.4517133334136165,-0.6409583936646044
1990,IRN,CHL,51.12980272336977,1.88465121583733,-0.6409583936646044
1990,IRN,CHN,51.12980272336977,17.417768758078168,-0.6409583936646044
1990,IRN,CRI,51.12980272336977,-4.1335990417410144,-0.6409583936646044
1990,IRN,EGY,51.12980272336977,5.067363188837028,-0.6409583936646044
1990,IRN,ESP,51.12980272336977,7.730225269518151,-0.6409583936646044
1990,IRN,LKA,51.12980272336977,-0.33306484538146996,-0.6409583936646044
1990,IRN,MAR,51.12980272336977,1.1812833050760858,-0.6409583936646044
1990,IRN,NLD,51.12980272336977,3.281296333767429,-0.6409583936646044
1990,IRN,THA,51.12980272336977,6.027111595121102,-0.6409583936646044
1990,IRN,TUN,51.12980272336977,-2.4517133334136165,-0.6409583936646044
1990,JAM,BRA,52.22594265608933,11.7816265781874,-0.6409583936646044
1990,JAM,CHL,52.22594265608933,1.88465121583733,-0.6409583936646044
1990,JAM,ESP,52.22594265608933,7.730225269518151,-0.6409583936646044
1990,JAM,NLD,52.22594265608933,3.281296333767429,-0.6409583936646044
1990,LKA,BRA,51.41772712781088,11.7816265781874,-0.6409583936646044
1990,LKA,CHL,51.41772712781088,1.88465121583733,-0.6409583936646044
1990,LKA,CHN,51.41772712781088,17.417768758078168,-0.6409583936646044
1990,LKA,CRI,51.41772712781088,-4.1335990417410144,-0.6409583936646044
1990,LKA,EGY,51.41772712781088,5.067363188837028,-0.6409583936646044
1990,LKA,ESP,51.41772712781088,7.730225269518151,-0.6409583936646044
1990,LKA,JAM,51.41772712781088,-6.399797603691594,-0.6409583936646044
1990,LKA,NLD,51.41772712781088,3.281296333767429,-0.6409583936646044
1990,LKA,PAK,51.41772712781088,7.278266464178408,-0.6409583936646044
1990,LKA,THA,51.41772712781088,6.027111595121102,-0.6409583936646044
1990,MAR,BRA,50.48459874171398,11.7816265781874,-0.6409583936646044
1990,MAR,CHL,50.48459874171398,1.88465121583733,-0.6409583936646044
1990,MAR,CHN,50.48459874171398,17.417768758078168,-0.6409583936646044
1990,MAR,CRI,50.48459874171398,-4.1335990417410144,-0.6409583936646044
1990,MAR,EGY,50.48459874171398,5.067363188837028,-0.6409583936646044
1990,MAR,ESP,50.48459874171398,7.730225269518151,-0.6409583936646044
1990,MAR,HND,50.48459874171398,-3.11010468365369,-0.6409583936646044
1990,MAR,JAM,50.48459874171398,-6.399797603691594,-0.6409583936646044
1990,MAR,NLD,50.48459874171398,3.281296333767429,-0.6409583936646044
1990,MAR,PRY,50.48459874171398,-3.455898605564821,-0.6409583936646044
1990,MAR,TUN,50.48459874171398,-2.4517133334136165,-0.6409583936646044
1990,NLD,BRA,53.47363775956762,11.7816265781874,-0.6409583936646044
1990,NLD,CHL,53.47363775956762,1.88465121583733,-0.6409583936646044
1990,NLD,CHN,53.47363775956762,17.417768758078168,-0.6409583936646044
1990,NLD,CRI,53.47363775956762,-4.1335990417410144,-0.6409583936646044
1990,NLD,EGY,53.47363775956762,5.067363188837028,-0.6409583936646044
1990,NLD,ESP,53.47363775956762,7.730225269518151,-0.6409583936646044
1990,NLD,HND,53.47363775956762,-3.11010468365369,-0.6409583936646044
1990,NLD,THA,53.47363775956762,6.027111595121102,-0.6409583936646044
1990,PAK,BRA,48.82685400408381,11.7816265781874,-0.6409583936646044
1990,PAK,CHL,48.82685400408381,1.88465121583733,-0.6409583936646044
1990,PAK,CHN,48.82685400408381,17.417768758078168,-0.6409583936646044
1990,PAK,CRI,48.82685400408381,-4.1335990417410144,-0.6409583936646044
1990,PAK,EGY,48.82685400408381,5.067363188837028,-0.6409583936646044
1990,PAK,ESP,48.82685400408381,7.730225269518151,-0.6409583936646044
1990,PAK,JAM,48.82685400408381,-6.399797603691594,-0.6409583936646044
1990,PAK,LKA,48.82685400408381,-0.33306484538146996,-0.6409583936646044
