regtype,b3,b6,b13,b7,b8,b9,b10,b0
reg_ratio_ineq_yfe,0.051,0.184,0.356,-1.259,0.019,-48.253,0.824,17.212545654547796
reg_ratio_ineq_odyfe,-1.09,-0.01,0.091,-1.138,0.009,-15.138,1.541,16.0748745310041
