time,globalincome,globalypc
1950,5159.484646999531,2047.089607601782
1951,5359.052162576998,2086.5347221856073
1952,5566.657462979298,2128.372178378634
1953,5782.640646607725,2172.0712907419133
1954,6007.357035673677,2217.1996323709277
1955,6241.177899317487,2263.4211776673983
1956,6484.491213104989,2310.5000969839375
1957,6737.70245682819,2358.298737959116
1958,7001.235452642854,2406.768550467239
1959,7275.533245688332,2455.932971219864
1960,7561.059029453983,2505.8336342396133
1961,7847.412957025107,2552.930979296933
1962,8228.262570928391,2627.0754192569966
1963,8683.278575460963,2720.040029352213
1964,9126.15641223452,2803.7724167511624
1965,9711.918993836156,2925.1226156752714
1966,10229.480907331405,3019.2429133295664
1967,10832.538160769458,3132.1521649008105
1968,11352.074113071987,3215.1056597970855
1969,12069.0874231961,3348.3905328721867
1970,12809.037170502792,3481.958943386175
1971,13189.117534673615,3513.842919301688
1972,13749.276941774417,3591.0104235135377
1973,14545.571527465447,3725.478547293857
1974,15482.724214606746,3890.3726889997947
1975,15727.388388236146,3878.705408303148
1976,15869.313181052792,3843.072227900696
1977,16671.704487850948,3966.1619916253176
1978,17335.424981668824,4052.416686681363
1979,18046.46992465965,4145.7363460224915
1980,18795.93393957511,4243.141982291574
1981,19114.944083093294,4240.349956339214
1982,19532.951120620382,4257.982192466421
1983,19703.93047019483,4220.478610122402
1984,20269.994046488704,4265.39841655073
1985,21195.812335866834,4380.899142578677
1986,22018.057534070387,4468.815400744208
1987,22778.45870848191,4539.1759721510925
1988,23659.770462901473,4629.818816414523
1989,24802.677305213107,4768.357281729535
1990,25778.74862957327,4872.788690426406
1991,26584.888727969497,4944.733133330102
1992,27072.936400025592,4958.425530441772
1993,27573.214307622482,4975.71894646711
1994,27949.11517942264,4971.453954826442
1995,28782.4353189297,5048.0392594092855
1996,29672.03550736059,5132.671329252773
1997,30676.474574617994,5235.15744645414
1998,31744.090474019267,5345.999185171526
1999,32416.904613202783,5388.660669665392
2000,33459.850294613374,5491.191366826417
2001,34885.05999522836,5653.23673906447
2002,35507.72567499168,5682.845055019693
2003,36253.095804682554,5730.9289357458665
2004,37192.66262451637,5807.715441386781
2005,38636.914665150434,5959.856109448282
2006,39937.34209219141,6085.680220536891
2007,41413.609463704575,6234.2415437222
2008,42869.64253684171,6375.5867733721225
2009,43374.311355864644,6373.248700733283
2010,42307.504523915566,6142.42982468806
2011,43936.96945630914,6303.581831760097
2012,44969.680082642866,6376.083730359409
2013,45873.845404337146,6428.760570850223
2014,46878.49805102916,6494.175661658791
2015,48215.61336875694,6602.821628397882
2016,49748.724352789104,6742.20130315629
2017,51309.64620321787,6882.440614099801
2018,52843.01302650153,7016.188080824477
2019,54385.530043556166,7148.462993311666
2020,55924.211454265765,7277.620747922141
2021,57463.2833190135,7410.311018785531
2022,59002.096990421735,7540.601756655995
2023,60543.98116653738,7668.979396734791
2024,62086.9219091825,7795.242371193124
2025,63632.545076311355,7919.649122632522
2026,65163.68514450231,8047.9585785471845
2027,66697.18622254214,8174.612749804118
2028,68232.41797821085,8299.57330032838
2029,69769.97171402493,8422.950449571039
2030,71309.59258296719,8544.749692589083
2031,72814.9999686511,8668.300657378597
2032,74322.37497389353,8790.494864785773
2033,75831.83177030178,8911.372647226555
2034,77343.45778595141,9030.970079620161
2035,78857.19824495446,9149.30585125151
2036,80398.06300105836,9276.92511741285
2037,81941.0154369027,9403.400855891969
2038,83486.04264736325,9528.75096887695
2039,85033.21848997437,9653.002787626978
2040,86582.67885288368,9776.190005722008
2041,88162.38297223224,9909.500825273262
2042,89744.26817796273,10041.862964694134
2043,91328.40609000881,10173.297939203087
2044,92914.82878977775,10303.822451399075
2045,94503.61070225632,10433.45756441008
2046,96095.11699721328,10571.36394031217
2047,97688.91729402804,10708.55084803888
2048,99285.05792856695,10845.03177389033
2049,100883.61422185501,10980.823119828023
2050,102484.62287118808,11115.936863602383
2051,104152.61301980706,11267.51292013812
2052,105823.09391918224,11418.580460487601
2053,107496.19306870233,11569.157947979604
2054,109171.9180669993,11719.250774020587
2055,110850.36819665974,11868.874072482638
2056,112650.59363869118,12041.144011426231
2057,114453.60501503239,12213.135074800175
2058,116259.48512081483,12384.858353061052
2059,118068.38780097381,12556.332392269669
2060,119880.3555899206,12727.563805525384
2061,121814.92901886327,12921.150768901833
2062,123752.66093189859,13114.727128870696
2063,125693.61326460724,13308.300347636405
2064,127637.90108993785,13501.883482075313
2065,129585.68015079801,13695.493841122909
2066,131630.16446692043,13908.302188774804
2067,133678.07737245105,14121.380321431889
2068,135729.52530490962,14334.740169593537
2069,137784.6016312153,14548.39228849304
2070,139843.4192674075,14762.349304967236
2071,141979.50486132136,14993.347307594022
2072,144119.2460067506,15224.908421559505
2073,146262.7132138658,15457.041589971655
2074,148410.00820846384,15689.75908732902
2075,150561.21860636835,15923.071739564735
2076,152825.61237243286,16177.544147454195
2077,155093.84611792234,16432.90269484069
2078,157366.0334393496,16689.162744349484
2079,159642.25525274975,16946.33627627083
2080,161922.6022956461,17204.436392482417
2081,164310.7590452441,17483.350910090012
2082,166702.88298046502,17763.499456444857
2083,169099.04509592056,18044.89576266101
2084,171499.37200796747,18327.559611941644
2085,173903.95527528733,18611.50718759499
2086,176429.34330332096,18917.573371640265
2087,178958.77059101016,19225.24065079897
2088,181492.3070601902,19534.526405619796
2089,184030.0417504107,19845.450244777425
2090,186572.0714695409,20158.032801625002
2091,189245.89681584784,20493.75317141159
2092,191923.80370099953,20831.459952627945
2093,194605.8454582901,21171.173211794194
2094,197292.0943530399,21512.91529789391
