regions,quintiles,pop,time,income,entermig,leavemig,deadmig,deadmigcost,receive,send,remittances
WEU,3,83.5633549503311,2068,3843.491424050359,173737.32222518587,195916.2263120996,0.0,0.0,29.736971959436527,43.06346250502295,-13.32649054558642
WEU,4,83.5633549503311,2068,5502.681017213556,313140.7216988177,251779.40308525256,0.0,0.0,38.78622352853786,102.62219533659032,-63.83597180805246
WEU,5,83.5633549503311,2068,10373.280852212849,335669.86170355626,306744.4136848614,0.0,0.0,47.8392025085184,250.1253553041662,-202.2861527956478
JPK,1,29.233080017678134,2068,1198.9856009522737,188018.07081018822,26552.909215700827,0.0,0.0,2.930444235991514,38.02963856518381,-35.099194329192294
JPK,2,29.233080017678134,2068,2037.1026865166325,115377.93445225662,15496.5920025739,0.0,0.0,1.5275681176048925,36.39851354603645,-34.870945428431554
JPK,3,29.233080017678134,2068,2883.281650903029,50477.03954489876,36966.652215079914,0.0,0.0,3.9775084367717426,18.81135129979006,-14.833842863018319
JPK,4,29.233080017678134,2068,4080.7833533867533,74405.04902427497,47273.02430759928,0.0,0.0,5.390634775586687,39.93341008744581,-34.54277531185912
JPK,5,29.233080017678134,2068,7522.3810695548445,74122.09519654559,56684.64299824756,0.0,0.0,6.647609070706534,75.30850979843581,-68.66090072772927
ANZ,1,6.920450023683179,2068,146.3828780612239,61161.97404098996,8849.313303283743,0.0,0.0,0.7807723411028689,6.075820885827664,-5.295048544724795
ANZ,2,6.920450023683179,2068,263.3031554028929,39659.307478948496,7349.453741902776,0.0,0.0,0.7115428415759933,7.325315924611601,-6.613773083035608
ANZ,3,6.920450023683179,2068,387.86130879443886,21546.179059698363,14210.822539496912,0.0,0.0,1.2544496078525167,4.677711569732014,-3.423261961879497
ANZ,4,6.920450023683179,2068,571.360596745986,32988.659483869254,17156.00021996936,0.0,0.0,1.528940612495736,8.216196009478786,-6.6872553969830495
ANZ,5,6.920450023683179,2068,1137.9584378921695,37828.258034068436,19644.747055120042,0.0,0.0,1.807590405620425,22.3079453902278,-20.500354984607377
EEU,1,16.0670612755539,2068,96.71649477804951,117938.15122418758,82165.9508385401,0.4122034829759901,0.004726913323899601,23.681974266354228,2.7606684412214584,20.92130582513277
EEU,2,16.0670612755539,2068,172.18709996275493,60457.520131719044,62970.56077550136,0.32209498816385246,0.003693600743304931,17.47148320935879,2.6598189090914945,14.811664300267296
EEU,3,16.0670612755539,2068,252.20120902849402,8983.253335630327,110953.44329895059,0.5639777502260678,0.006467373644394466,31.261729798557433,0.7278866978172419,30.533843100740192
EEU,4,16.0670612755539,2068,368.84499689196764,30281.99591791357,120584.88759941979,0.0,0.0,33.46950447365394,3.006612616209912,30.462891857444028
EEU,5,16.0670612755539,2068,723.9098662674119,58909.23886819781,164438.48424876976,0.0,0.0,44.80838760404234,15.07512483344994,29.733262770592397
FSU,1,58.32411384462991,2068,195.21234265932375,157979.5586010712,30558.939060105953,0.0,0.0,7.322135122866508,2.30323819923298,5.018896923633529
FSU,2,58.32411384462991,2068,352.171867845745,129422.69265341126,30762.127095739987,0.0,0.0,7.635205325588064,3.747516633339705,3.887688692248359
FSU,3,58.32411384462991,2068,518.8207207355034,26032.96018142852,48221.117894530194,0.0,0.0,12.327260876740224,1.4701891806143812,10.857071696125843
FSU,4,58.32411384462991,2068,766.3062364022246,49974.08116166458,49241.925666744006,0.0,0.0,11.870467044577172,4.2771106122559654,7.593356432321206
FSU,5,58.32411384462991,2068,1531.473378765576,92885.58425474647,59392.681475042395,0.0,0.0,14.06817189132974,25.498260086417247,-11.430088195087507
MDE,1,90.76323655561399,2068,393.6506853488399,72443.83980064084,43765.01270908171,182.9561080887432,1.3760761703491475,8.541667156896315,7.551219869726169,0.990447287170146
MDE,2,90.76323655561399,2068,669.4838289587311,57530.550465307846,45787.57089828642,205.17423119308748,1.5309088349481625,9.019778182352601,9.471088688165564,-0.4513105058129625
MDE,3,90.76323655561399,2068,946.1131260244384,38596.02791442835,67562.00619382838,291.0745450351946,2.155286982663702,15.12727401057888,13.831859358663053,1.2954146519158272
MDE,4,90.76323655561399,2068,1341.1397482553418,66216.19130214595,99729.68017066803,0.0,0.0,20.824594558162286,30.95790122509536,-10.133306666933073
MDE,5,90.76323655561399,2068,2477.253985192234,88227.32706345776,128481.0198694888,0.0,0.0,29.50367218914822,108.12403187846071,-78.6203596893125
CAM,1,41.793427855135626,2068,218.72330753208843,68374.75097527745,78399.14383136985,145.56294077902973,1.8400037889398457,18.75822022217711,0.7001269007380203,18.058093321439088
CAM,2,41.793427855135626,2068,359.08058923158654,60502.77227132105,81741.16779695905,156.45449117521073,1.9776795867023034,20.962969398371882,1.0107581825902894,19.952211215781592
CAM,3,41.793427855135626,2068,495.2512041198344,45347.189772512,135349.39678849134,264.6378013861466,3.345182191574474,35.64829352373536,1.028537625542642,34.61975589819272
CAM,4,41.793427855135626,2068,684.8387583028198,65925.83229728513,161657.4246203922,0.0,0.0,43.09678380789544,2.412483123763615,40.68430068413183
CAM,5,41.793427855135626,2068,1203.1458491550325,180836.9909913228,215763.55061164056,0.0,0.0,60.92127403778959,12.878962957735762,48.04231108005382
LAM,1,96.63308962651564,2068,346.18550290576854,59563.71675112903,51597.16182631162,10.805616586328998,0.11043785592219812,7.575591647194728,0.7880024542725358,6.7875891929221925
LAM,2,96.63308962651564,2068,741.0404529008943,42994.06491363056,56499.634916428695,11.351053078623742,0.11806047819383594,8.842199802505245,1.3228122234024358,7.519387579102809
LAM,3,96.63308962651564,2068,1230.179322859259,28285.945531291156,90415.04196506111,18.69983955963541,0.19354421234522332,13.702941098126391,1.505079376175023,12.19786172195137
LAM,4,96.63308962651564,2068,2054.749585984119,55159.72598013471,127351.24143944481,0.0,0.0,19.255688278396267,4.978063712535775,14.277624565860492
LAM,5,96.63308962651564,2068,5264.471261893063,80009.8096783734,165779.82600159015,0.0,0.0,24.8085353548827,24.100727022232636,0.7078083326500639
SAS,1,460.0780873282829,2068,587.1736732960327,31708.505835685955,91947.1753560952,151.05928156940718,0.8867684655745854,35.02744973102985,0.47463741561576384,34.55281231541408
SAS,2,460.0780873282829,2068,1087.1872526751406,25884.60405729278,90360.9014942213,143.08961667044215,0.8534524962329512,35.30559574586877,0.7602775517494561,34.54531819411932
SAS,3,460.0780873282829,2068,1628.212891620978,17792.682934211076,114673.96825892363,189.55125915397196,1.1012822904309818,43.46556725235197,1.115092511865996,42.35047474048597
SAS,4,460.0780873282829,2068,2448.225235193611,31714.845697832567,167233.37504713138,0.0,0.0,62.713583567586014,2.9336779562894972,59.77990561129651
SAS,5,460.0780873282829,2068,5072.2002546310305,70232.36708949493,231876.80227473634,0.0,0.0,92.76373709490468,23.0380793456865,69.72565774921819
SEA,1,165.68471843057594,2068,458.9188312975452,48349.94976001132,57453.69982593122,4.200932293337164,0.007456715134802721,20.70026226906347,1.3464177695305268,19.353844499532944
SEA,2,165.68471843057594,2068,774.427417571598,34285.306207921094,52848.26405444503,3.509447760968983,0.00622932016198449,21.607372441308858,1.5857511218040468,20.02162131950481
SEA,3,165.68471843057594,2068,1087.9499265568325,20334.956417147223,74874.2817566215,5.162181918675132,0.00916294702074609,31.3713997224752,1.7852892263560118,29.58611049611919
SEA,4,165.68471843057594,2068,1532.735405610149,35639.01555119795,98496.88789947837,0.0,0.0,43.57843655061275,3.3301064975338606,40.24833005307889
SEA,5,165.68471843057594,2068,2799.3104625683845,75914.55455230268,128026.68933858875,0.0,0.0,57.60523708133814,13.978563457518883,43.62667362381926
CHI,1,228.45746461244053,2068,763.9162306480966,62157.255787609676,78107.57965581413,0.0,0.0,38.515691645515375,2.0633165539284923,36.45237509158688
CHI,2,228.45746461244053,2068,1243.2778211719913,43199.032618270074,56156.16189438139,0.0,0.0,27.54806969252819,1.8083859615935287,25.73968373093466
CHI,3,228.45746461244053,2068,1704.658038692594,18462.552501207243,104362.85202667475,0.0,0.0,55.26185452630252,1.7035251468041255,53.558329379498396
CHI,4,228.45746461244053,2068,2342.859780339456,38549.50667578595,116774.4458103372,0.0,0.0,60.81393808193484,3.620413140338017,57.19352494159683
CHI,5,228.45746461244053,2068,4083.1701222480838,93535.75874597486,155591.88661210012,0.0,0.0,86.41367930685205,12.516985822098961,73.89669348475309
MAF,1,57.19634308976536,2068,133.85503013572742,13926.502914027478,22469.560277872002,37.72333622475892,0.4321508333485199,8.080452192113416,0.10754548682533217,7.972906705288084
MAF,2,57.19634308976536,2068,221.85896777237377,11591.343773011613,20585.27771413394,34.31237049144534,0.3931080203441662,8.079801212857605,0.1376618994982124,7.942139313359393
MAF,3,57.19634308976536,2068,307.679502707721,9251.77155493724,30022.81063668816,50.73490502809159,0.5812722303951405,11.449575993210948,0.2116072432179482,11.237968749993
MAF,4,57.19634308976536,2068,427.65990124627893,13580.277394863659,46085.42563627015,0.0,0.0,19.541154028979218,0.3899136499468685,19.151240379032348
MAF,5,57.19634308976536,2068,761.6763570850773,25941.427192957068,58587.618112399214,0.0,0.0,26.199499221821462,1.6669865471831389,24.532512674638323
SSA,1,459.69362250822434,2068,659.3315729144849,33577.48243965307,91426.1244086595,1326.9295858649116,9.717674624720587,16.62563552365051,0.1337801353846488,16.49185538826586
SSA,2,459.69362250822434,2068,1249.1324730614147,28660.18387904058,92252.02283374598,1285.8955778007935,9.5087656744351,17.499908278600728,0.24848860371861767,17.25141967488211
SSA,3,459.69362250822434,2068,1900.9672871861876,21043.926860549473,123623.64881548051,1783.4938392472727,13.20856304046956,22.611448943869767,0.333006604925766,22.278442338944
SSA,4,459.69362250822434,2068,2905.2155124660726,29554.472207941268,175827.10490202464,0.0,0.0,34.41327730799307,0.616684823510248,33.79659248448282
SSA,5,459.69362250822434,2068,6214.84229116712,70345.3730490204,226503.29374623005,0.0,0.0,50.99783289579779,9.907383657415563,41.09044923838223
SIS,1,12.803090508036288,2068,17.51380552677935,5743.846582597783,9936.62620514709,4.529535407041846,0.01944008831485534,3.7684784568538574,0.041273880469730295,3.727204576384127
SIS,2,12.803090508036288,2068,33.977996328377365,4998.998283856264,10096.028406153971,4.012492423689416,0.017456376255947818,3.8126724265925276,0.0667004128624869,3.7459720137300407
SIS,3,12.803090508036288,2068,52.45751986694391,4960.763443248714,16075.47645621352,5.993918266222781,0.026292191898668535,6.03205852456772,0.09607085034267539,5.935987674225045
SIS,4,12.803090508036288,2068,81.41771873584766,7378.45430282382,21471.567113650308,0.0,0.0,8.247765787409872,0.2113240440391888,8.036441743370682
SIS,5,12.803090508036288,2068,179.66214653871225,14852.25928139827,29753.0807210014,0.0,0.0,11.597094282804207,1.7280549815466062,9.869039301257601
USA,1,78.9780389287905,2069,877.4929001053601,798016.6454351529,220470.75567487956,0.0,0.0,7.5743041704603495,28.153995593418323,-20.57969142295797
USA,2,78.9780389287905,2069,1888.2735311706667,738250.9132013044,244832.21776461086,0.0,0.0,9.198767397831467,73.05491903305933,-63.85615163522787
USA,3,78.9780389287905,2069,3168.564209499318,274019.93010073405,370629.837381137,0.0,0.0,14.369774719099865,46.359359916563356,-31.98958519746349
USA,4,78.9780389287905,2069,5323.78797399689,403985.05548291025,458664.0828344972,0.0,0.0,18.743856587918803,92.38357747585984,-73.63972088794104
USA,5,78.9780389287905,2069,13805.029974413352,536197.0876961019,636857.1221459268,0.0,0.0,28.652440282468387,321.12563402005344,-292.47319373758506
CAN,1,7.720676400892444,2069,51.57194465446835,339350.18148838694,69931.839388628,0.0,0.0,2.297949053458085,6.269531255985161,-3.9715822025270757
CAN,2,7.720676400892444,2069,115.88699764322838,227208.62604470967,82306.54600926231,0.0,0.0,2.959502857321726,9.25608728330147,-6.296584425979744
CAN,3,7.720676400892444,2069,205.4386440699882,75362.53225352049,178346.24607225254,0.0,0.0,6.37713929107767,6.908935786986159,-0.5317964959084893
CAN,4,7.720676400892444,2069,359.5129062821132,148087.69632555186,248367.9270085182,0.0,0.0,8.96862890883458,10.090608420521109,-1.1219795116865292
CAN,5,7.720676400892444,2069,1004.6626047091061,308465.0523614504,405947.1418532853,0.0,0.0,14.470210048911582,54.66944476867608,-40.1992347197645
WEU,1,83.45087603362472,2069,1565.998253563514,695532.0406793125,161203.05612792118,0.0,0.0,23.74815644183008,66.40771505008384,-42.65955860825376
WEU,2,83.45087603362472,2069,2709.098450328581,371599.83458012284,114502.47967040978,0.0,0.0,16.16252141764434,55.05362464666082,-38.89110322901648
WEU,3,83.45087603362472,2069,3884.0984514908555,176178.5985449189,197672.08348332788,0.0,0.0,29.307706421001402,42.44820501850433,-13.14049859750293
WEU,4,83.45087603362472,2069,5566.695233401433,316882.551412435,253958.14847828593,0.0,0.0,38.23984177219613,101.95547634596538,-63.71563457376925
WEU,5,83.45087603362472,2069,10514.932570487217,340092.5535821664,309368.3678162127,0.0,0.0,47.17023177231498,250.21765648132595,-203.04742470901095
JPK,1,29.030966089657927,2069,1205.624291821406,190441.71301462044,26907.4645474695,0.0,0.0,2.9168222288211303,38.18001341888949,-35.263191190068355
JPK,2,29.030966089657927,2069,2048.44593348387,116916.93781498208,15745.998738228569,0.0,0.0,1.5278921948811397,37.01450145245645,-35.48660925757531
JPK,3,29.030966089657927,2069,2899.5936098693737,51298.65049572026,37523.62046847793,0.0,0.0,3.969194979790257,19.18402056087616,-15.214825581085904
JPK,4,29.030966089657927,2069,4104.042398294781,75660.90999998912,47909.46701647958,0.0,0.0,5.373022679212077,40.88983286772917,-35.51681018851709
JPK,5,29.030966089657927,2069,7565.907627668643,75436.3581944418,57424.68598680166,0.0,0.0,6.626107294154379,77.12630510479737,-70.50019781064299
ANZ,1,6.941074712377814,2069,147.82715265992377,63160.668672132364,9047.649467075003,0.0,0.0,0.7883619379248563,5.807482873187336,-5.01912093526248
ANZ,2,6.941074712377814,2069,266.26303133486033,40966.304557532116,7516.5071110915105,0.0,0.0,0.7173709192729174,7.197461673293645,-6.480090754020728
ANZ,3,6.941074712377814,2069,392.64537982712415,22258.33824311834,14556.98488114451,0.0,0.0,1.2710014454430714,4.605641815037521,-3.33464036959445
ANZ,4,6.941074712377814,2069,579.0020818094766,34079.192790088746,17579.364590812645,0.0,0.0,1.550630676329357,8.176622700718138,-6.625992024388781
ANZ,5,6.941074712377814,2069,1155.5021306998037,39068.795947647624,20147.39754436299,0.0,0.0,1.8352243082495994,22.344302803061854,-20.509078494812254
EEU,1,15.915533094295878,2069,96.71480011512517,118380.52952931609,82552.93453055229,0.41419627785130153,0.00481263187110802,23.487335433899624,2.700877155120707,20.786458278778916
EEU,2,15.915533094295878,2069,172.72771239446215,60779.871413266505,63370.80360191366,0.32421948481967133,0.0037671729788879126,17.354327659820886,2.6529916469704053,14.70133601285048
