time,temp
1950,0.2
1951,0.2046260133720109
1952,0.20935123312214257
1953,0.21418754215073657
1954,0.21911175040108802
1955,0.22410958630915123
1956,0.22915754966805646
1957,0.23423962394739534
1958,0.23939760614979297
1959,0.24468532061030968
1960,0.25022390471313055
1961,0.25588896124925137
1962,0.26163852534827126
1963,0.26754193409810656
1964,0.2735997619830699
1965,0.27983153196996363
1966,0.28624697415267547
1967,0.2928102889713446
1968,0.29952164000479137
1969,0.30645729412370554
1970,0.3137493684578319
1971,0.32137384080266324
1972,0.3291504699540135
1973,0.33703549776145375
1974,0.34506580406630144
1975,0.35322722600510253
1976,0.36150581156750994
1977,0.36993808703195974
1978,0.37861774993862085
1979,0.3876103231657101
1980,0.3968412468767348
1981,0.4062831651690069
1982,0.41603560905439113
1983,0.4261099587036244
1984,0.4365859519137526
1985,0.4475672739520039
1986,0.4590975316781427
1987,0.4711915061504284
1988,0.48391949491393343
1989,0.497392835057577
1990,0.5116108616857887
1991,0.5265531465101216
1992,0.5421230067046721
1993,0.5583291326929438
1994,0.575177018967451
1995,0.5926905027009483
1996,0.610811421909899
1997,0.6292598310286588
1998,0.647848578872675
1999,0.6666097306505943
2000,0.6854791404069891
2001,0.7045756602357711
2002,0.7240452539684614
2003,0.7438811526457406
2004,0.7640667039227288
2005,0.7846670433675368
2006,0.8058478571906594
2007,0.8276356514327309
2008,0.8499627453629783
2009,0.8729042134354943
2010,0.8962856581577127
2011,0.9199739315643963
2012,0.943921715853685
2013,0.9681195828458478
2014,0.9925454782175773
2015,1.0171926263636863
2016,1.0420394867651792
2017,1.0670844118925704
2018,1.0923212981129777
2019,1.1177446447292734
2020,1.143369088578257
2021,1.169223327633916
2022,1.1953195556415437
2023,1.2216506035366286
2024,1.2482100745698488
2025,1.2749923430573273
2026,1.3019916508843157
2027,1.329200842586406
2028,1.356612081951225
2029,1.384218226567177
2030,1.4120406651815673
2031,1.4401356889638226
2032,1.4685258610106793
2033,1.497203706206525
2034,1.5261618055110393
2035,1.5553899917628877
2036,1.5848851126705288
2037,1.6146402284987622
2038,1.6446492906849894
2039,1.6749061575437092
2040,1.7053921870276858
2041,1.7360867752364246
2042,1.766976468883686
2043,1.7980554092631995
2044,1.8293189136751933
2045,1.860761135642162
2046,1.8923778167698182
2047,1.9241592534817922
2048,1.9560973392919885
2049,1.9881846714077382
2050,2.0203804111948727
2051,2.0526325103944227
2052,2.084913239033375
2053,2.11721822443617
2054,2.1495432591329373
2055,2.181883853286484
2056,2.2142328774077713
2057,2.246580752510906
2058,2.2789185362701643
2059,2.3112389146323884
2060,2.3435216760568847
2061,2.3757463104104373
2062,2.4078959303428387
2063,2.4399601760502856
2064,2.47192879748713
2065,2.503789797359772
2066,2.5355373460668833
2067,2.5671627366518948
2068,2.598658308885101
2069,2.6300169439818477
2070,2.6612256310839593
2071,2.692268613226082
2072,2.723131932732281
2073,2.7538060677401845
2074,2.7842821861192637
2075,2.814551051481584
2076,2.844607661321358
2077,2.874440925041783
2078,2.9040412133985383
2079,2.9333994132733343
2080,2.962515459046165
2081,2.9914210283082823
2082,3.0201266274468264
2083,3.048627011904709
2084,3.0769170368435095
2085,3.1049873632591236
2086,3.132837632791167
2087,3.160461795712778
2088,3.1878528131159016
2089,3.215005877855329
2090,3.2418993918869945
2091,3.2685077012296366
2092,3.2948167818914174
2093,3.320827996353613
2094,3.346543112095276
2095,3.3719585740509075
2096,3.397082055132329
2097,3.421913166023578
2098,3.4464513067210865
2099,3.4706962651892885
2100,3.4946329350287413
