time,regions,emission,co2red
1950,USA,0.00021838014585774418,0.0
1950,CAN,0.005011183170657029,0.0
1950,WEU,9.203136564223737e-5,0.0
1950,JPK,5.362308657224777e-5,0.0
1950,ANZ,0.0013689241562053844,0.0
1950,EEU,0.008315520493920904,0.0
1950,FSU,0.005423812571786413,0.0
1950,MDE,0.0013674229052946293,0.0
1950,CAM,0.005916339673091411,0.0
1950,LAM,0.0009159436294023071,0.0
1950,SAS,0.003951036512441944,0.0
1950,SEA,0.004643100251381104,0.0
1950,CHI,0.020219419771920464,0.0
1950,MAF,0.02383225253839978,0.0
1950,SSA,0.002295038391451089,0.0
1950,SIS,0.06935925405560592,0.0
1951,USA,623.9331342942364,0.0
1951,CAN,39.249253755326514,0.0
1951,WEU,347.7748921317359,0.0
1951,JPK,20.44229165436561,0.0
1951,ANZ,20.12656054862299,0.0
1951,EEU,65.31627329289822,0.0
1951,FSU,153.87280659134163,0.0
1951,MDE,7.737181858695926,0.0
1951,CAM,10.265714507133893,0.0
1951,LAM,36.329828435347984,0.0
1951,SAS,13.257171680432267,0.0
1951,SEA,3.130987421878847,0.0
1951,CHI,6.227162773905276,0.0
1951,MAF,4.637703233721589,0.0
1951,SSA,20.69947468871438,0.0
1951,SIS,3.2481173809450548,0.0
1952,USA,659.6483057772468,0.0
1952,CAN,42.7268195178445,0.0
1952,WEU,358.9943324798812,0.0
1952,JPK,20.535956427470314,0.0
1952,ANZ,20.875868817366097,0.0
1952,EEU,66.37213591242559,0.0
1952,FSU,155.94846329231063,0.0
1952,MDE,7.566468260361928,0.0
1952,CAM,10.852183748853342,0.0
1952,LAM,38.62959317763298,0.0
1952,SAS,13.236208152242193,0.0
1952,SEA,3.1980300383802702,0.0
1952,CHI,5.4253797244221005,0.0
1952,MAF,4.990103044135855,0.0
1952,SSA,20.823665237195925,0.0
1952,SIS,3.269229620468478,0.0
1953,USA,697.4078845916673,0.0
1953,CAN,46.51250486164231,0.0
1953,WEU,370.5757191461004,0.0
1953,JPK,20.630050364284696,0.0
1953,ANZ,21.653073699653778,0.0
1953,EEU,67.44506695633041,0.0
1953,FSU,158.0521194223907,0.0
1953,MDE,7.399521296080014,0.0
1953,CAM,11.472157348330265,0.0
1953,LAM,41.07493851023839,0.0
1953,SAS,13.215277773620123,0.0
1953,SEA,3.2665082123661926,0.0
1953,CHI,4.7268308574678315,0.0
1953,MAF,5.3692802527840255,0.0
1953,SSA,20.94860089117236,0.0
1953,SIS,3.290479086146442,0.0
1954,USA,737.3288966725046,0.0
1954,CAN,50.63360982440476,0.0
1954,WEU,382.5307287500019,0.0
1954,JPK,20.724575431198936,0.0
1954,ANZ,22.459213781445563,0.0
1954,EEU,68.53534234224185,0.0
1954,FSU,160.18415267796593,0.0
1954,MDE,7.236257858633068,0.0
1954,CAM,12.127549373530846,0.0
1954,LAM,43.6750800315636,0.0
1954,SAS,13.194380492146745,0.0
1954,SEA,3.3364526828709655,0.0
1954,CHI,4.11822417784591,0.0
1954,MAF,5.777269562963276,0.0
1954,SSA,21.07428612104992,0.0
1954,SIS,3.311866669926844,0.0
1955,USA,779.5350667516506,0.0
1955,CAN,55.11985328410741,0.0
1955,WEU,394.87141460640777,0.0
1955,JPK,20.81953360361303,0.0
1955,ANZ,23.29536631507145,0.0
1955,EEU,69.64324244810341,0.0
1955,FSU,162.34494585032996,0.0
1955,MDE,7.076596674486091,0.0
1955,CAM,12.820383241067995,0.0
1955,LAM,46.439816709354695,0.0
1955,SAS,13.173516255485616,0.0
1955,SEA,3.4078948471319226,0.0
1955,CHI,3.5879791112474857,0.0
1955,MAF,6.216260286625136,0.0
1955,SSA,21.200725424055857,0.0
1955,SIS,3.333393269555082,0.0
1956,USA,824.1572018103183,0.0
1956,CAN,60.00358727331256,0.0
1956,WEU,407.6102188777816,0.0
1956,JPK,20.914926865978096,0.0
1956,ANZ,24.16264865877406,0.0
1956,EEU,70.76905218427567,0.0
1956,FSU,164.53488689441335,0.0
1956,MDE,6.92045826332775,0.0
1956,CAM,13.552797963172042,0.0
1956,LAM,49.37956780937468,0.0
1956,SAS,13.152685011383092,0.0
1956,SEA,3.480866774683245,0.0
1956,CHI,3.1260061489615154,0.0
1956,MAF,6.688608092445075,0.0
1956,SSA,21.327923324399453,0.0
1956,SIS,3.3550597886117726,0.0
1957,USA,871.3335964810532,0.0
1957,CAN,65.32003028215865,0.0
1957,WEU,420.7599851187024,0.0
1957,JPK,21.01075721183782,0.0
1957,ANZ,25.06221976984462,0.0
1957,EEU,71.91306106680459,0.0
1957,FSU,166.7543689984383,0.0
1957,MDE,6.7677648985045975,0.0
1957,CAM,14.327054751544143,0.0
1957,LAM,52.50541216174651,0.0
1957,SAS,13.13188670766811,0.0
1957,SEA,3.5554012217515734,0.0
1957,CHI,2.7235148645967615,0.0
1957,MAF,7.196847646579188,0.0
1957,SSA,21.45588437343389,0.0
1957,SIS,3.3768671365506457,0.0
1958,USA,921.2104616557649,0.0
1958,CAN,71.10752123248142,0.0
1958,WEU,434.33397122503004,0.0
1958,JPK,21.10702664387013,0.0
1958,ANZ,25.9952817533481,0.0
1958,EEU,73.07556329187389,0.0
1958,FSU,169.00379065451241,0.0
1958,MDE,6.618440568328266,0.0
1958,CAM,15.145543998480843,0.0
1958,LAM,55.82912991294951,0.0
1958,SAS,13.111121292252134,0.0
1958,SEA,3.6315316459599023,0.0
1958,CHI,2.3728466497558487,0.0
1958,MAF,7.743706213939408,0.0
1958,SSA,21.58461314981903,0.0
1958,SIS,3.3988162287367407,0.0
