time,temp
1950,0.2
1951,0.2046260133720109
1952,0.20935123312214257
1953,0.21418754215073657
1954,0.21911175040108802
1955,0.22410958630915123
1956,0.22915754966805646
1957,0.23423962394739534
1958,0.23939760614979297
1959,0.24468532061030968
1960,0.25022390471313055
1961,0.25588896124925137
1962,0.26163852534827126
1963,0.26754193409810656
1964,0.2735997619830699
1965,0.27983153196996363
1966,0.28624697415267547
1967,0.2928102889713446
1968,0.29952164000479137
1969,0.30645729412370554
1970,0.3137493684578319
1971,0.32137384080266324
1972,0.3291504699540135
1973,0.33703549776145375
1974,0.34506580406630144
1975,0.35322722600510253
1976,0.36150581156750994
1977,0.36993808703195974
1978,0.37861774993862085
1979,0.3876103231657101
1980,0.3968412468767348
1981,0.4062831651690069
1982,0.41603560905439113
1983,0.4261099587036244
1984,0.4365859519137526
1985,0.4475672739520039
1986,0.4590975316781427
1987,0.4711915061504284
1988,0.48391949491393343
1989,0.497392835057577
1990,0.511611155798949
1991,0.5265543208851864
1992,0.5421258883505421
1993,0.5583348127118193
1994,0.5751868131900324
1995,0.5927060451780997
1996,0.6108345885118093
1997,0.629292709887396
1998,0.6478934454201614
1999,0.6666691514484586
2000,0.685555783234649
2001,0.7046724950463976
2002,0.7241654625544068
2003,0.7440281856367612
2004,0.7642441995162963
2005,0.7848786587699933
2006,0.806097558381993
2007,0.8279272301231045
2008,0.850299941047746
2009,0.8732910552643902
2010,0.8967259837715851
2011,0.9204708411369223
2012,0.9444787030947837
2013,0.9687401863510751
2014,0.9932330098257267
2015,1.0179503357795738
2016,1.0428705819885684
2017,1.0679919281625088
2018,1.0933081319305367
2019,1.1188135112936597
2020,1.144522501687296
2021,1.1704635161243264
2022,1.1966484783194486
2023,1.223069929912643
2024,1.2497211944145508
2025,1.276596388260469
2026,1.3036894567939274
2027,1.3309929381621415
2028,1.3584986927462093
2029,1.3861992684542928
2030,1.4141157342332185
2031,1.4423040150413695
2032,1.4707863100063172
2033,1.49955477824269
2034,1.5286016355025944
2035,1.557916373553576
2036,1.5874954709560003
2037,1.6173316197759167
2038,1.647418404310461
2039,1.6777493160772705
2040,1.7083053391985503
2041,1.7390654789049549
2042,1.7700158935160917
2043,1.8011503372623272
2044,1.8324637421150705
2045,1.8639498990058398
2046,1.8956041648617727
2047,1.9274164565452232
2048,1.9593782943713527
2049,1.991481907935819
2050,2.0236862172026897
2051,2.05593889972989
2052,2.088211962071021
2053,2.1205007801457847
2054,2.1528009073676735
2055,2.1851076806383065
2056,2.2174137524922575
2057,2.2497093408386624
2058,2.2819853151888854
2059,2.314234188009694
2060,2.3464356866280975
2061,2.378569212715636
2062,2.410617810191493
2063,2.4425710684325908
2064,2.47441870414896
2065,2.5061487226722887
2066,2.5377552905686267
2067,2.569229793061799
2068,2.6005646713682298
2069,2.6317529173703256
2070,2.6627818625910153
2071,2.6936360752241058
2072,2.7243019224926512
2073,2.75477020476629
2074,2.785032422434171
2075,2.8150796942344525
2076,2.844907369486664
2077,2.874504716339905
2078,2.9038624696954636
2079,2.9329718845456845
2080,2.9618334745697403
2081,2.990479464632305
2082,3.0189209030008883
2083,3.0471530799708786
2084,3.075171374707884
2085,3.1029669839215606
2086,3.130540076170078
2087,3.1578851297483483
2088,3.1849956307744636
2089,3.211867291250042
2090,3.23847891295878
2091,3.264805231643989
2092,3.29083261493964
2093,3.316562814828339
2094,3.34199798295644
2095,3.3671349439545635
2096,3.3919817416667555
2097,3.4165383561112543
2098,3.440804550286231
2099,3.464780466822206
2100,3.4884510695462425
