time,regions,loss,elossall,slossall
1950,USA,,0.0,0.0
1950,CAN,,0.0,0.0
1950,WEU,,0.0,0.0
1950,JPK,,0.0,0.0
1950,ANZ,,0.0,0.0
1950,EEU,,0.0,0.0
1950,FSU,,0.0,0.0
1950,MDE,,0.0,0.0
1950,CAM,,0.0,0.0
1950,LAM,,0.0,0.0
1950,SAS,,0.0,0.0
1950,SEA,,0.0,0.0
1950,CHI,,0.0,0.0
1950,MAF,,0.0,0.0
1950,SSA,,0.0,0.0
1950,SIS,,0.0,0.0
1951,USA,1.550729103059818e8,-1.7619283454805184,1.9170012557865002
1951,CAN,-1.408521899522056e8,-0.15395016982859874,0.013097979876393133
1951,WEU,5.661345628040859e7,-1.4832906386507185,1.5399040949311271
1951,JPK,-1.0789818392615125e8,-0.9706675385110248,0.8627693545848736
1951,ANZ,-7.662952132816854e7,-0.10610767913027273,0.029478157802104193
1951,EEU,-7.695884707970934e7,-0.14430115672698351,0.06734230964727418
1951,FSU,2.1558217098900137e9,-0.10337867720399548,2.259200387094009
1951,MDE,-9.060480935634218e7,-0.562935479276215,0.4723306699198728
1951,CAM,9.588782697388644e8,-0.07907478045017477,1.0379530501890393
1951,LAM,2.0233669459899166e8,-0.05682777409380297,0.25916446869279464
1951,SAS,3.394315109734807e8,-0.043440113629273434,0.3828716246027541
1951,SEA,6.644378891189775e8,0.0687031052658233,0.5957347838531541
1951,CHI,6.376733493632163e8,-0.3796466136280276,1.017319962991244
1951,MAF,9.537450476443862e8,0.044764011236258616,0.9089810364081276
1951,SSA,2.0175366014605248e9,0.12952754692987906,1.8880090545306458
1951,SIS,4.898610195321946e7,-0.0021073903095284526,0.05109349226274791
1952,USA,1.3907679590793332e8,-1.8447169870363522,1.9837937829442855
1952,CAN,-1.5091156532187772e8,-0.1652437148713815,0.014332149549503802
1952,WEU,5.412691772600886e7,-1.5209372546463602,1.575064172372369
1952,JPK,-1.4781827070189667e8,-1.0250439265075477,0.877225655805651
1952,ANZ,-8.856247807540765e7,-0.11968042500868287,0.03111794693327521
1952,EEU,-8.255424581505834e7,-0.1517002951769579,0.06914604936189957
1952,FSU,2.1991889072168455e9,-0.11245811430494895,2.3116470215217944
1952,MDE,-1.198780648437705e8,-0.6050937259688907,0.48521566112512016
1952,CAM,9.723672780901248e8,-0.08744446702084196,1.0598117451109668
1952,LAM,1.953039680741545e8,-0.07216052171127955,0.2674644897854341
1952,SAS,2.357973457049913e8,-0.1569776895172306,0.3927750352222219
1952,SEA,6.404885501514682e8,0.051359209194731296,0.5891293409567369
1952,CHI,5.1589637444587874e8,-0.5060060606512248,1.0219024350971035
1952,MAF,9.538722148623227e8,0.04813803879579042,0.9057341760665323
1952,SSA,2.0577550415115829e9,0.11256491308204924,1.9451901284295334
1952,SIS,4.596190630195554e7,-0.005694326093306487,0.05165623239526203
