time,globalpopulation
1950,2.5204e9
1951,2.568398266079889e9
1952,2.6154530300334525e9
1953,2.662270189406421e9
1954,2.709434436108851e9
1955,2.75740898817136e9
1956,2.8065314611194625e9
1957,2.857018217572822e9
1958,2.908977454971175e9
1959,2.962431520301048e9
1960,3.0173826889941807e9
1961,3.0738837127458315e9
1962,3.1320998668761287e9
1963,3.1923348486635747e9
1964,3.254956200335741e9
1965,3.320175004559301e9
1966,3.3880946982336435e9
1967,3.458496774888491e9
1968,3.530855690070369e9
1969,3.6044443755022407e9
1970,3.6786870203719606e9
1971,3.753473856849215e9
1972,3.8288045202391157e9
1973,3.9043498285693183e9
1974,3.9797534715336785e9
1975,4.0548035317579184e9
1976,4.12932993188148e9
1977,4.2034855164902005e9
1978,4.277799229936862e9
1979,4.353019202963503e9
1980,4.429720715926663e9
1981,4.507869463584473e9
1982,4.587372665667721e9
1983,4.668648343090021e9
1984,4.752192425410122e9
1985,4.838233350286759e9
1986,4.927045661900386e9
1987,5.018192475513855e9
1988,5.110301590856711e9
1989,5.201514030890088e9
1990,5.2903482217532835e9
1991,5.37640540628317e9
1992,5.459987012786656e9
1993,5.541554696115617e9
1994,5.6219210394316435e9
1995,5.701707659231022e9
1996,5.781014431093225e9
1997,5.859707069150997e9
1998,5.937918646935695e9
1999,6.015766737810309e9
2000,6.093372600321874e9
2001,6.170816921469042e9
2002,6.248236229642878e9
2003,6.325873659328515e9
2004,6.404016135695953e9
2005,6.482867950987184e9
2006,6.562519009690159e9
2007,6.642935459445219e9
2008,6.724040216596319e9
2009,6.805692948864959e9
2010,6.887757566692696e9
2011,6.97016997279791e9
2012,7.052879572978594e9
2013,7.135732986200488e9
2014,7.21855656132237e9
2015,7.302286070665754e9
2016,7.379289933789165e9
2017,7.456310205464844e9
2018,7.533318153234469e9
2019,7.61031549524129e9
2020,7.687301463787235e9
2021,7.755970238362178e9
2022,7.824634245469268e9
2023,7.893292660540184e9
2024,7.961944824306333e9
2025,8.030590263676071e9
2026,8.091459012575765e9
2027,8.152325721600554e9
2028,8.2131892790926e9
2029,8.274048893032037e9
2030,8.334903924880787e9
2031,8.389869993538445e9
2032,8.444833932752121e9
2033,8.499794769370557e9
2034,8.554751836976176e9
2035,8.609704560746252e9
2036,8.660083026622942e9
2037,8.710458176259487e9
2038,8.760829355103642e9
2039,8.811196043379616e9
2040,8.861557810360909e9
2041,8.907604685592655e9
2042,8.953647326779692e9
2043,8.999685260168583e9
2044,9.04571807657558e9
2045,9.091745403648682e9
2046,9.132547852549559e9
2047,9.173346020459976e9
2048,9.214139531968042e9
2049,9.254928043702894e9
2050,9.295711234236828e9
2051,9.330289240146332e9
2052,9.364863753992706e9
2053,9.399434476638048e9
2054,9.434001128308578e9
2055,9.468563441138308e9
2056,9.49694946918025e9
2057,9.525333411475336e9
2058,9.553715039577517e9
2059,9.582094132602642e9
2060,9.610470473705933e9
2061,9.633584528011137e9
2062,9.65669830320925e9
2063,9.67981163787651e9
2064,9.702924372272245e9
2065,9.726036348426426e9
2066,9.74529199721618e9
2067,9.764549637069433e9
2068,9.783809173295376e9
2069,9.803070512346058e9
2070,9.822333557216375e9
2071,9.838691692522764e9
2072,9.855054950623135e9
2073,9.871423322053589e9
2074,9.88779679398868e9
2075,9.90417535055983e9
2076,9.9178168227046e9
2077,9.931467883576853e9
2078,9.94512863310918e9
2079,9.95879916725547e9
2080,9.972479578287615e9
2081,9.983249849499458e9
2082,9.994035510152258e9
2083,1.0004836777173603e10
2084,1.0015653860993074e10
2085,1.002648696280218e10
2086,1.0034520440474056e10
2087,1.004257589530556e10
2088,1.0050653635967129e10
2089,1.0058753962177464e10
2090,1.0066877161012558e10
2091,1.0072943022917675e10
2092,1.0079036288302425e10
2093,1.0085157235240507e10
2094,1.0091306115469473e10
2095,1.0097483158985483e10
2096,1.0102373879251404e10
2097,1.0107292880543158e10
2098,1.0112240144782928e10
2099,1.011721564879594e10
2100,1.0122219368152302e10
