time,acco2
1950,310.74999999964
1951,311.5178381723978
1952,312.285566887353
1953,313.05959173195527
1954,313.84434730199797
1955,314.6430929576258
1956,315.4583975847228
1957,316.29243579112085
1958,317.1471698067999
1959,318.02446214654833
1960,318.9146460649871
1961,319.8151408759687
1962,320.7268660831978
1963,321.66930795990294
1964,322.63573498948904
1965,323.6383507698726
1966,324.67705466970034
1967,325.7535200419778
1968,326.8437285183244
1969,327.96792611285247
1970,329.1479285550288
1971,330.3579692917377
1972,331.62178510938827
1973,332.9624754451319
1974,334.3938111920812
1975,335.8466768451083
1976,337.307517944678
1977,338.863715306519
1978,340.5004512648821
1979,342.2300492876482
1980,344.10089244732046
1981,346.066301082204
1982,348.1540991710736
1983,350.3085035479713
1984,352.63921912906983
1985,355.22046173554
1986,358.02132849265666
1987,361.0417170949049
1988,364.30999311748843
1989,367.87766682550335
1990,371.40406695519135
1991,374.91459203439007
1992,378.3144582664708
1993,381.67541981572026
1994,384.93733915521756
1995,388.29027447770443
1996,391.6182276399944
1997,394.90619672666867
1998,398.1908056471293
1999,401.52646156018204
2000,404.782260240873
2001,408.1577173819499
2002,411.5718481827844
2003,414.9987692142836
2004,418.3707649985704
2005,421.65875053472786
2006,424.9918325816886
2007,428.1623698498242
2008,431.0763171934883
2009,434.3643957727702
2010,437.21299865032046
2011,440.01792412725996
2012,442.87733065693567
2013,445.6980054752052
2014,448.4280297899718
2015,451.19396957887295
2016,453.95774907230765
2017,456.8121188745843
2018,459.73795906010486
2019,462.7376516084244
2020,465.8234272262102
2021,469.01489313437963
2022,472.3076876414073
2023,475.70076470209506
2024,479.19133449176263
2025,482.7488627074824
2026,486.40250617290536
2027,490.1515470933975
2028,493.9943587232591
2029,497.93008208705066
2030,501.94549917714875
2031,506.06670279933655
2032,510.29170341857724
2033,514.619332339908
2034,519.0486250053732
2035,523.568828749154
2036,528.1898147406672
2037,532.9109322492565
2038,537.7313999390776
2039,542.6501294918331
2040,547.6661337802406
2041,552.7866016031501
2042,558.0107622060038
2043,563.3377412708032
2044,568.7670332996868
2045,574.2931814451774
2046,579.9210061605021
2047,585.6497450524723
2048,591.4788619455587
2049,597.4080203007981
2050,603.4454000258977
2051,609.600212490861
2052,615.8711594011976
2053,622.2567015958562
2054,628.7560681681715
2055,635.3506447851973
2056,642.0594212050934
2057,648.8818017517691
2058,655.8168411504793
2059,662.8640435348818
2060,669.9590942461836
2061,677.117265289778
2062,684.3399549183398
2063,691.628082901109
2064,698.9820715346592
2065,706.383425035517
2066,713.8530892510142
2067,721.3909356275728
2068,728.9964506512035
2069,736.6697509602418
2070,744.3660664999057
2071,752.101801436949
2072,759.8779756783867
2073,767.6952940231354
2074,775.5541797615705
2075,783.439453223326
2076,791.3680043380319
2077,799.3398989943107
2078,807.3552151517562
2079,815.4139502953866
2080,823.3974414980221
2081,831.3249019743207
2082,839.1997059110907
2083,847.024695128561
2084,854.8017867274041
2085,862.5210506012558
2086,870.1960738832289
2087,877.8274909570106
2088,885.4167263826567
2089,892.9645935058213
2090,900.459553845769
2091,907.9151904359658
2092,915.3320560204083
2093,922.7104344182686
2094,930.0503277742225
2095,937.341518280436
2096,944.5970352791732
2097,951.8181924528257
2098,959.0093157091392
2099,966.1748449052362
2100,973.3276166417327
