time,globalincome,globalypc
1950,5159.484646999531,2047.089607601782
1951,5359.052162576998,2086.5347221856073
1952,5566.657462979298,2128.372178378634
1953,5782.640646607725,2172.0712907419133
1954,6007.357035673677,2217.1996323709277
1955,6241.177899317487,2263.4211776673983
1956,6484.491213104989,2310.5000969839375
1957,6737.70245682819,2358.298737959116
1958,7001.235452642854,2406.768550467239
1959,7275.533245688332,2455.932971219864
1960,7561.059029453983,2505.8336342396133
1961,7847.412957025107,2552.930979296933
1962,8228.262570928391,2627.0754192569966
1963,8683.278575460963,2720.040029352213
1964,9126.15641223452,2803.7724167511624
1965,9711.918993836156,2925.1226156752714
1966,10229.480907331405,3019.2429133295664
1967,10832.538160769458,3132.1521649008105
1968,11352.074113071987,3215.1056597970855
1969,12069.0874231961,3348.3905328721867
1970,12809.037170502792,3481.958943386175
1971,13189.117534673615,3513.842919301688
1972,13749.276941774417,3591.0104235135377
1973,14545.571527465447,3725.478547293857
1974,15482.724214606746,3890.3726889997947
1975,15727.388388236146,3878.705408303148
1976,15869.313181052792,3843.072227900696
1977,16671.704487850948,3966.1619916253176
1978,17335.424981668824,4052.416686681363
1979,18046.46992465965,4145.7363460224915
1980,18795.93393957511,4243.141982291574
1981,19114.944083093294,4240.349956339214
1982,19532.951120620382,4257.982192466421
1983,19703.93047019483,4220.478610122402
1984,20269.994046488704,4265.39841655073
1985,21195.812335866834,4380.899142578677
1986,22018.057534070387,4468.815400744208
1987,22778.45870848191,4539.1759721510925
1988,23659.770462901473,4629.818816414523
1989,24802.677305213107,4768.357281729535
1990,25782.050153585616,4873.412755973562
1991,26591.822977310163,4946.022797897336
1992,27083.746049256984,4960.405053221346
1993,27588.171417379872,4978.417505978628
1994,27968.520868817468,4974.90493418321
1995,28806.864243686854,5052.322609721468
1996,29701.992178293796,5137.851725760876
1997,30712.528217827978,5241.308339738391
1998,31786.62363598816,5353.15980832248
1999,32465.57160738045,5396.74779031348
2000,33515.40133252599,5500.304709295945
2001,34949.14500738558,5663.6180633061485
2002,35579.452043120844,5694.320181119586
2003,36333.43422797658,5743.6240757563055
2004,37282.81653314274,5821.787795291458
2005,38738.73343706835,5975.555980813021
2006,40051.43812792051,6103.059726827949
2007,41541.77783435818,6253.528409496784
2008,43013.51633606401,6396.976097082126
2009,43530.96113187715,6396.258230840264
2010,42473.165146345564,6166.47333483837
2011,44116.296218524156,6329.3011198770555
2012,45166.5789909977,6403.992425421709
2013,46087.136466676486,6458.641995925541
2014,47109.584201091064,6526.179003014011
2015,48466.810255991426,6637.211637675163
2016,50021.81199917029,6779.201383154626
2017,51604.74558980709,6922.0134135052285
2018,53160.96855060798,7058.393595219994
2019,54726.59915940351,7193.2822626921625
2020,56288.54006725034,7325.02088136777
2021,57851.748143401004,7460.394917172801
2022,59415.685531011564,7593.447643250998
2023,60983.61715267712,7724.655347388986
2024,62553.50791692778,7853.812023772954
2025,64126.92236225568,7981.166833268187
2026,65686.08841867093,8112.465208358636
2027,67248.36571079823,8242.154819462958
2028,68813.10590314494,8370.194100602892
2029,70380.85638958369,8496.687010553322
2030,71951.3289118771,8621.634229217612
2031,73486.50229154066,8748.227812686027
2032,75024.16000644761,8873.4864877682
2033,76564.37356899792,8997.445167969709
2034,78107.1914155079,9120.13507536975
2035,79652.51447953707,9241.569556401033
2036,81224.48561385485,9372.272178213949
2037,82798.81960049777,9501.829346748038
2038,84375.45412774094,9630.253376997613
2039,85954.4084467788,9757.565563150401
2040,87535.75648702667,9883.792812520074
2041,89146.5083702412,10020.106628681606
2042,90759.27582288504,10155.426333585385
2043,92374.06073073288,10289.766303136947
2044,93990.82344620572,10423.136006748073
2045,95609.56109094649,10555.54878739823
2046,97228.53661886044,10696.042470099044
2047,98849.19449883603,10835.731434193633
2048,100471.48372494837,10974.619454553274
2049,102095.37879898991,11112.712978496955
2050,103720.79911916287,11250.012382020841
2051,105410.15985408575,11403.552778043964
2052,107100.74064168286,11556.43755167824
2053,108792.53159663905,11708.671535145813
2054,110485.39446102016,11860.245719234737
2055,112179.27402977925,12011.160059946047
2056,113992.01941977428,12184.52750167206
2057,115805.44559823618,12357.387901632615
2058,117619.44390679312,12529.733125749415
2059,119433.96586805946,12701.561467571515
2060,121248.83959388084,12872.85813844165
2061,123182.16951445764,13066.181692202439
2062,125115.34076705627,13259.143775028133
2063,127048.16290797132,13451.726093552263
2064,128980.4836356682,13643.914454405782
2065,130912.17804694602,13835.697609842986
2066,132934.69266133077,14046.152987748615
2067,134955.85999281547,14256.374913089914
2068,136975.51249312508,14466.346733750419
2069,138993.40041178584,14676.043146241389
2070,141009.2749844908,14885.438988828853
2071,143094.10323882653,15111.070648030045
2072,145175.81814184954,15336.546515056358
2073,147254.08927572364,15561.832358487985
2074,149328.60070325027,15786.895440556036
2075,151399.00582280694,16011.699751969287
2076,153572.20213341076,16256.601523614861
2077,155740.21030558966,16501.415106912496
2078,157902.65504397335,16746.101271939293
2079,160059.1174258539,16990.61603467376
2080,162209.16898962468,17234.914257223485
2081,164453.26370714823,17498.543917495022
2082,166689.4488558932,17762.09777320985
2083,168917.2274567245,18025.52321607914
2084,171136.1361829894,18288.77095107092
2085,173345.66670055705,18551.786606964437
2086,175658.734520849,18834.972066640283
2087,177960.8099974642,19118.056550648784
2088,180251.3011492662,19400.97641178598
2089,182529.61190089234,19683.667100186973
2090,184795.1325712141,19966.062127564102
2091,187170.71319495415,20269.04167788588
2092,189531.33850023712,20571.790525005723
2093,191876.36032268553,20874.23703998308
2094,194205.12786675277,21176.308668220976
