time,regions,loss,elossall,slossall
1950,USA,,0.0,0.0
1950,CAN,,0.0,0.0
1950,WEU,,0.0,0.0
1950,JPK,,0.0,0.0
1950,ANZ,,0.0,0.0
1950,EEU,,0.0,0.0
1950,FSU,,0.0,0.0
1950,MDE,,0.0,0.0
1950,CAM,,0.0,0.0
1950,LAM,,0.0,0.0
1950,SAS,,0.0,0.0
1950,SEA,,0.0,0.0
1950,CHI,,0.0,0.0
1950,MAF,,0.0,0.0
1950,SSA,,0.0,0.0
1950,SIS,,0.0,0.0
1951,USA,-6.214544665419954e8,-2.5384557223284956,1.9170012557865002
1951,CAN,-1.7121543507132888e8,-0.18431341494772202,0.013097979876393133
1951,WEU,-3.9245128960288363e9,-5.464416990959964,1.5399040949311276
1951,JPK,-1.8184866713822649e9,-2.6812560259671385,0.8627693545848736
1951,ANZ,-2.5782609397098964e8,-0.2873042517730939,0.029478157802104193
1951,EEU,-3.5186247179079217e8,-0.41920478143806633,0.06734230964727418
1951,FSU,1.4455666380876732e9,-0.813633749006336,2.259200387094009
1951,MDE,-3.2194232407564455e8,-0.7942729939955173,0.47233066991987277
1951,CAM,7.906428694353293e8,-0.24731018075370986,1.0379530501890393
1951,LAM,-7.569579625465871e7,-0.33486026494745336,0.25916446869279464
1951,SAS,8.075490164245108e7,-0.30211672296030306,0.38287162460275415
1951,SEA,4.808490543673412e8,-0.11488572948581295,0.5957347838531541
1951,CHI,1.2755860779278028e8,-0.8897613551984637,1.017319962991244
1951,MAF,8.931577283854445e8,-0.015823308022683072,0.9089810364081276
1951,SSA,1.87594636755895e9,-0.0120626869716956,1.8880090545306456
1951,SIS,7.028659283846869e6,-0.044064832978901035,0.051093492262747904
1952,USA,-6.762364820496323e8,-2.660030264993918,1.9837937829442855
1952,CAN,-1.8332125061498678e8,-0.19765340016449057,0.014332149549503802
1952,WEU,-4.109704013906925e9,-5.684768186279294,1.5750641723723693
1952,JPK,-1.95762550416143e9,-2.834851159967081,0.877225655805651
1952,ANZ,-2.790519050676834e8,-0.3101698520009586,0.0311179469332752
1952,EEU,-3.724860565170453e8,-0.4416321058789449,0.06914604936189961
1952,FSU,1.4481335834113147e9,-0.8635134381104796,2.3116470215217944
1952,MDE,-3.660640604982934e8,-0.8512797216234134,0.48521566112512
1952,CAM,7.914978691111443e8,-0.26831387599982254,1.0598117451109668
1952,LAM,-1.0270363242244485e8,-0.370168122207879,0.26746448978543413
1952,SAS,-3.4843275231541514e7,-0.42761831045376353,0.392775035222222
1952,SEA,4.4316265105956787e8,-0.145966689897169,0.5891293409567369
1952,CHI,-2.9686795323713657e7,-1.0515892304208172,1.0219024350971035
1952,MAF,8.89000922518093e8,-0.01673325354843923,0.9057341760665323
1952,SSA,1.9094067179585059e9,-0.03578341047102628,1.945190128429532
1952,SIS,1.4186544784233063e6,-0.05023757791683873,0.051656232395262035
1953,USA,-7.424512794885714e8,-2.7993392924113127,2.0568880129227414
1953,CAN,-1.962452289069247e8,-0.211940928800535,0.015695699893610308
1953,WEU,-4.326731950277924e9,-5.9397119977328545,1.6129800474549312
1953,JPK,-2.1107544881722724e9,-3.0028083179751444,0.8920538298028721
1953,ANZ,-2.9551521470020604e8,-0.32845670506075314,0.03294149036054712
1953,EEU,-3.943545883665495e8,-0.4653151687942937,0.07096058042774421
1953,FSU,1.4590905231652539e9,-0.9101737907340175,2.3692643138992713
1953,MDE,-4.0989986401800895e8,-0.9082765211104643,0.4983766570924554
1953,CAM,7.908868992457565e8,-0.2900405306936636,1.08092742993942
1953,LAM,-1.2301049108293872e8,-0.3991834006919269,0.2761729096089882
1953,SAS,-5.1696114755264476e7,-0.45500062963666765,0.4033045148814032
1953,SEA,4.2753503314588636e8,-0.15645842515102693,0.5839934582969133
1953,CHI,-1.0826533122726323e8,-1.1274645266537835,1.0191991954265203
1953,MAF,8.863659257159804e8,-0.01780548479856212,0.9041714105145425
1953,SSA,1.9671022615343544e9,-0.037900657895902495,2.005002919430257
1953,SIS,-1.3218881618209041e6,-0.05354518512862607,0.052223296966805166
1954,USA,-8.126626867280557e8,-2.9457739277255106,2.133111240997455
1954,CAN,-2.1014457618721715e8,-0.2272599817061293,0.01711540551891214
1954,WEU,-4.552806374017227e9,-6.20431205262211,1.6515056786048827
1954,JPK,-2.272776373738112e9,-3.179706985505052,0.90693061176694
1954,ANZ,-3.13215239017407e8,-0.3479632624666372,0.034748023449230225
1954,EEU,-4.1725950857513964e8,-0.4900195108957676,0.07276000232062795
1954,FSU,1.4705689269215422e9,-0.9597120366974264,2.430280963618969
1954,MDE,-4.5724474133248407e8,-0.9690966338968873,0.5118518925644032
1954,CAM,7.880111202992989e8,-0.3136848278113268,1.1016959481106257
1954,LAM,-1.461428699052371e8,-0.4312816784206328,0.2851388085153957
1954,SAS,-6.175152890172697e7,-0.47620291318591523,0.41445138428418826
1954,SEA,4.088045143476783e8,-0.1712327592205125,0.5800372735681908
1954,CHI,-1.921846351621128e8,-1.204535600854817,1.012350965692704
1954,MAF,8.851259813291472e8,-0.01892367218420239,0.9040496535133496
1954,SSA,2.0272583436635535e9,-0.0401763470077047,2.067434690671258
1954,SIS,-4.454229907103514e6,-0.05721735487375923,0.052763124966655715
1955,USA,-8.871863263668431e8,-3.0992960080109757,2.2121096816441326
1955,CAN,-2.2502722790820342e8,-0.2436420107124881,0.018614782804284663
1955,WEU,-4.788494439166248e9,-6.479300617214159,1.6908061780479113
1955,JPK,-2.4441245314441376e9,-3.3662371252319776,0.9221125937878399
