time,regions,emission,co2red
1950,USA,0.00021838014585774418,0.0
1950,CAN,0.005011183170657029,0.0
1950,WEU,9.203136564223737e-5,0.0
1950,JPK,5.362308657224777e-5,0.0
1950,ANZ,0.0013689241562053844,0.0
1950,EEU,0.008315520493920904,0.0
1950,FSU,0.005423812571786413,0.0
1950,MDE,0.0013674229052946293,0.0
1950,CAM,0.005916339673091411,0.0
1950,LAM,0.0009159436294023071,0.0
1950,SAS,0.003951036512441944,0.0
1950,SEA,0.004643100251381104,0.0
1950,CHI,0.020219419771920464,0.0
1950,MAF,0.02383225253839978,0.0
1950,SSA,0.002295038391451089,0.0
1950,SIS,0.06935925405560592,0.0
1951,USA,623.9331342942363,0.0
1951,CAN,39.24925375532652,0.0
1951,WEU,347.77489213173556,0.0
1951,JPK,20.44229165436561,0.0
1951,ANZ,20.126560548622983,0.0
1951,EEU,65.31627329289825,0.0
1951,FSU,153.8728065913416,0.0
1951,MDE,7.737181858695921,0.0
1951,CAM,10.265714507133897,0.0
1951,LAM,36.32982843534799,0.0
1951,SAS,13.25717168043226,0.0
1951,SEA,3.130987421878848,0.0
1951,CHI,6.227162773905275,0.0
1951,MAF,4.637703233721588,0.0
1951,SSA,20.699474688714393,0.0
1951,SIS,3.2481173809450534,0.0
1952,USA,659.6483057772465,0.0
1952,CAN,42.72681951784449,0.0
1952,WEU,358.99433247988094,0.0
1952,JPK,20.535956427470307,0.0
1952,ANZ,20.87586881736608,0.0
1952,EEU,66.37213591242563,0.0
1952,FSU,155.9484632923106,0.0
1952,MDE,7.566468260361922,0.0
1952,CAM,10.852183748853351,0.0
1952,LAM,38.62959317763298,0.0
1952,SAS,13.23620815224219,0.0
1952,SEA,3.1980300383802716,0.0
1952,CHI,5.425379724422102,0.0
1952,MAF,4.990103044135855,0.0
1952,SSA,20.823665237195932,0.0
1952,SIS,3.269229620468477,0.0
1953,USA,697.4078845916673,0.0
1953,CAN,46.5125048616423,0.0
1953,WEU,370.5757191461,0.0
1953,JPK,20.6300503642847,0.0
1953,ANZ,21.65307369965376,0.0
1953,EEU,67.44506695633044,0.0
1953,FSU,158.05211942239066,0.0
1953,MDE,7.399521296080015,0.0
1953,CAM,11.47215734833026,0.0
1953,LAM,41.07493851023837,0.0
1953,SAS,13.215277773620125,0.0
1953,SEA,3.266508212366195,0.0
1953,CHI,4.726830857467829,0.0
1953,MAF,5.369280252784023,0.0
1953,SSA,20.948600891172365,0.0
1953,SIS,3.29047908614644,0.0
1954,USA,737.3288966725045,0.0
1954,CAN,50.63360982440473,0.0
1954,WEU,382.5307287500016,0.0
1954,JPK,20.724575431198936,0.0
1954,ANZ,22.459213781445545,0.0
1954,EEU,68.53534234224188,0.0
1954,FSU,160.18415267796595,0.0
1954,MDE,7.236257858633064,0.0
1954,CAM,12.127549373530849,0.0
1954,LAM,43.675080031563574,0.0
1954,SAS,13.194380492146744,0.0
1954,SEA,3.336452682870967,0.0
1954,CHI,4.118224177845905,0.0
1954,MAF,5.777269562963275,0.0
1954,SSA,21.07428612104994,0.0
1954,SIS,3.3118666699268413,0.0
1955,USA,779.5350667516504,0.0
1955,CAN,55.11985328410741,0.0
1955,WEU,394.8714146064075,0.0
1955,JPK,20.819533603613035,0.0
1955,ANZ,23.29536631507144,0.0
1955,EEU,69.64324244810344,0.0
1955,FSU,162.34494585032996,0.0
1955,MDE,7.076596674486083,0.0
1955,CAM,12.820383241067997,0.0
1955,LAM,46.4398167093547,0.0
1955,SAS,13.173516255485621,0.0
1955,SEA,3.407894847131924,0.0
1955,CHI,3.5879791112474804,0.0
1955,MAF,6.2162602866251335,0.0
1955,SSA,21.20072542405586,0.0
1955,SIS,3.33339326955508,0.0
1956,USA,824.157201810318,0.0
1956,CAN,60.00358727331256,0.0
1956,WEU,407.61021887778156,0.0
1956,JPK,20.9149268659781,0.0
1956,ANZ,24.162648658774046,0.0
1956,EEU,70.76905218427568,0.0
1956,FSU,164.53488689441335,0.0
1956,MDE,6.920458263327743,0.0
1956,CAM,13.552797963172043,0.0
1956,LAM,49.379567809374656,0.0
1956,SAS,13.152685011383095,0.0
1956,SEA,3.480866774683247,0.0
1956,CHI,3.1260061489615114,0.0
1956,MAF,6.688608092445074,0.0
1956,SSA,21.327923324399475,0.0
1956,SIS,3.3550597886117712,0.0
1957,USA,871.3335964810531,0.0
1957,CAN,65.32003028215864,0.0
1957,WEU,420.75998511870233,0.0
1957,JPK,21.010757211837827,0.0
1957,ANZ,25.06221976984461,0.0
1957,EEU,71.91306106680457,0.0
1957,FSU,166.75436899843825,0.0
1957,MDE,6.767764898504593,0.0
1957,CAM,14.327054751544152,0.0
1957,LAM,52.505412161746484,0.0
1957,SAS,13.131886707668114,0.0
1957,SEA,3.555401221751578,0.0
1957,CHI,2.7235148645967575,0.0
1957,MAF,7.196847646579182,0.0
1957,SSA,21.455884373433886,0.0
1957,SIS,3.3768671365506426,0.0
1958,USA,921.210461655765,0.0
1958,CAN,71.1075212324814,0.0
1958,WEU,434.33397122503004,0.0
1958,JPK,21.107026643870142,0.0
1958,ANZ,25.995281753348102,0.0
1958,EEU,73.07556329187386,0.0
1958,FSU,169.00379065451241,0.0
1958,MDE,6.6184405683282606,0.0
1958,CAM,15.145543998480852,0.0
1958,LAM,55.8291299129495,0.0
1958,SAS,13.111121292252138,0.0
1958,SEA,3.631531645959909,0.0
1958,CHI,2.3728466497558443,0.0
1958,MAF,7.743706213939408,0.0
1958,SSA,21.584613149819038,0.0
1958,SIS,3.3988162287367416,0.0
1959,USA,973.9423776281311,0.0
