USA,USA,1,1,0.0
USA,USA,1,2,0.0
USA,USA,1,3,0.0
USA,USA,1,4,0.0
USA,USA,1,5,0.0
USA,USA,2,1,0.0
USA,USA,2,2,0.0
USA,USA,2,3,0.0
USA,USA,2,4,0.0
USA,USA,2,5,0.0
USA,USA,3,1,0.0
USA,USA,3,2,0.0
USA,USA,3,3,0.0
USA,USA,3,4,0.0
USA,USA,3,5,0.0
USA,USA,4,1,0.0
USA,USA,4,2,0.0
USA,USA,4,3,0.0
USA,USA,4,4,0.0
USA,USA,4,5,0.0
USA,USA,5,1,0.0
USA,USA,5,2,0.0
USA,USA,5,3,0.0
USA,USA,5,4,0.0
USA,USA,5,5,0.0
USA,CAN,1,1,4283.547725044287
USA,CAN,1,2,6338.200692528985
USA,CAN,1,3,6001.166140933008
USA,CAN,1,4,5751.662000688134
USA,CAN,1,5,5783.15973158682
USA,CAN,2,1,7558.876618767115
USA,CAN,2,2,11184.57878727511
USA,CAN,2,3,10589.837522486434
USA,CAN,2,4,10149.55504332646
USA,CAN,2,5,10205.136882707468
USA,CAN,3,1,7481.747131777721
USA,CAN,3,2,11070.453254135278
USA,CAN,3,3,10481.780627711552
USA,CAN,3,4,10045.990715828535
USA,CAN,3,5,10101.005407606322
USA,CAN,4,1,11674.647330431602
USA,CAN,4,2,17274.52629093988
USA,CAN,4,3,16355.951366456575
USA,CAN,4,4,15675.937267906678
USA,CAN,4,5,15761.783142297443
USA,CAN,5,1,17171.99611959615
USA,CAN,5,2,25408.741698145568
USA,CAN,5,3,24057.62893282296
USA,CAN,5,4,23057.410328263384
USA,CAN,5,5,23183.67924073657
USA,WEU,1,1,8908.693236718378
USA,WEU,1,2,8594.709268171353
USA,WEU,1,3,8968.145819976942
USA,WEU,1,4,12974.41166916455
USA,WEU,1,5,17782.585536549697
USA,WEU,2,1,15720.546923544098
USA,WEU,2,2,15166.481408027219
USA,WEU,2,3,15825.458732718304
USA,WEU,2,4,22895.03544805099
USA,WEU,2,5,31379.683071480675
USA,WEU,3,1,15560.137145668476
USA,WEU,3,2,15011.725220112867
USA,WEU,3,3,15663.978452646541
USA,WEU,3,4,22661.41841369857
USA,WEU,3,5,31059.490140803122
USA,WEU,4,1,24280.306509859874
USA,WEU,4,2,23424.555077755096
USA,WEU,4,3,24442.342277167612
USA,WEU,4,4,35361.26834113106
USA,WEU,4,5,48465.76438232752
USA,WEU,5,1,35713.39821830019
USA,WEU,5,2,34454.69122223207
USA,WEU,5,3,35951.73326078076
USA,WEU,5,4,52012.15467597788
USA,WEU,5,5,71287.28554713627
USA,JPK,1,1,2419.147487252316
USA,JPK,1,2,2380.4344890054126
USA,JPK,1,3,1835.4150663259047
USA,JPK,1,4,2384.1987395085243
USA,JPK,1,5,2701.7157161765654
USA,JPK,2,1,4268.900115628265
USA,JPK,2,2,4200.5859993689755
USA,JPK,2,3,3238.8284013901903
USA,JPK,2,4,4207.228508555647
USA,JPK,2,5,4767.528476025454
USA,JPK,3,1,4225.340987396181
USA,JPK,3,2,4157.723936720437
USA,JPK,3,3,3205.77994913398
USA,JPK,3,4,4164.298666877006
USA,JPK,3,5,4718.881429101813
USA,JPK,4,1,6593.294989768922
USA,JPK,4,2,6487.784177085836
USA,JPK,4,3,5002.3543519861505
USA,JPK,4,4,6498.0434994765465
USA,JPK,4,5,7363.424011604711
USA,JPK,5,1,9697.940569437229
USA,JPK,5,2,9542.74690793393
USA,JPK,5,3,7357.859050460536
USA,JPK,5,4,9557.83713201494
USA,JPK,5,5,10830.707341764532
USA,ANZ,1,1,1399.2320307133964
USA,ANZ,1,2,2470.7464903568157
USA,ANZ,1,3,1286.180077228949
USA,ANZ,1,4,2672.5416574404053
USA,ANZ,1,5,3482.71563187178
USA,ANZ,2,1,2469.126751956562
USA,ANZ,2,2,4359.953262027903
USA,ANZ,2,3,2269.6318886442355
USA,ANZ,2,4,4716.047058142333
USA,ANZ,2,5,6145.7043201959805
USA,ANZ,3,1,2443.9322039707713
USA,ANZ,3,2,4315.465043029456
USA,ANZ,3,3,2246.472952197082
USA,ANZ,3,4,4667.925318820744
USA,ANZ,3,5,6082.994602163495
USA,ANZ,4,1,3813.553983889289
USA,ANZ,4,2,6733.92612137156
USA,ANZ,4,3,3505.4351600389864
USA,ANZ,4,4,7283.911217816837
USA,ANZ,4,5,9492.009746165231
USA,ANZ,5,1,5609.277296327231
USA,ANZ,5,2,9904.791978120049
USA,ANZ,5,3,5156.071722079165
USA,ANZ,5,4,10713.753625927262
USA,ANZ,5,5,13961.59985950448
USA,EEU,1,1,841.8580434126028
USA,EEU,1,2,810.4509739674871
USA,EEU,1,3,561.9101875384814
USA,EEU,1,4,633.2877503571362
USA,EEU,1,5,1341.7087272582785
USA,EEU,2,1,1485.5679191964093
USA,EEU,2,2,1430.1460637319121
USA,EEU,2,3,991.5635475703162
USA,EEU,2,4,1117.5185328597433
USA,EEU,2,5,2367.619407710353
USA,EEU,3,1,1470.4094376819683
USA,EEU,3,2,1415.5530973721122
USA,EEU,3,3,981.4458023551605
USA,EEU,3,4,1106.1155644706823
USA,EEU,3,5,2343.4606233415952
USA,EEU,4,1,2294.4522601362396
USA,EEU,4,2,2208.8534801085684
USA,EEU,4,3,1531.464965951938
USA,EEU,4,4,1726.0018140746954
USA,EEU,4,5,3656.7763957248058
USA,EEU,5,1,3374.862142940771
USA,EEU,5,2,3248.956676430802
USA,EEU,5,3,2252.599989386738
USA,EEU,5,4,2538.7401961555324
USA,EEU,5,5,5378.676400265679
USA,FSU,1,1,180.47303015367723
