time,temp
1950,0.2
1951,0.2046260133720109
1952,0.20935123312214257
1953,0.21418754215073657
1954,0.21911175040108802
1955,0.22410958630915123
1956,0.22915754966805646
1957,0.23423962394739534
1958,0.23939760614979297
1959,0.24468532061030968
1960,0.25022390471313055
1961,0.2558889632389504
1962,0.261638529297724
1963,0.2675419405769256
1964,0.2735997710045414
1965,0.27983154350079414
1966,0.2862469884192082
1967,0.2928103071530831
1968,0.2995216628486781
1969,0.30645732208680887
1970,0.3137494010045426
1971,0.32137387756234326
1972,0.32915051119228883
1973,0.33703554381621276
1974,0.3450658556018478
1975,0.35322728281941307
1976,0.36150587264048434
1977,0.36993815239458244
1978,0.3786178198737209
1979,0.38761039884626863
1980,0.396841332343537
1981,0.4062832600516365
1982,0.416035713025667
1983,0.4261100720121281
1984,0.4365860769840887
1985,0.4475674113211585
1986,0.4590976826088955
1987,0.47119167296465436
1988,0.4839196754306796
1989,0.49739303217832886
1990,0.5116109569650606
1991,0.526552917433606
1992,0.542122139532787
1993,0.5583272233485133
1994,0.5751735784977435
1995,0.5926849454348216
1996,0.6108030818945652
1997,0.6292479696484219
1998,0.6478323718988037
1999,0.666588275715576
2000,0.6854514789935194
2001,0.7045407234443499
2002,0.7240018695003168
2003,0.7438280596956294
2004,0.7640025734411984
2005,0.7845904778589916
2006,0.8057573794846565
2007,0.8275297818765667
2008,0.8498400057134128
2009,0.8727629114224256
2010,0.8961242032868735
2011,0.9197907512691769
2012,0.9437160318840517
2013,0.9678923637816568
2014,0.9923000918368213
2015,1.0169680875452993
2016,1.0419031527551303
2017,1.0671320252303549
2018,1.092674961598899
2019,1.1185516407237754
2020,1.1447950291829798
2021,1.1714488811779835
2022,1.1985387122187903
2023,1.2260693778192526
2024,1.25404513898841
2025,1.2824718209277144
2026,1.3113519214122515
2027,1.3406856754461667
2028,1.3704715983003124
2029,1.4007082337371681
2030,1.4314130132419247
2031,1.4626364822942637
2032,1.4943957831668013
2033,1.5266781347055784
2034,1.5594709707289653
2035,1.5927605159338174
2036,1.626538567881775
2037,1.6607932105475842
2038,1.6955135244362654
2039,1.7306884835629286
2040,1.7662924735365817
2041,1.8022966663185662
2042,1.8386800791942854
2043,1.8754299003574506
2044,1.9125348539593483
2045,1.9499847872790343
2046,1.9877694827868566
2047,2.025873673872885
2048,2.064284057242537
2049,2.102988339997301
2050,2.1419542515868923
2051,2.1811360265153166
2052,2.220511653780599
2053,2.260081929230711
2054,2.2998474395457653
2055,2.3398086295782528
2056,2.379962183612976
2057,2.4203020489650786
2058,2.46082253257821
2059,2.5015192563435056
2060,2.5423793189621975
2061,2.583388149610843
2062,2.6245343154555503
2063,2.665812463526139
2064,2.7072169552999985
2065,2.7487411407783013
2066,2.7903828334997263
2067,2.832139817645523
2068,2.874009945996656
2069,2.9159907842948716
2070,2.958077236642253
2071,3.0002591551304
2072,3.0425274779777216
2073,3.0848770579107647
2074,3.1273028813207144
2075,3.1697994917940635
2076,3.2123646790910634
2077,3.2549896967041203
2078,3.2976667260335812
2079,3.34038810664305
2080,3.3831543524060432
2081,3.425996585015837
2082,3.468924638018672
2083,3.5119323645144807
2084,3.5550135834940337
2085,3.5981580111190046
2086,3.6413639140295846
2087,3.684623737208655
2088,3.7279287686703757
2089,3.771272304001611
2090,3.8146247428564215
2091,3.8579529398245955
2092,3.901235912690974
2093,3.9444684395512617
2094,3.9876458231689176
2095,4.03075821262333
2096,4.07380689091114
2097,4.116785289113347
2098,4.159686749403348
2099,4.2025052079744984
2100,4.245214654511042
