regions,quintiles,pop,time,income,entermig,leavemig,deadmig,deadmigcost,receive,send,remittances
WEU,5,83.20444072138974,2072,10976.742343762528,357342.713581348,319269.8254312594,0.0,0.0,46.288827830847865,253.57748296226666,-207.2886551314188
JPK,1,28.450188956654465,2072,1245.582688870094,201146.84974046447,28705.23629908378,0.0,0.0,2.9068604683393944,39.30621547984316,-36.399355011503765
JPK,2,28.450188956654465,2072,2109.291133849692,123800.55014292635,16981.336180714552,0.0,0.0,1.5463831240841,39.24220153553565,-37.69581841145155
JPK,3,28.450188956654465,2072,2979.470261318178,54999.83664569486,40212.996005297384,0.0,0.0,3.9861886505608464,20.603792083377343,-16.617603432816495
JPK,4,28.450188956654465,2072,4207.205065691913,81321.55750629664,50939.88151358637,0.0,0.0,5.371336164344941,44.294093333522866,-38.92275716917793
JPK,5,28.450188956654465,2072,7722.988822327143,81469.72312278861,60877.120634752224,0.0,0.0,6.620228538727902,83.33250720492347,-76.71227866619557
ANZ,1,7.00986999772431,2072,155.23117110691655,70359.38365760465,9885.386572403708,0.0,0.0,0.8269406135306869,5.412607132725348,-4.585666519194661
ANZ,2,7.00986999772431,2072,279.58235283517524,45719.35138282456,8193.336715654277,0.0,0.0,0.7486948394656321,7.087466008878661,-6.338771169413029
ANZ,3,7.00986999772431,2072,412.34872361833175,24862.789566073494,15938.47667074452,0.0,0.0,1.3438726031612322,4.561994264130287,-3.2181216609690546
ANZ,4,7.00986999772431,2072,607.8028264945725,38069.23819314982,19228.423851581832,0.0,0.0,1.6422709854044433,8.305964518792567,-6.663693533388124
ANZ,5,7.00986999772431,2072,1212.2853815365197,43679.691746387485,22031.784165134566,0.0,0.0,1.9472218759886533,22.798479755702594,-20.85125787971394
EEU,1,15.450759598407279,2072,102.33451925430182,120327.99837178313,84809.08534804909,0.4257883137821074,0.0021257577916724947,23.317682827620704,2.5770424727402395,20.740640354880465
EEU,2,15.450759598407279,2072,181.73822086568083,62198.42402418843,65383.05173456685,0.334827361071313,0.0016716331769188006,17.306918508235114,2.6847803872877867,14.622138120947326
EEU,3,15.450759598407279,2072,266.0556797087037,9898.454165912846,115437.14009644846,0.5875342784394479,0.0029332781803553046,30.92667574019445,0.7489593501553142,30.177716390039137
EEU,4,15.450759598407279,2072,388.6967266491312,31836.765039871167,125795.65480509486,0.0,0.0,33.19410961291692,3.1053929133975755,30.088716699519342
EEU,5,15.450759598407279,2072,761.609788996253,61254.430744932244,171188.38350919,0.0,0.0,44.55751491554574,15.603081433679922,28.954433481865816
FSU,1,57.491778001636234,2072,217.54722754136512,161114.2547315661,33076.37067228863,0.0,0.0,6.9423733374128345,1.6524079925830828,5.289965344829752
FSU,2,57.491778001636234,2072,386.66364014532024,131737.46825811887,32764.295057943982,0.0,0.0,7.231037035657234,3.3268504683054902,3.904186567351744
FSU,3,57.491778001636234,2072,564.1426976519926,27376.693592551343,51547.409571809134,0.0,0.0,11.662170345981346,1.3948774694000081,10.267292876581338
FSU,4,57.491778001636234,2072,824.9679038298884,52083.69282894628,53268.78342677916,0.0,0.0,11.260283359881145,4.09492467657701,7.1653586833041345
FSU,5,57.491778001636234,2072,1617.8524446417912,96135.98466468269,64103.43380487632,0.0,0.0,13.361036611146767,24.67980195337158,-11.318765342224813
MDE,1,91.06650416631211,2072,437.1057864537301,82452.6081254437,46667.529654588245,189.0669398940105,0.9439209757951259,7.864319993205899,6.316375009969287,1.5479449832366123
MDE,2,91.06650416631211,2072,734.8435197999366,64798.861477913066,47903.64783690353,209.48665635976033,1.045866872325823,8.309753516019278,7.971593173120113,0.3381603428991644
MDE,3,91.06650416631211,2072,1030.5333157900184,42839.3320892038,71037.5568496835,298.34634398166094,1.4895008735739264,13.826153301650653,11.029324282186556,2.796829019464097
MDE,4,91.06650416631211,2072,1449.654352921744,72752.86253165187,103967.22434608985,0.0,0.0,19.13986328654119,24.898434843498656,-5.758571556957467
MDE,5,91.06650416631211,2072,2638.3140649847046,97780.9012874002,133200.268450403,0.0,0.0,27.022682806272226,97.11491611912369,-70.09223331285146
CAM,1,41.66204388414393,2072,263.9031249849373,71443.82127147887,84581.06441756937,151.2487975102926,0.7551130441619717,18.386465443517622,0.7988832609003096,17.58758218261731
CAM,2,41.66204388414393,2072,416.9956640302141,62826.89542248669,86147.37816573102,160.21492326602402,0.7998766298909006,20.417010905652383,1.1334631171203358,19.283547788532047
CAM,3,41.66204388414393,2072,560.5868974491997,46736.01385348595,142071.2734741008,270.56990087576173,1.3508263528177529,34.647355658685754,1.1037513685714422,33.54360429011431
CAM,4,41.66204388414393,2072,755.2354794169648,68083.73975307957,168668.8571514555,0.0,0.0,41.8946786199476,2.4323271685794188,39.46235145136818
CAM,5,41.66204388414393,2072,1264.0204508805136,184383.5527388539,221576.4338413877,0.0,0.0,58.93172097414288,12.838460285626828,46.09326068851605
LAM,1,95.46350223213186,2072,387.17800872790895,67166.94567122866,55648.61903181733,12.197193304058878,0.06089476357941393,7.545870462880364,0.8564438218691914,6.689426641011172
LAM,2,95.46350223213186,2072,817.0669279528244,48566.09164373004,60048.78891742249,12.556432523272282,0.06268827351052027,8.785615710960377,1.4435040692011794,7.342111641759198
LAM,3,95.46350223213186,2072,1343.4085970850722,31561.45341501869,96858.0069057114,20.899108141488774,0.10433927031992378,13.690946421935326,1.5421852782751668,12.14876114366016
LAM,4,95.46350223213186,2072,2222.167482699863,60208.71113092696,135713.6647877002,0.0,0.0,19.28599388935189,5.013159906021705,14.272833983330184
LAM,5,95.46350223213186,2072,5581.245482915969,87619.77258422066,176464.4399322134,0.0,0.0,25.01790297686533,24.446591268874585,0.5713117079907448
SAS,1,458.0879610700319,2072,673.9012686121583,38637.131620908745,101380.17983214176,174.00018959122946,0.8686998839647126,33.202670192786655,0.5325219909470734,32.67014820183958
SAS,2,458.0879610700319,2072,1238.77554145198,31319.77580722141,98696.31078394115,162.75779157243866,0.8125719574529533,33.439110610516835,0.8113031860234367,32.6278074244934
SAS,3,458.0879610700319,2072,1846.6330739384166,21136.928040529936,126800.10926888362,218.8904693797498,1.092815621625936,41.324299987298325,1.0275733709142814,40.29672661638404
SAS,4,458.0879610700319,2072,2763.8608185932494,36890.33692641803,183385.78876285907,0.0,0.0,59.79361107117508,2.505932025160693,57.28767904601438
SAS,5,458.0879610700319,2072,5675.800175784803,79504.42458933944,251147.40701417573,0.0,0.0,88.00716632319423,20.409257458630364,67.59790886456386
SEA,1,164.03879890294743,2072,534.6744803849937,54832.226864679986,63602.80892095629,5.129496368962727,0.025609126696836317,20.60222401676077,1.3183319782159715,19.283892038544796
SEA,2,164.03879890294743,2072,879.7748792250744,39166.95910614257,57325.54509629409,4.185085903189148,0.020894136075504718,21.224177077984734,1.6301915269972265,19.593985550987508
SEA,3,164.03879890294743,2072,1215.1088648862478,23256.666757285395,81643.08001591741,6.196088720076309,0.03093411314556788,30.76519228451767,1.787134925389797,28.978057359127874
SEA,4,164.03879890294743,2072,1682.6153355214674,40149.66354195982,106413.0833179713,0.0,0.0,42.56703472576263,3.3072968411669152,39.259737884595715
SEA,5,164.03879890294743,2072,2974.770439094753,83181.86208774353,136089.37129772376,0.0,0.0,56.24660721660624,13.658129436841342,42.5884777797649
CHI,1,219.43590658394925,2072,922.2828376775238,68996.446043493,85525.59952188107,0.0,0.0,39.45420806696454,2.1513967528464693,37.302811314118074
CHI,2,219.43590658394925,2072,1430.1372854800215,48322.63468559015,60594.6939099835,0.0,0.0,28.158756828341108,2.0260794412774756,26.132677387063634
CHI,3,219.43590658394925,2072,1898.3440401571129,21499.399379004586,110985.06962943295,0.0,0.0,55.89140211240506,1.730788285271761,54.1606138271333
CHI,4,219.43590658394925,2072,2524.858717080454,43271.421589704594,123626.78703217288,0.0,0.0,61.592436223352,3.7170329883670155,57.87540323498499
CHI,5,219.43590658394925,2072,4140.538357200965,101131.95853435244,160803.91745086727,0.0,0.0,86.46885596649132,12.4189078889518,74.04994807753951
MAF,1,57.111182064870526,2072,164.3114511465567,17205.845295237006,26300.106851813583,43.405491847679464,0.2167029002674778,7.738254128664639,0.13964430508056946,7.59860982358407
MAF,2,57.111182064870526,2072,263.1651968611511,14099.075857860276,23345.095740509852,38.267860330826835,0.19105315866071182,7.679186770147896,0.16600125127354431,7.5131855188743515
MAF,3,57.111182064870526,2072,356.7575018403781,10760.910029684912,34116.329403329015,56.75759744398203,0.2833635896002972,10.908506925047883,0.2214202876183917,10.687086637429491
MAF,4,57.111182064870526,2072,484.61257489596835,15924.596998951825,50719.991518256546,0.0,0.0,18.4123005815794,0.40504532713903096,18.00725525444037
MAF,5,57.111182064870526,2072,826.8725258440325,29883.56760063176,63128.365747003925,0.0,0.0,24.60568481096526,1.6925431123678754,22.913141698597386
SSA,1,460.92462508033867,2072,836.4162842167635,41809.54679526209,111076.88426507945,1653.9912188612595,8.257588588144007,17.17602825419565,0.13166437223869895,17.04436388195695
