time,regions,water,forests,heating,cooling,agcost,drycost,protcost,hurrdam,extratropicalstormsdam,eloss_other,species,deadcost,morbcost,wetcost
1950,USA,-0.26168662129327774,,,,,,,0.0737698639775324,0.014052225119713109,0.0,,,,
1950,CAN,-0.012737585961385144,,,,,,,2.1724421618101872e-5,0.001162801083818985,0.0,,,,
1950,WEU,-0.12872393361795872,,,,,,,1.2553557075052226e-6,0.034438562178721335,0.0,,,,
1950,JPK,0.0005075192213596064,,,,,,,0.009019986585554866,0.0006747121683189748,0.0,,,,
1950,ANZ,8.431406668263239e-5,,,,,,,0.0002970763632170569,0.009645831570502195,0.0,,,,
1950,EEU,-0.14999982888996694,,,,,,,0.0,0.0003044679051907428,0.0,,,,
1950,FSU,-1.1890643413572137,,,,,,,0.00011700030146221345,0.0006250833139643292,0.0,,,,
1950,MDE,-0.02639237831434036,,,,,,,0.0,7.310976409469293e-5,0.0,,,,
1950,CAM,-0.01419484184436377,,,,,,,0.0021973698422555195,0.00012667637909001303,0.0,,,,
1950,LAM,-0.06999055156606702,,,,,,,6.681200730333109e-5,0.0002421593817418502,0.0,,,,
1950,SAS,-0.023701450409622887,,,,,,,0.0021814441961284054,0.012097803380592364,0.0,,,,
1950,SEA,-0.02484240030253295,,,,,,,0.0006198944611996571,0.00020266311713521156,0.0,,,,
1950,CHI,0.03511709267769452,,,,,,,0.002656179870193909,0.0005333575635061924,0.0,,,,
1950,MAF,-0.03437580821739122,,,,,,,0.0,3.4059732160385115e-7,0.0,,,,
1950,SSA,-0.08000165676604519,,,,,,,0.0001245233317059052,0.0023963804601892717,0.0,,,,
1950,SIS,-0.0022873523283680783,,,,,,,0.0012839098939764933,0.0007135655751462463,0.0,,,,
1951,USA,-0.27583044746375157,0.028682929638366498,2.227193197509551,-0.3964242516911444,1.1271519153236162,0.0,0.07800313950072772,0.07743814731821815,0.014450920324023037,0.0,0.3173012182993707,1.5339543780778233,0.0557342929883609,0.017492119867660597
1951,CAN,-0.013644208372595178,0.0003433580267013804,0.10841220583826792,-0.01921423421215822,0.12038614579297255,0.0,0.01064051220891354,2.3134474858816425e-5,0.0012130851525059929,0.0,0.011174916751291458,0.0018983845591329,6.676341765632081e-6,0.0
1951,WEU,-0.13550859440692703,0.01774916837116386,1.565780017475742,-0.8705232974464467,5.050631425992804,0.0,0.1259672945347534,1.3101176821879614e-6,0.0352096330151947,0.0,0.25001179411345487,1.2542261867394606,0.031488722808039854,0.006898322126483635
1951,JPK,0.0005396884659294493,0.010760865084550751,0.4733900235365534,-0.023887489460260466,2.2896657513409258,0.0,0.06179682090561325,0.009501957183986715,0.0006963078726114283,0.0,0.07784827932641145,0.7751725087265631,0.002998964822352331,0.0014549934229896035
1951,ANZ,8.872817766083622e-5,-0.0040952478764893375,0.05174109806956763,-0.0025918015397609186,0.2820267601901665,0.0,0.029957134372787353,0.0003124050607540814,0.009937152244773777,0.0,0.024963514091781634,0.004284132645305986,9.345870646698528e-5,0.00019832430896589334
1951,EEU,-0.15895126974493282,0.0016403859638314687,0.1303482253027397,-0.019047402676177612,0.46752785385144596,0.0,0.002537352911356306,0.0,0.00031343173834368017,0.0,0.0021726215132787338,0.06165098372415936,0.002163320270009756,5.43538498088244e-6
1951,FSU,-1.2638969414893262,-0.0014450732998161789,0.950110375512663,-0.13869648758140407,1.314417052811245,0.0,0.04419905071394856,0.00012346800688905362,0.0006462082100780457,0.0,0.003850078639274989,2.193658674889575,0.07326021185213585,0.0
1951,MDE,-0.028173607992513543,0.0,0.47824946970157545,-0.01935198064390393,0.3794933393651924,0.0,0.015469667749881993,0.0,7.612721310400682e-5,0.0,0.0024185404118026587,0.04257109656432371,0.001503518216305029,0.0
1951,CAM,-0.01533550745874611,0.00024583985693415555,0.04808544295972059,-0.011309780897668934,0.2630275201358614,0.0,0.03462258972592636,0.002354462284405777,0.00013297152688738692,0.0,0.0011837242599325468,0.060163065017404004,-0.00037380836577382073,0.00158827851797668
1951,LAM,-0.07532269108223026,0.0015024902646792045,0.2406287602283389,-0.05682951593337858,0.3215290393915291,0.0,0.09625571044371017,7.136513047545668e-5,0.0002534033881542108,0.0,0.007996847206326858,0.2272894733767126,-0.0010704283537473654,0.0036026754157491617
1951,SAS,-0.02485582899110807,0.0011952438380253858,0.06632864568249927,-0.025412588679289864,0.42071097552370973,0.001227264269701364,0.11920818614885076,0.00228903326522017,0.01243570274544856,0.0,0.00017785848572348712,0.2814111561903077,0.007162467623654204,0.0002621694249418455
1951,SEA,-0.026854715423521833,0.0008120457861452107,0.07227773973384918,-0.027718851567594648,0.23596319724543283,0.0,0.13889960937327905,0.0006617098588017752,0.0002119308965533483,0.0,9.502847950769528e-5,0.5871743621408964,0.0045393278970992075,0.000730675644960729
1951,CHI,0.037762235590948295,0.0009233502871017427,0.3371352751940126,-0.08840486301353298,0.6998167376473495,0.0,0.09691051119502794,0.002820978063283356,0.0005549275307955625,0.0,1.635776720074938e-5,0.9987491455142173,-0.003978144916289129,2.4067349044920546e-5
1951,MAF,-0.03698732512527493,0.0,0.0007141109369423843,-0.032442873443484906,0.1000990868899839,0.0,0.015551517843796714,0.0,3.5569889312347755e-7,0.0,0.00010608790862561148,0.7900948342944653,0.0639848519050448,5.2904767834457596e-5
1951,SSA,-0.08395323980701556,0.00027222682826302726,0.001511704608562147,-0.07232655221922041,0.23834169063947,0.0,0.06899962917010857,0.00013076523788885643,0.002465266716783218,0.0,0.001236407183288552,1.0356555097786282,0.004719055736353042,0.0008591355442547377
