time,regions,emission,co2red
1950,USA,0.00021838014585774418,0.0
1950,CAN,0.005011183170657029,0.0
1950,WEU,9.203136564223737e-5,0.0
1950,JPK,5.362308657224777e-5,0.0
1950,ANZ,0.0013689241562053844,0.0
1950,EEU,0.008315520493920904,0.0
1950,FSU,0.005423812571786413,0.0
1950,MDE,0.0013674229052946293,0.0
1950,CAM,0.005916339673091411,0.0
1950,LAM,0.0009159436294023071,0.0
1950,SAS,0.003951036512441944,0.0
1950,SEA,0.004643100251381104,0.0
1950,CHI,0.020219419771920464,0.0
1950,MAF,0.02383225253839978,0.0
1950,SSA,0.002295038391451089,0.0
1950,SIS,0.06935925405560592,0.0
1951,USA,598.58091912495,0.0
1951,CAN,36.87918862248431,0.0
1951,WEU,349.01517747320236,0.0
1951,JPK,22.163723685652403,0.0
1951,ANZ,19.989364486178964,0.0
1951,EEU,68.67902565457597,0.0
1951,FSU,163.80086001683847,0.0
1951,MDE,8.917513181819258,0.0
1951,CAM,10.440889240454503,0.0
1951,LAM,36.192037015348426,0.0
1951,SAS,14.088281435560624,0.0
1951,SEA,3.4127613853788237,0.0
1951,CHI,9.062066106335074,0.0
1951,MAF,4.509285835648377,0.0
1951,SSA,21.704303122315068,0.0
1951,SIS,3.524317792456586,0.0
1952,USA,607.1305542166501,0.0
1952,CAN,37.72250054578657,0.0
1952,WEU,361.55949394262944,0.0
1952,JPK,24.140220253014895,0.0
1952,ANZ,20.59223116043259,0.0
1952,EEU,73.38228811143466,0.0
1952,FSU,176.72162827595497,0.0
1952,MDE,10.051135433254375,0.0
1952,CAM,11.225708265022377,0.0
1952,LAM,38.33712098360011,0.0
1952,SAS,14.94782018638428,0.0
1952,SEA,3.799546301196332,0.0
1952,CHI,11.489580065292179,0.0
1952,MAF,4.717578494478414,0.0
1952,SSA,22.89445014568332,0.0
1952,SIS,3.8488600434346143,0.0
1953,USA,615.802305229299,0.0
1953,CAN,38.585096380328416,0.0
1953,WEU,374.5546787004342,0.0
1953,JPK,26.292975049193185,0.0
1953,ANZ,21.213279914820724,0.0
1953,EEU,78.40763838953518,0.0
1953,FSU,190.6615990739875,0.0
1953,MDE,11.328867301658585,0.0
1953,CAM,12.069520435397902,0.0
1953,LAM,40.60934300790813,0.0
1953,SAS,15.859800171260986,0.0
1953,SEA,4.230167440590706,0.0
1953,CHI,14.567367808592136,0.0
1953,MAF,4.9354925952182755,0.0
1953,SSA,24.149858418364662,0.0
1953,SIS,4.203288269194862,0.0
1954,USA,624.5979163657764,0.0
1954,CAN,39.46741708896407,0.0
1954,WEU,388.0169368713804,0.0
1954,JPK,28.6377062715969,0.0
1954,ANZ,21.853059109457032,0.0
1954,EEU,83.77713363868455,0.0
1954,FSU,205.70116808048928,0.0
1954,MDE,12.769028453637487,0.0
1954,CAM,12.976760138545895,0.0
1954,LAM,43.01623849739261,0.0
1954,SAS,16.82742087715555,0.0
1954,SEA,4.709592976877129,0.0
1954,CHI,18.469622359118837,0.0
1954,MAF,5.163472570931249,0.0
1954,SSA,25.474106515592478,0.0
1954,SIS,4.590354565915844,0.0
1955,USA,633.5191567417146,0.0
1955,CAN,40.369913717991714,0.0
1955,WEU,401.963056025428,0.0
1955,JPK,31.191533820872294,0.0
1955,ANZ,22.512133642651694,0.0
1955,EEU,89.51434152174082,0.0
1955,FSU,221.92707265220125,0.0
1955,MDE,14.39226740928751,0.0
1955,CAM,13.952195084692447,0.0
1955,LAM,45.56578948111082,0.0
1955,SAS,17.854076994616808,0.0
1955,SEA,5.243354150717283,0.0
1955,CHI,23.417198945663927,0.0
1955,MAF,5.401983383905824,0.0
1955,SSA,26.87096924238176,0.0
1955,SIS,5.013064460806217,0.0
1956,USA,642.567820741331,0.0
1956,CAN,41.29304762773045,0.0
1956,WEU,416.4104271119997,0.0
1956,JPK,33.97310430072961,0.0
1956,ANZ,23.191085449693006,0.0
1956,EEU,95.64444365724744,0.0
1956,FSU,239.43289207139375,0.0
1956,MDE,16.22185759335767,0.0
1956,CAM,15.000951362512355,0.0
1956,LAM,48.26645107899798,0.0
1956,SAS,18.943370327324256,0.0
1956,SEA,5.837609085291752,0.0
1956,CHI,29.690114708277427,0.0
1956,MAF,5.6515114739404275,0.0
1956,SSA,28.344428393712917,0.0
1956,SIS,5.474700249692882,0.0
1957,USA,651.7457283783446,0.0
1957,CAN,42.23729072836968,0.0
1957,WEU,431.3770661466684,0.0
1957,JPK,37.00272716489246,0.0
1957,ANZ,23.890514016671954,0.0
1957,EEU,102.19434614600375,0.0
1957,FSU,258.3195872434857,0.0
1957,MDE,18.284031021363784,0.0
1957,CAM,16.128540377660702,0.0
1957,LAM,51.12717954172737,0.0
1957,SAS,20.099122428246872,0.0
1957,SEA,6.499213833957606,0.0
1957,CHI,37.643396780121556,0.0
1957,MAF,5.912565750431252,0.0
1957,SSA,29.898684104746028,0.0
1957,SIS,5.978846483686955,0.0
1958,USA,661.0547256620451,0.0
1958,CAN,43.20312572121175,0.0
1958,WEU,446.8816366773077,0.0
1958,JPK,40.30252300523697,0.0
1958,ANZ,24.6110369098034,0.0
1958,EEU,109.19279766669297,0.0
1958,FSU,278.6960829665277,0.0
1958,MDE,20.60835440492837,0.0
1958,CAM,17.34088781621549,0.0
1958,LAM,54.15746195247907,0.0
1958,SAS,21.325388006745342,0.0
1958,SEA,7.235801480084012,0.0
1958,CHI,47.72717569698739,0.0
1958,MAF,6.1856786302865725,0.0
1958,SSA,31.538166823419726,0.0
1958,SIS,6.529417802828781,0.0
1959,USA,670.4966849685942,0.0
