time,regions,income,ypc
1950,USA,1643.89944236897,10417.613703225412
1950,CAN,84.8224831391005,6191.422126941642
1950,WEU,1913.31508308279,6287.594752161649
1950,JPK,616.021980672332,5923.2882756955
1950,ANZ,119.057728115324,11787.893872804358
1950,EEU,87.9192108941911,1002.4995540956796
1950,FSU,167.308878761848,928.977672192382
1950,MDE,76.0649829670573,1298.037251997565
1950,CAM,40.5139010341431,1157.5400295469458
1950,LAM,193.138523290388,1680.9270956517669
1950,SAS,57.9713701148353,124.91137710587223
1950,SEA,25.6942546016562,140.25248145008845
1950,CHI,18.8014266052303,33.14779020668247
1950,MAF,13.4482462152325,304.94889376944445
1950,SSA,94.6859977634632,538.6006698718044
1950,SIS,6.82113737296979,344.5018875237268
1951,USA,1702.5064446350696,10612.214727201663
1951,CAN,89.52831643076127,6363.8532331769675
1951,WEU,1978.5601206177726,6459.308964843184
1951,JPK,644.6374878052532,6114.8474185314935
1951,ANZ,123.06897040811064,11922.62949977051
1951,EEU,91.62583585448974,1031.6622661243232
1951,FSU,174.9933213385721,954.8682799163837
1951,MDE,79.95998559239216,1328.5800685370677
1951,CAM,43.193057091598924,1198.7831807997038
1951,LAM,204.9750146965923,1735.943839492449
1951,SAS,59.680189397490274,125.87819116467169
1951,SEA,27.412654133958547,146.5231698957219
1951,CHI,19.934909692532234,34.55391946724994
1951,MAF,14.269081510104037,316.01548912433753
1951,SSA,97.5523777370377,542.7478950298173
1951,SIS,7.154395635259763,354.595792828172
1952,USA,1763.2028573760997,10810.450898305788
1952,CAN,94.49522280292344,6541.086545720947
1952,WEU,2046.030047801397,6635.712692673051
1952,JPK,674.5822449879543,6312.601584046802
1952,ANZ,127.21535776864002,12058.905154952885
1952,EEU,95.48873005852445,1061.6733214458795
1952,FSU,183.03070787231727,981.4804588776532
1952,MDE,84.05443670058457,1359.841557549745
1952,CAM,46.0493838731021,1241.4958255315973
1952,LAM,217.5369052951602,1792.7612813590367
1952,SAS,61.439379463774976,126.85248836428626
1952,SEA,29.24597807245194,153.0742208217596
1952,CHI,21.136727164036806,36.01969673105068
1952,MAF,15.140017804802874,327.4836912246597
1952,SSA,100.50553014103463,546.9270538215469
1952,SIS,7.503935796492959,364.9854495580375
1953,USA,1826.0631706011714,11012.390121086139
1953,CAN,99.73768622667949,6723.255806019274
1953,WEU,2115.800734525622,6816.934006309949
1953,JPK,705.9179986604559,6516.751119274875
1953,ANZ,131.50144344700325,12196.738440873998
1953,EEU,99.5144817305692,1092.5573983667405
1953,FSU,191.4372489646404,1008.8343192665734
1953,MDE,88.3585493007492,1391.8386293988904
1953,CAM,49.09459755523448,1285.7303217952883
1953,LAM,230.86865116435203,1851.438358097918
1953,SAS,63.25042509085059,127.83432662422584
1953,SEA,31.20191241733022,159.91816923470049
1953,CHI,22.41099870014919,37.547652266381846
1953,MAF,16.064113094275594,339.3680743792026
1953,SSA,103.5480817921185,551.1383921359728
1953,SIS,7.870553336521477,375.679523230088
1954,USA,1891.1645299782633,11218.101568548025
1954,CAN,105.27099422367644,6910.498480216911
1954,WEU,2187.9506378851065,7003.104474022272
1954,JPK,738.7093635138317,6727.502850472225
1954,ANZ,135.93193409945522,12336.14716125319
1954,EEU,103.70995685076369,1124.339893085229
1954,FSU,200.22989976477396,1036.9505317445328
1954,MDE,92.88305937191095,1424.5885923486462
1954,CAM,52.34118909717495,1331.5408931608545
1954,LAM,245.01743287249522,1912.0359355584626
1954,SAS,65.11485482258311,128.82376431229736
1954,SEA,33.288657198843474,167.06811058118393
1954,CHI,23.762092344771776,39.14042367552177
1954,MAF,17.04461202309904,351.6837417984238
1954,SSA,106.68273902720877,555.3821577554198
1954,SIS,8.255082599717905,386.68693326072963
1955,USA,1958.586831511672,11427.655705848503
1955,CAN,111.11128244598206,7102.955862890952
1955,WEU,2262.5608904021647,7194.3592572078205
1955,JPK,773.0239557264584,6945.070292656497
1955,ANZ,140.51169495690974,12477.149323306312
1955,EEU,108.08231086514593,1157.0469405750787
1955,FSU,209.42639416645954,1065.8503430642531
1955,MDE,97.63925264233353,1458.10916192661
1955,CAM,55.802475476532926,1378.983695184176
1955,LAM,260.03332244831586,1974.6168717292912
1955,SAS,67.0342422596524,129.82086024807455
1955,SEA,35.51496085498373,174.53772580526862
1955,CHI,25.194639478413904,40.80076044783739
1955,MAF,18.084957277940106,364.44634478828857
1955,SSA,109.91229011075517,559.6586003701366
1955,SIS,8.658398693767543,398.016860405269
1956,USA,2028.4128195948247,11641.124314433751
1956,CAN,117.27558172917998,7300.773183672466
1956,WEU,2339.7153912602366,7390.837208522166
1956,JPK,808.9325323893672,7169.673865921008
1956,ANZ,145.24575516756943,12619.763140071705
1956,EEU,112.63900088937334,1190.7054360764078
1956,FSU,219.0452805754307,1095.5555921254538
1956,MDE,102.63899274011713,1492.4184705067437
1956,CAM,59.49265431337189,1428.1168842435884
1956,LAM,275.9694605840444,2039.2460819409907
1956,SAS,69.01020738768972,130.82567370639467
1956,SEA,37.89015690830712,182.3413075260222
1956,CHI,26.71355069398663,42.53152870603465
1956,MAF,19.1888016753726,377.67210264065557
1956,SSA,113.2396077148872,563.9679715929867
1956,SIS,9.081419481229336,409.6787544151434
1957,USA,2100.7281885587963,11858.580516627373
1957,CAN,123.78186775590513,7504.099716837744
1957,WEU,2419.50090064847,7592.680972686906
1957,JPK,846.5091374081945,7401.541118744894
1957,ANZ,150.13931331955723,12764.007032762727
1957,EEU,117.38779842694582,1225.3430572118707
1957,FSU,229.1059593196848,1126.0887264779903
