country,tercile,pop_terc,outmig_terc,inmig_terc,pop,year0,gdp,gdpshare_terc,ypc_terc,ypc_rel
AFG,t1,0.3333333333333333,0.24517883434616675,0.25571871797940643,29185.507,2010,37.23728418322597,0.1470992386435515,938.406886765082,0.7354961932177575
AGO,t1,0.3333333333333333,0.23857092018418116,0.23318170207650016,23356.246,2010,105.89344662859713,0.08750067210757137,1983.5695667423367,0.4375033605378569
ALB,t1,0.33333333333333337,0.19053626278314434,0.2621067245856951,2948.023,2010,24.568445171853057,0.16835227196652872,7015.131095256983,0.8417613598326436
ARE,t1,0.33333333333333326,0.17905371442251222,0.36527407384954236,8549.988,2010,318.1423059818006,0.11456143644952604,21313.97118255588,0.5728071822476302
ARG,t1,0.3333333333333333,0.15749913785441924,0.21230020747487577,40895.752,2010,580.4274305865966,0.10638699839365988,7549.675590444258,0.5319349919682994
ARM,t1,0.3333333333333334,0.21183309792862265,0.369047863265123,2877.319,2010,15.152619472187178,0.1584278305477289,4171.585823632847,0.7921391527386447
AUS,t1,0.3333333333333333,0.1692287425101603,0.30107896962842456,22154.679,2010,,0.14202506205576354,,
AUT,t1,0.33333333333333326,0.1842186431778316,0.28224627485770254,8409.949,2010,296.8320908711133,0.1835187924938903,32386.799783270642,0.9175939624694516
AZE,t1,0.3333333333333333,0.1938281730796353,0.338227323782151,9032.461,2010,80.69556138880493,0.23335736866870377,10424.016150712067,1.166786843343519
BDI,t1,0.3333333333333333,0.240832327984088,0.32640239178442493,8675.602,2010,3.071832434435739,0.12315535165010372,218.0324798631424,0.6157767582505186
BEL,t1,0.33333333333333326,0.15792950595198818,0.2282057171011905,10938.739,2010,357.4760039013982,0.17664457861849267,28863.56374138972,0.8832228930924635
BEN,t1,0.3333333333333333,0.22223722454766953,0.28359701291268985,9199.259,2010,12.601266759843224,0.08500438587159975,582.2006653604801,0.4250219293579988
BFA,t1,0.3333333333333333,0.26942139929145914,0.2858536593393041,15605.217,2010,18.55280683067076,0.09813548530731067,583.3589824930547,0.4906774265365535
BGD,t1,0.3333333333333333,0.20617932335883854,0.25078107373579445,147575.43,2010,221.29653749671897,0.1289087330127779,966.5245857259821,0.6445436650638894
BGR,t1,0.3333333333333333,0.19397955716364873,0.3396235821031769,7425.008,2010,86.64807456732147,0.1354030468023327,7900.606501683932,0.6770152340116634
BHR,t1,0.3333333333333333,0.1690421328905101,0.22674382872630755,1240.86,2010,,0.11456143644952604,,
BHS,t1,0.33333333333333337,0.14918640849500633,0.35312284625286633,354.942,2010,7.807282653717896,0.10858777118945984,11942.450068086584,0.5429388559472992
BIH,t1,0.3333333333333333,0.177143236195469,0.35461252381884945,3705.472,2010,27.618291411230114,0.15052880305784672,5609.74195545841,0.7526440152892336
BLR,t1,0.33333333333333337,0.19864863214657436,0.39199940378765785,9420.574,2010,118.57185022783123,0.13321421621996482,8383.489208752882,0.666071081099824
BLZ,t1,0.3333333333333333,0.16718330623091696,0.24006309250366897,322.464,2010,2.064116123652634,0.0723570607682493,2315.814723377754,0.36178530384124646
BOL,t1,0.3333333333333333,0.14753146995364882,0.18634704746723998,10048.59,2010,43.19038245496415,0.06759540576007309,1452.6771551909487,0.33797702880036545
BRA,t1,0.3333333333333333,0.16215954350538692,0.22186227190933355,195713.635,2010,1960.360571240302,0.058458945502737364,2927.762590476946,0.2922947275136868
BRB,t1,0.33333333333333326,0.16931747946306527,0.2896626891742432,282.131,2010,,0.09360763907641302,,
BRN,t1,0.33333333333333337,0.18096932192205747,0.27869546746176377,388.646,2010,,0.0997729920481935,,
BTN,t1,0.3333333333333333,0.2372316196511324,0.25943851152093506,685.503,2010,3.4700779256141154,0.10269974470682226,2599.3767866322173,0.5134987235341112
BWA,t1,0.3333333333333333,0.1457547687018961,0.17626722661579758,1987.105,2010,25.011877248655928,0.0364840037879407,2296.137909882645,0.18242001893970347
CAF,t1,0.3333333333333333,0.20930730661532485,0.24476510891968278,4386.768,2010,3.114341617734822,0.04662221902917697,165.49486664637178,0.23311109514588485
CAN,t1,0.3333333333333333,0.15865427034075927,0.30325842937884034,34147.564,2010,1202.022448380908,0.17027037494368713,29968.288949769012,0.8513518747184358
CHE,t1,0.33333333333333326,0.18674925889133662,0.27305393627846924,7808.675,2010,294.1234325595242,0.15606586698134745,29392.07259998144,0.7803293349067372
CHL,t1,0.33333333333333326,0.15020245480662908,0.243879789928216,17062.536,2010,232.67598646703658,0.06637740693988642,4525.830345167328,0.3318870346994321
CHN,t1,0.33333333333333337,0.14635267238822508,0.33186958217979534,1.368810615e6,2010,9122.23735582665,0.0951942757634745,3172.041365380669,0.4759713788173725
CIV,t1,0.3333333333333333,0.22869591346291118,0.24617870927188754,20532.95,2010,33.62555719552731,0.08590172132945498,703.3799925869971,0.4295086066472749
CMR,t1,0.3333333333333333,0.20363077858344147,0.21362445423457727,20341.241,2010,40.33633919768043,0.08715184033758683,864.1031767823285,0.43575920168793414
COG,t1,0.3333333333333333,0.1802066743485676,0.19677947420060732,4273.731,2010,15.395738933859421,0.0966634630133866,1741.107993222873,0.48331731506693304
COL,t1,0.3333333333333333,0.15034838757685554,0.21280257445444947,45222.7,2010,392.9319656512309,0.06715664520477839,2917.560495819122,0.335783226023892
COM,t1,0.3333333333333333,0.1836319021880542,0.20848486728422036,689.692,2010,0.7228476586499929,0.047416451232764584,248.47954416678354,0.23708225616382292
CPV,t1,0.3333333333333333,0.1808596503587167,0.2571455404780256,492.654,2010,1.7724324826983509,0.07257974982956002,1305.6090703011878,0.36289874914780007
