model,scenario,period,region,type,unit,en_5r,scen,gdp_5r,engdp_ratio_5r,country,rel_ratio_2015,convyear,rel_ratio,engdp_ratio,gdp_mig,en_mig,ypc_mig,ypc_nomig,enpc_mig,enpc_nomig,en_nomig,endiff,code
IMAGE,SSP1-1.9-SPA1,2010,MAF,Final Energy,EJ/yr,36.11519775390625,SSP1,5128.382,0.0070422206758206105,AGO,0.5958704293947954,2125,0.5775009034581952,0.004066888802638384,98.686,0.4013449883771716,,,,0.0,,,24
IMAGE,SSP1-1.9-SPA1,2020,MAF,Final Energy,EJ/yr,34.63746557617188,SSP1,8081.876,0.004285819972512803,AGO,0.5958704293947954,2125,0.6142399553313956,0.0026325218684746673,171.984,0.4527516410277472,5429.756189180264,5430.421183971001,14.293951908502718,14.289769134879757,0.4526122743120159,0.0003079163417367692,24
IMAGE,SSP1-1.9-SPA1,2030,MAF,Final Energy,EJ/yr,28.845166259765623,SSP1,13243.278999999999,0.0021780985101775494,AGO,0.5958704293947954,2125,0.650979007204596,0.0014178964057491906,232.32,0.32940569298365197,6285.39511969077,6286.114046183982,8.912039148923045,8.911857112209773,0.32954369646727544,-0.0004187714257710695,24
IMAGE,SSP1-1.9-SPA1,2040,MAF,Final Energy,EJ/yr,36.275283935546874,SSP1,21545.955,0.0016836238605133478,AGO,0.5958704293947954,2125,0.6877180590777965,0.0011578585335693063,304.102,0.35210709577549315,7443.698225525025,7444.375465505509,8.618749511738852,8.619348334296829,0.3525053118058475,-0.0011296738432516884,24
IMAGE,SSP1-1.9-SPA1,2050,MAF,Final Energy,EJ/yr,49.32197924804687,SSP1,33183.176999999996,0.0014863549457017596,AGO,0.5958704293947954,2125,0.7244571109509969,0.0010768004098108226,464.994,0.5007057297595736,10576.632590667015,10577.417662873662,11.388922308048745,11.389597858335888,0.5016892285461902,-0.0019603745319919375,24
IMAGE,SSP1-1.9-SPA1,2060,MAF,Final Energy,EJ/yr,64.00945532226564,SSP1,48737.86399999999,0.001313341416075716,AGO,0.5958704293947954,2125,0.7611961628241972,0.0009997104463949325,750.86,0.750642585780099,16433.37548467149,16434.444887689344,16.428617141556476,16.429397833078635,0.7529454431700568,-0.0030584651396020623,24
IMAGE,SSP1-1.9-SPA1,2070,MAF,Final Energy,EJ/yr,77.26908276367188,SSP1,68075.642,0.001135047433907004,AGO,0.5958704293947954,2125,0.7979352146973977,0.0009056943178663156,1160.284,1.0508626259112002,25228.349836866277,25229.977239074444,22.849173096393375,22.850171817518405,1.0555339027947286,-0.004425510986582504,24
IMAGE,SSP1-1.9-SPA1,2080,MAF,Final Energy,EJ/yr,87.35836303710937,SSP1,89540.43799999998,0.0009756302849122693,AGO,0.5958704293947954,2125,0.8346742665705982,0.0008143334925032121,1655.046,1.3477593894334712,36715.82705928237,36718.09529268146,29.89892767932935,29.900106814337658,1.3559540127975391,-0.0060434375257027995,24
IMAGE,SSP1-1.9-SPA1,2090,MAF,Final Energy,EJ/yr,94.03141894531251,SSP1,111941.579,0.0008400044003784555,AGO,0.5958704293947954,2125,0.8714133184437985,0.0007319910220411831,2181.823,1.5970748476829602,50966.882316471914,50969.14736159835,37.30730027708698,37.30834618930656,1.6097991417346884,-0.007904274341963391,24
IMAGE,SSP1-1.9-SPA1,2100,MAF,Final Energy,EJ/yr,97.37674584960938,SSP1,133480.271,0.0007295216373182923,AGO,0.5958704293947954,2125,0.9081523703169989,0.0006625168041281452,2687.836,1.780736516740577,68604.75565545021,68607.86959734918,45.45180346484116,45.45324136550159,1.798755509199673,-0.010017477287457055,24
IMAGE,SSP1-1.9-SPA1,2010,OECD,Final Energy,EJ/yr,152.9645009765625,SSP1,34635.688,0.004416384076925583,ALB,0.8376006754793268,2125,0.8302188880011144,0.0036665654773309856,24.545,0.08999584964108905,,,,0.0,,,8
IMAGE,SSP1-1.9-SPA1,2020,OECD,Final Energy,EJ/yr,139.1826748046875,SSP1,43139.215,0.0032263608599435,ALB,0.8376006754793268,2125,0.8449824629575392,0.0027262183458248625,30.452,0.08301880106705872,10607.723254856375,9886.021218251915,28.918969744822476,29.682187202054788,0.08834120405583375,-0.06024825046997484,8
IMAGE,SSP1-1.9-SPA1,2030,OECD,Final Energy,EJ/yr,99.15410302734377,SSP1,53740.606,0.0018450499614266309,ALB,0.8376006754793268,2125,0.8597460379139641,0.0015862743940898581,41.037,0.06509594231026551,15181.52453959372,14234.431271055637,24.082063640404343,25.083637807461372,0.0760363018619665,-0.1438833725969697,8
IMAGE,SSP1-1.9-SPA1,2040,OECD,Final Energy,EJ/yr,93.25391918945311,SSP1,65624.541,0.0014210220409686845,ALB,0.8376006754793268,2125,0.8745096128703889,0.001242697434927814,55.608,0.06910391896146588,22601.584699366118,21307.444155617846,28.086931331206003,27.38843811963979,0.08232748237658262,-0.1606214964114836,8
IMAGE,SSP1-1.9-SPA1,2050,OECD,Final Energy,EJ/yr,94.47888769531251,SSP1,76993.66199999998,0.001227099546132934,ALB,0.8376006754793268,2125,0.8892731878268137,0.0010912267251704704,70.384,0.07680490182439839,32370.11469624772,30585.25528325704,35.323134253378925,34.00096961816011,0.0994239053828519,-0.22750065460971836,8
IMAGE,SSP1-1.9-SPA1,2060,OECD,Final Energy,EJ/yr,95.78235717773437,SSP1,88106.96800000001,0.0010871144400035916,ALB,0.8376006754793268,2125,0.9040367627832385,0.0009827914191157601,83.03,0.08160117152918156,44427.89491689277,42073.254233644206,43.66335389369891,42.034677627174986,0.1178664979501985,-0.30768137725055633,8
IMAGE,SSP1-1.9-SPA1,2070,OECD,Final Energy,EJ/yr,98.70783544921875,SSP1,99588.28499999997,0.000991159105202171,ALB,0.8376006754793268,2125,0.9188003377396634,0.0009106773206134972,92.473,0.08421306386909193,58897.223076727256,55730.29495048048,53.63636530308942,51.453554187957444,0.13703805289873058,-0.38547679211901575,8
IMAGE,SSP1-1.9-SPA1,2080,OECD,Final Energy,EJ/yr,99.36257934570312,SSP1,110203.217,0.000901630479132956,ALB,0.8376006754793268,2125,0.9335639126960882,0.0008417296779054111,98.004,0.08249287535344191,75974.81163399636,71838.50185253062,63.950253725608036,61.45215878533316,0.15404454625357622,-0.4644868814917439,8
IMAGE,SSP1-1.9-SPA1,2090,OECD,Final Energy,EJ/yr,98.860994140625,SSP1,119912.793,0.0008244407595495252,ALB,0.8376006754793268,2125,0.9483274876525131,0.0007818398342219309,99.277,0.07761871322205063,96190.64672727862,91427.07083344315,75.20567929095584,72.55349729349945,0.1690560423243167,-0.5408699260027212,8
IMAGE,SSP1-1.9-SPA1,2100,OECD,Final Energy,EJ/yr,98.73152416992187,SSP1,128765.606,0.000766753850169601,ALB,0.8376006754793268,2125,0.963091062608938,0.0007384537803193354,97.006,0.07163444741365746,120237.18449104528,114747.11224539681,88.78960342236576,85.68825363166032,0.18330416818145517,-0.6092044816856232,8
IMAGE,SSP1-1.9-SPA1,2010,MAF,Final Energy,EJ/yr,36.11519775390625,SSP1,5128.382,0.0070422206758206105,ARE,0.7374186134731534,2125,0.7254830959037513,0.005109012057931744,318.142,1.6253913141345209,,,,0.0,,,784
IMAGE,SSP1-1.9-SPA1,2020,MAF,Final Energy,EJ/yr,34.63746557617188,SSP1,8081.876,0.004285819972512803,ARE,0.7374186134731534,2125,0.7493541310425555,0.0032115969013071606,536.362,1.722578537178911,53249.20194424512,60356.566433939624,171.01497196121687,141.35702858292458,1.3362234081975135,0.28913962037423646,784
IMAGE,SSP1-1.9-SPA1,2030,MAF,Final Energy,EJ/yr,28.845166259765623,SSP1,13243.278999999999,0.0021780985101775494,ARE,0.7374186134731534,2125,0.7732251661813597,0.0016841605824914076,787.776,1.326741287032751,67135.9463639972,75229.26646492234,113.0677145345014,109.33025503000547,1.0672419276605987,0.24314951713055044,784
IMAGE,SSP1-1.9-SPA1,2040,MAF,Final Energy,EJ/yr,36.275283935546874,SSP1,21545.955,0.0016836238605133478,ARE,0.7374186134731534,2125,0.797096201320164,0.0013420101836671792,1061.287,1.4242579617935895,79870.46091153087,89253.06042335682,107.1869719174658,105.06025918103781,1.0393111325813749,0.37038651578388104,784
