region,quint,age,ageall,agemig_reg,index
USA,2,25,29,0.050349648289467405,1
USA,2,30,30,0.40423651392288446,1
USA,2,30,31,0.2545629358814666,1
USA,2,30,32,0.14731651382029318,1
USA,2,30,33,0.07542605507599011,1
USA,2,30,34,0.031820366985183327,1
USA,2,35,35,0.22754523332642743,1
USA,2,35,36,0.14329379124929542,1
USA,2,35,37,0.08292464771371262,1
USA,2,35,38,0.04245741962942086,1
USA,2,35,39,0.017911723906161928,1
USA,2,40,40,0.13033270788843296,1
USA,2,40,41,0.08207540788309481,1
USA,2,40,42,0.04749734252493912,1
USA,2,40,43,0.024318639372768826,1
USA,2,40,44,0.010259425985386851,1
USA,2,45,45,0.07515924996223597,1
USA,2,45,46,0.04733060639021274,1
USA,2,45,47,0.027390397216558296,1
USA,2,45,48,0.014023883374877848,1
USA,2,45,49,0.005916325798776593,1
USA,2,50,50,0.04265250174055772,1
USA,2,50,51,0.026859884478018854,1
USA,2,50,52,0.015543914628483134,1
USA,2,50,53,0.007958484289783366,1
USA,2,50,54,0.0033574855597523568,1
USA,2,55,55,0.023813178783993104,1
USA,2,55,56,0.014996054277966504,1
USA,2,55,57,0.008678272151600986,1
USA,2,55,58,0.004443275341619705,1
USA,2,55,59,0.001874506784745813,1
USA,2,60,60,0.013301193528266942,1
USA,2,60,61,0.008376261813719123,1
USA,2,60,62,0.00484737373479116,1
USA,2,60,63,0.0024818553522130736,1
USA,2,60,64,0.0010470327267148903,1
USA,2,65,65,0.007487274418527553,1
USA,2,65,66,0.00471501829271706,1
USA,2,65,67,0.0027285985490260764,1
USA,2,65,68,0.0013970424571013514,1
USA,2,65,69,0.0005893772865896325,1
USA,2,70,70,0.009775665580896618,1
USA,2,70,71,0.006156104272517986,1
USA,2,70,72,0.003562560342892353,1
USA,2,70,73,0.0018240308955608845,1
USA,2,70,74,0.0007695130340647483,1
USA,2,75,75,0.0,1
USA,2,75,76,0.0,1
USA,2,75,77,0.0,1
USA,2,75,78,0.0,1
USA,2,75,79,0.0,1
USA,2,80,80,0.0,1
USA,2,80,81,0.0,1
USA,2,80,82,0.0,1
USA,2,80,83,0.0,1
USA,2,80,84,0.0,1
USA,2,85,85,0.0,1
USA,2,85,86,0.0,1
USA,2,85,87,0.0,1
USA,2,85,88,0.0,1
USA,2,85,89,0.0,1
USA,2,90,90,0.0,1
USA,2,90,91,0.0,1
USA,2,90,92,0.0,1
USA,2,90,93,0.0,1
USA,2,90,94,0.0,1
USA,2,95,95,0.0,1
USA,2,95,96,0.0,1
USA,2,95,97,0.0,1
USA,2,95,98,0.0,1
USA,2,95,99,0.0,1
USA,2,100,100,0.0,1
USA,2,100,101,0.0,1
USA,2,100,102,0.0,1
USA,2,100,103,0.0,1
USA,2,100,104,0.0,1
USA,2,105,105,0.0,1
USA,2,105,106,0.0,1
USA,2,105,107,0.0,1
USA,2,105,108,0.0,1
USA,2,105,109,0.0,1
USA,2,110,110,0.0,1
USA,2,110,111,0.0,1
USA,2,110,112,0.0,1
USA,2,110,113,0.0,1
USA,2,110,114,0.0,1
USA,2,115,115,0.0,1
USA,2,115,116,0.0,1
USA,2,115,117,0.0,1
USA,2,115,118,0.0,1
USA,2,115,119,0.0,1
USA,2,120,120,0.0,1
USA,3,0,0,0.14696394059847168,1
USA,3,0,1,0.14696394059847168,1
USA,3,0,2,0.08983125953451815,1
USA,3,0,3,0.0459936048816733,1
USA,3,0,4,0.019403552059455917,1
USA,3,5,5,0.25132647726998625,1
USA,3,5,6,0.1582697349571925,1
USA,3,5,7,0.09159128180393084,1
USA,3,5,8,0.046894736283612584,1
USA,3,5,9,0.01978371686964906,1
USA,3,10,10,0.009483604049342013,1
USA,3,10,11,0.005972182141859694,1
USA,3,10,12,0.0034561239246873226,1
USA,3,10,13,0.0017695354494399091,1
USA,3,10,14,0.0007465227677324617,1
USA,3,15,15,0.10729061611847894,1
USA,3,15,16,0.06756493609793426,1
USA,3,15,17,0.039100078760378625,1
USA,3,15,18,0.020019240325313853,1
USA,3,15,19,0.008445617012241783,1
USA,3,20,20,0.5798860309707747,1
USA,3,20,21,0.3651760428270769,1
USA,3,20,22,0.21132872848789172,1
USA,3,20,23,0.10820030898580055,1
USA,3,20,24,0.04564700535338462,1
USA,3,25,25,0.6223258866640475,1
USA,3,25,26,0.3919020160916451,1
USA,3,25,27,0.22679514820118352,1
USA,3,25,28,0.11611911587900596,1
USA,3,25,29,0.04898775201145564,1
USA,3,30,30,0.3921147363254609,1
USA,3,30,31,0.24692939663644184,1
USA,3,30,32,0.14289895638682976,1
USA,3,30,33,0.07316426567005682,1
USA,3,30,34,0.03086617457955523,1
USA,3,35,35,0.22710125903345718,1
USA,3,35,36,0.14301420393943656,1
USA,3,35,37,0.08276284950198876,1
USA,3,35,38,0.04237457894501825,1
USA,3,35,39,0.01787677549242957,1
USA,3,40,40,0.13240432701248878,1
USA,3,40,41,0.08337998435771887,1
USA,3,40,42,0.048252305762568795,1
USA,3,40,43,0.024705180550435225,1
USA,3,40,44,0.010422498044714859,1
USA,3,45,45,0.07642987685246909,1
USA,3,45,46,0.04813076793041785,1
USA,3,45,47,0.027853453663436254,1
USA,3,45,48,0.014260968275679362,1
USA,3,45,49,0.0060163459913022315,1
