country,tercile,pop_terc,outmig_terc,inmig_terc,pop,year0,gdp,gdpshare_terc,ypc_terc,ypc_rel
AFG,t1,0.3333333333333333,0.2679687896907423,0.09827202106514805,29185.507,2010,37.23728418322597,0.14709923864355146,938.4068867650818,0.7354961932177573
AGO,t1,0.3333333333333333,0.23797402597898773,0.11496240403887982,23356.246,2010,105.89344662859713,0.08750067210757137,1983.5695667423367,0.4375033605378569
ALB,t1,0.33333333333333326,0.2388911731587398,0.4131274774731298,2948.023,2010,24.568445171853057,0.1683522719665287,7015.131095256982,0.8417613598326434
ARE,t1,0.33333333333333337,0.258321193492264,0.341617508893665,8549.988,2010,318.1423059818006,0.11456143644952595,21313.971182555862,0.5728071822476296
ARG,t1,0.3333333333333333,0.19028133714812712,0.2907020995066081,40895.752,2010,580.4274305865966,0.10638699839365985,7549.675590444256,0.5319349919682993
ARM,t1,0.3333333333333333,0.24292400886981458,0.545827387100771,2877.319,2010,15.152619472187178,0.15842783054772883,4171.585823632844,0.7921391527386441
AUS,t1,0.33333333333333337,0.22867808131851755,0.5604845369997751,22154.679,2010,,0.14202506205576354,,
AUT,t1,0.33333333333333337,0.25297721246612215,0.4856920083925449,8409.949,2010,296.8320908711133,0.18351879249389028,32386.79978327064,0.9175939624694515
AZE,t1,0.33333333333333337,0.2076198742919103,0.4952224739096789,9032.461,2010,80.69556138880493,0.2333573686687037,10424.016150712061,1.1667868433435185
BDI,t1,0.3333333333333333,0.20214377134936737,0.12510509522927737,8675.602,2010,3.071832434435739,0.12315535165010372,218.0324798631424,0.6157767582505186
BEL,t1,0.3333333333333333,0.21236059918692912,0.42625905495599986,10938.739,2010,357.4760039013982,0.17664457861849264,28863.563741389717,0.8832228930924634
BEN,t1,0.3333333333333333,0.21796980067078428,0.11863025309300711,9199.259,2010,12.601266759843224,0.08500438587159974,582.20066536048,0.42502192935799876
BFA,t1,0.3333333333333333,0.26010480308954526,0.0980562111785064,15605.217,2010,18.55280683067076,0.09813548530731062,583.3589824930542,0.4906774265365531
BGD,t1,0.3333333333333333,0.21276145012592088,0.1467344729545512,147575.43,2010,221.29653749671897,0.12890873301277783,966.5245857259818,0.6445436650638892
BGR,t1,0.33333333333333337,0.2681369947636443,0.48879933144475846,7425.008,2010,86.64807456732147,0.13540304680233267,7900.606501683931,0.6770152340116633
BHR,t1,0.3333333333333333,0.22549193746418475,0.2697684726397392,1240.86,2010,,0.11456143644952595,,
BHS,t1,0.3333333333333333,0.1962584193688781,0.5217917166572676,354.942,2010,7.807282653717896,0.10858777118945981,11942.45006808658,0.542938855947299
BIH,t1,0.33333333333333326,0.195948973999008,0.42301356912886334,3705.472,2010,27.618291411230114,0.15052880305784672,5609.74195545841,0.7526440152892336
BLR,t1,0.33333333333333337,0.2458373846019282,0.55512278743526,9420.574,2010,118.57185022783123,0.13321421621996477,8383.489208752879,0.6660710810998238
BLZ,t1,0.3333333333333333,0.15042064041367104,0.23012054111620323,322.464,2010,2.064116123652634,0.07235706076824935,2315.814723377756,0.36178530384124674
BOL,t1,0.3333333333333333,0.14486867229124653,0.22540349641162644,10048.59,2010,43.19038245496415,0.06759540576007317,1452.6771551909505,0.33797702880036584
BRA,t1,0.3333333333333333,0.20265262513441362,0.26921889871411836,195713.635,2010,1960.360571240302,0.058458945502737364,2927.762590476946,0.2922947275136868
BRB,t1,0.33333333333333337,0.20161264566037215,0.31903829015394536,282.131,2010,,0.09360763907641295,,
BRN,t1,0.3333333333333333,0.19561615485150008,0.2969337249747142,388.646,2010,,0.09977299204819347,,
BTN,t1,0.3333333333333333,0.23498742878467985,0.13344627280008473,685.503,2010,3.4700779256141154,0.10269974470682221,2599.376786632216,0.513498723534111
BWA,t1,0.3333333333333333,0.1563126856012804,0.211129605046342,1987.105,2010,25.011877248655928,0.03648400378794067,2296.1379098826433,0.18242001893970333
CAF,t1,0.3333333333333333,0.15926011091986444,0.14202042722438377,4386.768,2010,3.114341617734822,0.04662221902917693,165.49486664637163,0.23311109514588466
