country,quintile,pop_quint,outmig_quint,inmig_quint,pop,gdp,gdpshare_quint,gini,ypc_quint,ypc_rel,fundregion,regionname
AFG,q1,0.2,0.1607812738144454,0.05896321263908884,29185.507,37.23728418322597,0.0721656928488034,0.338,460.37480398923515,0.360828464244017,SAS,South Asia
AFG,q2,0.2,0.1607812738144454,0.05896321263908884,29185.507,37.23728418322597,0.11955428857625687,0.338,762.6862570928582,0.5977714428812844,SAS,South Asia
AFG,q3,0.2,0.1607812738144454,0.05896321263908884,29185.507,37.23728418322597,0.16588000160927632,0.338,1058.2171418571902,0.8294000080463817,SAS,South Asia
AFG,q4,0.2,0.16406122822529026,0.11473976952243072,29185.507,37.23728418322597,0.23078510016911413,0.338,1472.2736117367385,1.1539255008455704,SAS,South Asia
AFG,q5,0.2,0.35359495033137356,0.7083705925603023,29185.507,37.23728418322597,0.41161491679654927,0.338,2625.861807164771,2.058074583982746,SAS,South Asia
AGO,q1,0.2,0.14278441558739266,0.0689774424233279,23356.246,105.89344662859713,0.03859724822564147,0.4872,874.9684441996117,0.19298624112820736,SSA,Sub-Saharan Africa
AGO,q2,0.2,0.14278441558739266,0.0689774424233279,23356.246,105.89344662859713,0.08061631022065191,0.4872,1827.5066429222045,0.40308155110325955,SSA,Sub-Saharan Africa
AGO,q3,0.2,0.14278441558739266,0.0689774424233279,23356.246,105.89344662859713,0.13150409233881638,0.4872,2981.0915640130183,0.6575204616940818,SSA,Sub-Saharan Africa
AGO,q4,0.2,0.21224455909175724,0.10385592806581125,23356.246,105.89344662859713,0.21582686976131749,0.4872,4892.620824872126,1.0791343488065874,SSA,Sub-Saharan Africa
AGO,q5,0.2,0.3594021941460644,0.6892117446641968,23356.246,105.89344662859713,0.5334554794535727,0.4872,12093.004873781858,2.667277397267864,SSA,Sub-Saharan Africa
ALB,q1,0.2,0.15210844802969484,0.23838531026323567,2948.023,24.568445171853057,0.08509540999229974,0.29215,3545.871105436038,0.42547704996149865,EEU,Central & Eastern Europe
ALB,q2,0.2,0.14858053366113547,0.1999873857166326,2948.023,24.568445171853057,0.13162514118904367,0.29215,5484.735133580093,0.6581257059452184,EEU,Central & Eastern Europe
ALB,q3,0.2,0.18539342559627134,0.07573565552021547,2948.023,24.568445171853057,0.17431440735567,0.29215,7263.569449393438,0.87157203677835,EEU,Central & Eastern Europe
ALB,q4,0.2,0.2223002488451873,0.19516811042501725,2948.023,24.568445171853057,0.23131236150760737,0.29215,9638.637607765451,1.1565618075380368,EEU,Central & Eastern Europe
ALB,q5,0.2,0.29161734386771104,0.2907235380748989,2948.023,24.568445171853057,0.3776526799553792,0.29215,15736.544730972426,1.888263399776896,EEU,Central & Eastern Europe
ARE,q1,0.2,0.1734729980011122,0.23916094712082572,8549.988,318.1423059818006,0.05331630015438531,0.414804506,9919.411979019136,0.2665815007719265,MDE,Middle East
ARE,q2,0.2,0.13748978547451968,0.1642205044142606,8549.988,318.1423059818006,0.0993084015519169,0.414804506,18476.16854730876,0.4965420077595844,MDE,Middle East
ARE,q3,0.2,0.18101984579075361,0.1738156830275709,8549.988,318.1423059818006,0.14941364679052077,0.414804506,27798.168918533298,0.7470682339526037,MDE,Middle East
ARE,q4,0.2,0.23158681613667256,0.22665362690441548,8549.988,318.1423059818006,0.22575623942196166,0.414804506,42001.585615957796,1.128781197109808,MDE,Middle East
ARE,q5,0.2,0.27643055459694205,0.19614923853292732,8549.988,318.1423059818006,0.47220541208121536,0.414804506,87853.05821283272,2.3610270604060766,MDE,Middle East
ARG,q1,0.2,0.10997769676882815,0.18544763330526096,40895.752,580.4274305865966,0.04877310474629236,0.4357,3461.1477335862924,0.2438655237314618,LAM,South America
ARG,q2,0.2,0.13649759774731468,0.13354826221716878,40895.752,580.4274305865966,0.09385330061481291,0.4357,6660.230887541487,0.46926650307406453,LAM,South America
ARG,q3,0.2,0.17611096674448154,0.11399840825325529,40895.752,580.4274305865966,0.14446586070563178,0.4357,10251.914225327246,0.7223293035281589,LAM,South America
ARG,q4,0.2,0.26821323115398077,0.28085273387622434,40895.752,580.4274305865966,0.22342849148858052,0.4357,15855.439610763982,1.1171424574429025,LAM,South America
ARG,q5,0.19999999999999993,0.3092005075853948,0.2861529623480905,40895.752,580.4274305865966,0.48947924244468244,0.4357,34735.53671511418,2.4473962122234125,LAM,South America
ARM,q1,0.2,0.13936803923205018,0.24313834797015807,2877.319,15.152619472187178,0.07899938466636303,0.3132,2080.1440757634755,0.39499692333181513,FSU,Former Soviet Union
ARM,q2,0.2,0.17402690045213748,0.33892937442249316,2877.319,15.152619472187178,0.12609538555886915,0.3132,3320.235598785311,0.6304769277943457,FSU,Former Soviet Union
ARM,q3,0.2,0.211412792443119,0.10872100587563996,2877.319,15.152619472187178,0.17057790119778024,0.3132,4491.511068488244,0.8528895059889011,FSU,Former Soviet Union
ARM,q4,0.2,0.211412792443119,0.10872100587563996,2877.319,15.152619472187178,0.23128878482751836,0.3132,6090.098012552596,1.1564439241375917,FSU,Former Soviet Union
ARM,q5,0.19999999999999987,0.26377947542957436,0.20049026585606888,2877.319,15.152619472187178,0.3930385437494692,0.3132,10349.15400645236,1.9651927187473461,FSU,Former Soviet Union
AUS,q1,0.2,0.14270787655540992,0.3121887226925096,22154.679,,0.06914895545276505,0.3494,,,ANZ,Australia & New Zealand
AUS,q2,0.2,0.14537110245009816,0.3037936741283449,22154.679,,0.11654270895421927,0.3494,,,ANZ,Australia & New Zealand
